AccX1;AccY1;AccZ1;GyrX1;GyrY1;GyrZ1;AccX2;AccY2;AccZ2;GyrX2;GyrY2;GyrZ2;AccX3;AccY3;AccZ3;GyrX3;GyrY3;GyrZ3;AccX4;AccY4;AccZ4;GyrX4;GyrY4;GyrZ4;AccX5;AccY5;AccZ5;GyrX5;GyrY5;GyrZ5;AccX6;AccY6;AccZ6;GyrX6;GyrY6;GyrZ6;AccX7;AccY7;AccZ7;GyrX7;GyrY7;GyrZ7;AccX8;AccY8;AccZ8;GyrX8;GyrY8;GyrZ8;AccX9;AccY9;AccZ9;GyrX9;GyrY9;GyrZ9;AccX10;AccY10;AccZ10;GyrX10;GyrY10;GyrZ10;AccX11;AccY11;AccZ11;GyrX11;GyrY11;GyrZ11;AccX12;AccY12;AccZ12;GyrX12;GyrY12;GyrZ12;AccX13;AccY13;AccZ13;GyrX13;GyrY13;GyrZ13;AccX14;AccY14;AccZ14;GyrX14;GyrY14;GyrZ14;AccX15;AccY15;AccZ15;GyrX15;GyrY15;GyrZ15;AccX16;AccY16;AccZ16;GyrX16;GyrY16;GyrZ16;AccX17;AccY17;AccZ17;GyrX17;GyrY17;GyrZ17;AccX18;AccY18;AccZ18;GyrX18;GyrY18;GyrZ18;AccX19;AccY19;AccZ19;GyrX19;GyrY19;GyrZ19;AccX20;AccY20;AccZ20;GyrX20;GyrY20;GyrZ20;Label
137;-35;76;-89;561;100;-9;6;18;-45;-483;-8;-19;-17;-14;58;-527;-49;5;14;-17;-68;-304;-12;5;6;-20;48;-419;18;-28;6;-34;36;18;72;-24;-7;-21;12;-231;24;-60;0;-38;45;251;16;-30;-13;-20;-21;94;-34;-39;6;-13;82;539;-93;14;2;28;-16;339;-19;-1;-3;28;-196;179;74;22;12;28;125;79;-118;5;-4;16;17;-87;30;-1;2;0;35;-5;-14;5;-8;3;-65;-120;-11;-9;14;-16;49;52;16;3;-5;-1;-58;-4;9;-6;-1;-2;69;44;-14;12;-4;10;-33;-30;4;down
-7;3;-2;37;19;5;14;-4;9;-16;-75;-8;-19;2;-15;-22;25;8;8;0;2;3;45;-14;3;1;4;-14;-37;8;-6;-2;-2;-5;12;6;1;1;-1;2;-1;-5;4;-1;-1;-3;13;-5;-2;2;2;15;-9;1;-2;3;0;-6;39;6;159;-6;-11;718;1684;-87;79;-18;82;-739;-297;261;-18;25;43;44;-891;12;-28;-42;-10;-178;-850;-201;-25;43;-49;-124;-449;-26;17;1;-21;186;-321;2;-21;7;-30;45;-241;5;-22;-6;-9;171;-123;-76;-35;3;-21;-150;-151;161;-53;3;-31;304;72;-36;down
-70;-31;-40;-201;296;61;-25;17;-1;-135;528;-13;3;-2;26;209;339;-55;-12;-5;21;-146;260;27;21;-4;36;100;148;-12;-7;-4;10;-158;24;-5;19;5;15;57;22;-5;0;6;3;-83;-77;21;0;-1;-7;72;-55;-28;-6;1;-6;0;2;-5;3;3;-1;27;46;-6;0;-1;2;-7;26;23;3;-2;2;3;8;-9;-1;-3;1;-50;-75;3;-4;2;-4;78;44;-10;4;2;4;-55;-2;13;2;-3;1;43;-22;4;-10;0;-9;-43;16;-31;9;5;6;-5;-6;21;-1;-6;1;21;-25;-6;down
-18;7;-160;-334;1199;-149;157;25;77;1242;951;-204;48;-55;95;-1234;-199;480;72;61;63;535;-451;-27;-24;-63;38;-283;-712;104;-28;29;-3;16;-850;-130;-42;-13;-47;37;-528;-68;11;11;-32;-39;-300;-27;-1;12;-22;95;-237;-35;-15;-8;-15;-46;-212;30;-34;11;-14;-8;-2;17;-27;1;-13;10;-31;39;-45;-3;-21;184;193;22;-34;-11;-20;-99;71;31;-54;-3;-29;-86;511;-18;10;9;32;-13;375;-9;-3;-5;29;39;237;28;8;-10;30;-1;131;-62;18;3;20;-46;-62;-22;-2;8;-5;16;-34;-3;down
2;-2;-2;-15;-36;-19;-1;3;-4;30;9;7;4;5;6;-19;17;29;-9;-2;-5;26;5;5;7;-5;2;-19;14;-17;2;2;6;-6;-90;-10;-9;0;-11;41;75;10;8;9;4;-64;-1;-5;-1;-4;3;62;-23;10;-5;-5;-3;-4;41;1;-46;-7;-149;-224;385;-97;45;31;-5;533;696;-214;43;-20;38;-205;1057;80;133;1;67;-274;306;172;77;-4;96;612;-345;-29;38;-20;67;-418;-800;228;-45;13;-6;-310;-940;-72;-43;7;-27;229;-644;-63;-1;1;-23;-89;-531;-11;9;15;-20;128;-386;-6;down
3;-3;-15;23;-350;42;-30;6;-26;110;-293;-14;-53;-4;-37;74;-98;59;-78;-24;-46;-248;239;81;-69;6;-38;35;548;-110;-12;-2;19;115;546;-36;5;5;32;-102;347;29;6;-2;32;78;300;-40;8;-9;31;-134;115;12;14;11;20;47;-62;-39;0;1;3;-26;-94;12;0;-5;-6;20;-53;9;-4;8;-11;12;10;-15;0;1;-2;-24;34;18;1;-5;4;4;-3;3;2;2;0;20;18;-24;0;4;1;18;5;22;-1;-5;2;-17;1;-18;5;1;3;-7;-60;5;-5;0;-7;22;31;10;down
152;8;-35;-76;2181;-141;92;19;91;223;-232;40;17;-10;40;51;-741;200;-36;-24;3;-347;-775;3;-26;14;-18;116;-678;-74;-7;5;-35;20;-380;-9;4;0;-19;9;-414;20;-8;5;-11;-8;-254;34;-27;2;-23;121;-188;-46;-42;-2;-25;-15;-104;94;-78;-23;-43;61;204;-42;-51;-5;-26;-165;441;-59;2;15;13;67;481;-54;-9;-4;18;-91;359;50;24;5;41;100;322;-15;22;-8;37;-157;-114;12;-10;10;0;65;-13;0;5;-8;3;18;-44;1;7;0;-2;15;-46;-24;-7;2;-9;-32;-17;-11;down
6;0;3;2;-9;9;-10;6;-2;-9;22;-3;14;-1;8;38;-21;24;-14;-4;-8;-18;-17;-7;12;2;1;31;5;9;-3;-1;-2;-43;-3;10;-10;-9;-2;-6;33;-15;11;2;1;-23;-8;-37;-14;16;0;26;45;24;17;-15;10;18;-66;-6;-71;-14;-146;-391;409;25;7;28;-59;279;856;-183;85;11;40;434;1118;-134;155;-4;123;-931;788;506;90;78;88;717;-1132;-270;21;-99;72;141;-996;118;-27;32;14;-254;-1070;116;-34;-30;-27;109;-927;-115;31;41;-20;118;-775;-139;-30;-12;-76;69;-734;157;down
-84;-28;-85;168;-255;-95;-167;-35;-117;-536;644;60;-53;22;-18;135;1115;-122;15;24;78;60;750;1;17;6;74;-215;318;68;23;2;41;174;207;133;11;-33;21;-57;-87;27;-4;18;8;-128;-69;-14;19;-14;2;173;-192;-11;-24;-15;-26;-183;6;-144;1;39;-6;26;92;45;12;-4;9;69;19;51;7;-22;9;-42;-88;-65;-20;25;-10;-131;58;9;10;5;6;270;37;30;12;-35;14;10;-95;-39;-19;1;-25;-91;-40;-115;6;31;2;-31;90;-2;5;5;7;83;21;68;2;-12;8;-122;-35;8;down
-71;-19;-146;-181;567;13;0;11;-71;92;1072;-31;95;2;-5;256;1327;-188;257;42;198;548;114;-90;55;-9;168;-747;-1480;733;-36;-60;27;93;-1362;-143;-122;-2;-93;-167;-946;-262;8;55;-46;439;-394;-128;19;-23;-20;-218;-418;42;-33;17;-42;-63;-399;86;-57;-5;-37;150;-25;3;-116;-29;-65;-189;408;71;-45;4;-11;183;685;-101;10;1;40;-166;544;20;17;24;45;-32;366;-30;31;-17;46;82;26;42;1;3;10;-5;1;10;-4;-7;-2;-51;-72;-23;-3;6;0;44;-43;9;1;2;-4;-36;-41;-9;down
-3;1;-4;38;21;8;-2;-5;-3;-34;13;-13;1;10;0;34;60;20;11;-1;10;8;-17;15;-10;-7;-2;-17;-4;-5;4;3;-1;6;-7;-15;-1;1;-3;18;-1;16;0;-5;3;-26;0;-17;3;0;-1;9;-15;-5;1;3;-3;-10;3;-6;-69;-20;-154;-97;686;-151;56;14;-10;356;961;-192;128;-13;98;-163;638;74;85;59;87;-232;-249;120;15;-16;49;332;-716;122;25;-24;52;-479;-849;102;-28;30;-12;392;-920;-44;-35;-24;-41;-9;-531;55;9;2;-31;-33;-550;-9;-33;0;-44;82;-284;33;down
-80;-3;-64;-49;12;3;-58;-4;-24;187;417;-29;-54;-28;-16;-317;387;-15;-10;33;20;111;653;-8;15;-22;38;-115;117;2;-5;7;19;100;374;-23;31;-10;46;-142;-64;-26;7;20;8;53;-36;13;-13;-10;-12;-10;-45;-2;1;5;-6;19;-52;-16;0;4;-4;5;40;-19;-2;6;0;-11;24;37;3;-7;8;43;21;2;-1;-3;-1;-16;-54;-16;3;1;-5;-7;1;-13;-10;4;-3;25;45;14;6;0;3;2;3;7;1;2;2;-43;-9;26;3;-4;3;44;-11;-20;-2;-1;-3;-35;-16;-6;down
-55;-10;-145;-59;777;-207;96;14;48;227;515;-63;3;2;6;-343;344;157;89;15;49;160;303;-65;85;-2;96;34;-316;173;-3;6;39;-31;-657;83;-31;-23;-13;35;-675;-18;-8;8;-26;-58;-492;-54;-9;12;-32;45;-342;12;8;-1;-6;3;-285;22;-8;-4;-6;85;-315;-56;-33;2;-20;153;-135;-13;-16;-13;0;-68;-149;57;-58;4;-39;-26;-14;53;-38;-22;-29;19;207;-70;-51;5;-15;-202;516;36;10;8;28;119;380;-7;-15;-3;17;-99;219;12;18;-3;35;57;84;-20;-3;-7;7;-26;76;-13;down
8;3;5;-53;-10;-40;6;11;7;53;11;-2;-4;-5;-2;-23;-63;13;-3;4;-8;23;34;-35;1;4;-2;-7;49;54;3;-6;7;-34;-41;-12;-3;1;-1;40;6;-6;4;1;2;-22;-6;5;1;0;-1;-15;-25;1;-8;-1;-5;15;8;4;141;0;-65;87;2225;-169;115;30;95;-414;-207;181;33;-3;76;347;-832;31;-42;-21;6;-400;-884;120;-35;19;-29;568;-726;-186;-9;-4;-46;-94;-440;88;13;-3;-23;96;-425;-44;-25;-5;-25;-233;-240;56;-28;11;-11;320;-117;-54;-62;-12;-28;-162;10;51;down
-90;-11;-44;147;365;-50;-20;-19;-3;-154;392;-50;-5;15;17;-79;482;54;1;3;28;76;406;-12;14;-11;40;-71;52;16;13;6;21;-25;31;-19;6;1;7;-28;-75;-2;-4;4;-12;10;-26;-23;0;7;0;4;22;14;-2;-9;-1;-15;-32;-13;-5;5;-4;46;48;8;3;-3;4;-57;-31;2;6;1;4;33;-3;-2;-4;0;-2;30;22;6;-2;0;-4;-25;12;-1;-1;0;1;-47;0;11;13;4;4;74;-18;-28;-12;1;-3;-38;27;36;11;-12;3;28;-26;-34;-4;8;-2;-38;-16;5;down
-63;-6;-144;-340;653;54;-2;-10;-72;271;1101;-139;112;34;20;295;1397;-88;239;-29;161;328;-23;-194;78;36;112;-995;-1155;566;-59;-3;27;612;-1158;-213;-55;-16;-21;-322;-888;105;-28;5;-43;231;-644;-129;14;13;-30;8;-487;66;-7;0;-24;210;-434;-32;-43;-13;-24;-158;-190;44;-54;-1;-19;114;-100;-62;-77;-6;-34;-144;213;102;-43;-21;-13;126;414;-80;-42;2;-6;-333;574;72;9;6;41;316;415;-58;-6;-9;28;-228;290;38;22;4;32;47;69;-74;10;10;15;-81;15;52;-3;-1;-2;76;-63;-48;down
