AccX1,AccY1,AccZ1,GyrX1,GyrY1,GyrZ1,AccX2,AccY2,AccZ2,GyrX2,GyrY2,GyrZ2,AccX3,AccY3,AccZ3,GyrX3,GyrY3,GyrZ3,AccX4,AccY4,AccZ4,GyrX4,GyrY4,GyrZ4,AccX5,AccY5,AccZ5,GyrX5,GyrY5,GyrZ5,AccX6,AccY6,AccZ6,GyrX6,GyrY6,GyrZ6,AccX7,AccY7,AccZ7,GyrX7,GyrY7,GyrZ7,AccX8,AccY8,AccZ8,GyrX8,GyrY8,GyrZ8,AccX9,AccY9,AccZ9,GyrX9,GyrY9,GyrZ9,AccX10,AccY10,AccZ10,GyrX10,GyrY10,GyrZ10,AccX11,AccY11,AccZ11,GyrX11,GyrY11,GyrZ11,AccX12,AccY12,AccZ12,GyrX12,GyrY12,GyrZ12,AccX13,AccY13,AccZ13,GyrX13,GyrY13,GyrZ13,AccX14,AccY14,AccZ14,GyrX14,GyrY14,GyrZ14,AccX15,AccY15,AccZ15,GyrX15,GyrY15,GyrZ15,AccX16,AccY16,AccZ16,GyrX16,GyrY16,GyrZ16,AccX17,AccY17,AccZ17,GyrX17,GyrY17,GyrZ17,AccX18,AccY18,AccZ18,GyrX18,GyrY18,GyrZ18,AccX19,AccY19,AccZ19,GyrX19,GyrY19,GyrZ19,AccX20,AccY20,AccZ20,GyrX20,GyrY20,GyrZ20,Label
10,156,-4,-82,14,1003,19,27,-5,905,106,974,14,-111,-5,-221,-109,631,15,-17,-19,790,85,518,20,-130,-12,-286,-142,10,-14,-111,9,-201,132,-1064,-4,-15,1,-316,130,-870,10,-46,1,-371,-164,-1214,2,57,8,-721,15,-784,14,63,21,-64,-130,-709,-16,13,0,151,-82,-854,-22,75,-21,-827,10,304,7,66,6,635,-130,-466,-56,1,-13,-613,143,810,-13,91,10,632,146,389,8,-49,28,607,59,278,-10,-15,-2,-228,-29,781,1,-9,-3,364,-79,-93,-7,-33,-4,-209,56,425,6,-6,1,62,-9,-22,left
1,-16,3,-108,47,71,3,-2,0,85,-26,-67,7,-1,3,-71,-17,-14,-9,17,-5,37,-11,14,0,-7,-2,55,32,27,11,-3,6,-34,-46,-50,-9,-1,-4,12,16,46,7,-2,0,-7,-13,-37,-10,5,-2,-11,10,-15,2,-3,-4,-28,-19,9,34,160,9,9,197,723,18,69,-12,1119,-14,1380,36,-120,-6,402,-103,1564,12,-136,7,-303,-255,-300,-38,-112,-42,-17,207,-880,5,-73,5,-600,143,-901,2,-31,12,-474,-71,-1254,-2,17,-6,-384,27,-1443,24,74,23,-807,-40,-534,-10,77,3,520,-67,-840,left
-8,18,-5,-993,34,139,-5,194,3,395,-23,-38,-14,-36,14,499,-432,805,-45,30,-21,176,210,382,11,-41,15,154,17,587,-19,12,-4,103,29,396,-8,-37,1,411,122,-11,6,-29,5,-247,64,334,2,-14,4,76,-24,-50,-6,-1,-5,-75,55,-12,12,2,1,116,55,-40,0,-6,7,-87,-53,-10,3,12,0,34,-15,-11,0,-2,0,-13,-10,21,-1,2,0,-3,24,15,11,9,0,14,-97,1,-16,-16,-13,25,45,-14,13,12,11,-41,2,-2,-1,7,1,90,9,22,-5,-22,-1,-12,-35,8,left
0,161,-14,210,101,270,39,11,0,779,95,1030,13,-76,-2,390,-161,1388,6,-71,-1,-359,49,410,0,-79,-17,445,-34,-460,-11,-117,-16,-902,-35,-339,4,-59,12,15,283,-1470,15,-28,11,-754,-259,-1084,-22,49,-4,-537,56,-1053,19,99,21,-365,-72,-516,-26,68,4,89,-11,-270,6,41,0,-115,-114,144,-23,55,-5,340,-42,358,-5,-28,-3,-7,63,276,17,47,7,437,-47,-130,-5,-24,2,-207,53,706,-14,31,-5,85,-70,186,-3,-45,5,186,94,171,-3,24,1,-1,-14,239,-17,-13,-3,273,43,44,left
2,-16,2,-85,56,102,7,-16,3,-44,-37,17,-4,10,-4,63,56,-65,11,-4,6,-5,-36,42,-5,-1,-2,28,8,-31,0,3,-2,-3,-16,-20,-1,3,-2,16,20,24,-4,-7,0,-50,-8,0,11,14,4,55,-10,-21,-7,-8,-3,-35,20,65,36,-170,-32,1159,-32,1755,-8,-26,10,-644,148,-756,5,-17,15,-410,-95,-529,-28,7,-16,-270,-37,-1213,9,56,14,-528,109,-67,2,25,7,204,-75,-654,26,32,8,-362,-8,-319,-5,82,-6,315,-10,-44,-5,-20,-12,-153,-61,341,-1,51,-1,196,61,-151,left
19,16,11,-319,-66,608,-14,49,4,286,-68,346,-15,-23,0,128,-64,363,-26,-6,-10,353,113,158,0,-33,4,21,28,130,5,-10,5,39,-23,-8,-8,-21,-6,-23,32,66,8,3,3,58,44,-57,3,-3,3,-88,22,1,1,13,-2,48,-10,-35,-1,-10,1,-15,17,40,4,7,2,-7,-26,-8,-6,6,-4,37,-7,12,2,-6,0,33,43,-9,6,-11,4,-90,-52,-9,-6,15,-5,41,-7,-45,3,4,2,30,47,43,3,-10,5,-1,-18,7,-3,-1,-3,-42,-33,-43,-4,10,-4,30,28,35,left
5,154,-28,398,217,519,42,-71,19,692,117,1117,-1,-26,-6,-20,-106,288,42,-43,1,336,-92,759,-25,-64,-20,41,-32,-8,-6,-124,-3,-477,-86,-412,3,-71,22,-287,244,-1114,9,-44,12,-600,-290,-1115,-13,45,-11,-682,-19,-1108,13,95,10,-436,28,-495,-20,84,4,405,-124,-355,9,-4,5,-338,-11,55,-22,70,-9,328,-50,-23,-9,-18,-9,-69,-66,245,-1,46,-5,-253,79,411,9,23,21,502,28,244,-32,-8,-8,-11,-23,616,-5,-16,2,256,40,100,-9,8,-1,161,68,132,6,-30,6,-35,33,86,left
-4,-3,0,9,12,78,2,-5,1,56,13,-34,3,-9,0,17,37,23,3,-2,1,-2,-11,-15,4,5,2,2,-5,-31,-4,-1,-4,-52,-16,45,-2,1,-1,49,35,-23,5,-3,4,-21,-36,24,-2,1,0,22,6,-31,-3,11,-2,10,11,0,70,-146,-58,1922,26,2991,1,-147,27,-1361,187,-824,-9,3,11,-418,-21,-1611,-21,-6,-14,-251,-259,-1274,11,78,4,-837,-16,-705,5,108,22,-35,99,-519,-4,35,-2,-126,-7,-28,4,87,8,114,-43,145,-6,-7,3,225,-104,415,-27,26,-14,102,-34,142,left
18,9,13,59,-58,221,-23,-7,-9,22,20,254,2,24,4,-69,-90,184,-14,8,-2,359,55,212,-11,-19,-5,40,35,151,-3,4,3,151,94,206,-11,-22,-3,130,46,-4,5,-11,7,-27,41,63,6,-10,0,-19,21,8,4,2,3,78,42,-50,6,-7,4,-108,-11,110,-2,2,-3,83,-5,-72,-3,3,-1,-29,-17,-16,5,4,-1,4,3,57,2,-15,4,-3,-7,-55,-1,10,0,-56,-34,19,-4,13,-5,102,23,-18,-3,-11,0,-34,25,22,12,0,6,-18,-34,-13,-13,-1,-6,-3,35,13,left
-5,169,-29,654,331,27,25,4,77,-14,298,1319,61,-54,-97,814,-443,1565,25,-176,-7,1600,101,504,33,-213,34,-1833,-615,-2,-63,-35,-11,-514,385,-1843,-3,21,-4,-444,-18,-1268,-10,22,2,-378,106,-767,0,45,20,-537,-14,-733,-3,77,16,-159,-161,-258,-1,22,-1,266,-42,-471,-6,9,-6,-286,-102,99,-3,40,-2,50,-26,-393,-6,41,6,1,-5,187,-13,47,-2,124,83,443,-14,17,10,174,73,559,-6,-25,4,137,-17,637,-5,-8,3,155,-26,125,-7,-10,-3,133,56,243,-9,-34,-2,79,-18,23,left
