@relation minmax_training

@attribute AccX1 numeric
@attribute AccY1 numeric
@attribute AccZ1 numeric
@attribute GyrX1 numeric
@attribute GyrY1 numeric
@attribute GyrZ1 numeric
@attribute AccX2 numeric
@attribute AccY2 numeric
@attribute AccZ2 numeric
@attribute GyrX2 numeric
@attribute GyrY2 numeric
@attribute GyrZ2 numeric
@attribute AccX3 numeric
@attribute AccY3 numeric
@attribute AccZ3 numeric
@attribute GyrX3 numeric
@attribute GyrY3 numeric
@attribute GyrZ3 numeric
@attribute AccX4 numeric
@attribute AccY4 numeric
@attribute AccZ4 numeric
@attribute GyrX4 numeric
@attribute GyrY4 numeric
@attribute GyrZ4 numeric
@attribute AccX5 numeric
@attribute AccY5 numeric
@attribute AccZ5 numeric
@attribute GyrX5 numeric
@attribute GyrY5 numeric
@attribute GyrZ5 numeric
@attribute AccX6 numeric
@attribute AccY6 numeric
@attribute AccZ6 numeric
@attribute GyrX6 numeric
@attribute GyrY6 numeric
@attribute GyrZ6 numeric
@attribute AccX7 numeric
@attribute AccY7 numeric
@attribute AccZ7 numeric
@attribute GyrX7 numeric
@attribute GyrY7 numeric
@attribute GyrZ7 numeric
@attribute AccX8 numeric
@attribute AccY8 numeric
@attribute AccZ8 numeric
@attribute GyrX8 numeric
@attribute GyrY8 numeric
@attribute GyrZ8 numeric
@attribute AccX9 numeric
@attribute AccY9 numeric
@attribute AccZ9 numeric
@attribute GyrX9 numeric
@attribute GyrY9 numeric
@attribute GyrZ9 numeric
@attribute AccX10 numeric
@attribute AccY10 numeric
@attribute AccZ10 numeric
@attribute GyrX10 numeric
@attribute GyrY10 numeric
@attribute GyrZ10 numeric
@attribute AccX11 numeric
@attribute AccY11 numeric
@attribute AccZ11 numeric
@attribute GyrX11 numeric
@attribute GyrY11 numeric
@attribute GyrZ11 numeric
@attribute AccX12 numeric
@attribute AccY12 numeric
@attribute AccZ12 numeric
@attribute GyrX12 numeric
@attribute GyrY12 numeric
@attribute GyrZ12 numeric
@attribute AccX13 numeric
@attribute AccY13 numeric
@attribute AccZ13 numeric
@attribute GyrX13 numeric
@attribute GyrY13 numeric
@attribute GyrZ13 numeric
@attribute AccX14 numeric
@attribute AccY14 numeric
@attribute AccZ14 numeric
@attribute GyrX14 numeric
@attribute GyrY14 numeric
@attribute GyrZ14 numeric
@attribute AccX15 numeric
@attribute AccY15 numeric
@attribute AccZ15 numeric
@attribute GyrX15 numeric
@attribute GyrY15 numeric
@attribute GyrZ15 numeric
@attribute AccX16 numeric
@attribute AccY16 numeric
@attribute AccZ16 numeric
@attribute GyrX16 numeric
@attribute GyrY16 numeric
@attribute GyrZ16 numeric
@attribute AccX17 numeric
@attribute AccY17 numeric
@attribute AccZ17 numeric
@attribute GyrX17 numeric
@attribute GyrY17 numeric
@attribute GyrZ17 numeric
@attribute AccX18 numeric
@attribute AccY18 numeric
@attribute AccZ18 numeric
@attribute GyrX18 numeric
@attribute GyrY18 numeric
@attribute GyrZ18 numeric
@attribute AccX19 numeric
@attribute AccY19 numeric
@attribute AccZ19 numeric
@attribute GyrX19 numeric
@attribute GyrY19 numeric
@attribute GyrZ19 numeric
@attribute AccX20 numeric
@attribute AccY20 numeric
@attribute AccZ20 numeric
@attribute GyrX20 numeric
@attribute GyrY20 numeric
@attribute GyrZ20 numeric
@attribute Label {down,left,right,tilt_left,tilt_right,up}

@data
8,?53,?13,?6,10,?1,?18,?46,?24,?5,?3,?2,?28,?46,?31,?4,?7,?3,?30,?43,?35,?4,?8,?3,?32,?42,?37,?4,?9,?3,?44,?39,?45,?3,?11,?3,?45,?40,?48,?3,?10,?3,?48,?39,?50,?3,?7,?3,?50,?41,?50,?3,?5,?3,?53,?41,?49,?3,0,?4,?50,?41,?45,?3,1,?4,?49,?41,?41,?4,3,?4,?43,?40,?37,?4,2,?4,?40,?40,?34,?3,1,?4,?38,?40,?33,?4,?1,?4,?38,?40,?35,?4,?3,?4,?39,?39,?38,?3,?4,?4,?40,?40,?40,?4,?4,?3,?41,?40,?42,?3,?4,?4,?40,?41,?41,?4,?4,?3,down
?43,?39,?41,?3,?3,?3,?39,?41,?39,?3,?4,?4,?42,?40,?41,?4,?4,?3,?41,?40,?41,?4,?3,?4,?40,?40,?41,?4,?4,?4,?40,?41,?41,?4,?4,?4,?41,?40,?41,?4,?3,?4,?40,?40,?40,?4,?3,?4,?40,?40,?40,?4,?4,?3,?41,?40,?41,?4,?3,?4,?29,?40,?41,0,4,?4,?24,?42,?35,?4,3,?3,?25,?40,?32,?3,?1,?3,?27,?43,?33,?4,?5,?4,?29,?40,?37,?5,?7,?4,?39,?40,?37,?7,?17,?3,?46,?38,?45,?4,?16,?4,?46,?40,?49,?3,?13,?5,?47,?37,?50,?3,?9,?3,?49,?40,?48,?1,?7,?3,down
?65,?51,?55,?8,3,?2,?57,?43,?48,?7,6,?3,?51,?42,?42,?5,5,?4,?50,?42,?40,?5,5,?3,?46,?42,?37,?4,4,?3,?42,?40,?34,?4,3,?4,?39,?41,?33,?3,0,?4,?39,?41,?34,?5,?2,?3,?38,?40,?36,?4,?3,?4,?40,?40,?39,?4,?4,?4,?39,?39,?40,?3,?4,?4,?41,?40,?41,?3,?4,?3,?40,?40,?41,?3,?3,?4,?40,?41,?41,?4,?3,?3,?40,?40,?40,?3,?3,?4,?40,?41,?40,?4,?4,?3,?40,?41,?40,?3,?4,?4,?41,?41,?41,?4,?4,?4,?40,?40,?41,?3,?3,?4,?40,?41,?40,?4,?4,?4,down
?47,?38,?97,?11,24,?7,?16,?35,?55,7,21,?8,?18,?43,?39,?6,12,?3,?17,?37,?34,?2,5,?3,?24,?42,?32,?4,0,?3,?24,?41,?21,?2,?9,?2,?39,?43,?30,?8,?16,?2,?41,?39,?39,?2,?17,?4,?46,?42,?45,?4,?16,?4,?46,?38,?49,?3,?13,?5,?46,?40,?50,?3,?9,?4,?45,?39,?47,?3,?7,?3,?49,?40,?46,?2,?5,?3,?51,?41,?46,?3,?3,?3,?54,?41,?47,?4,0,?3,?51,?41,?44,?4,2,?3,?49,?41,?41,?3,3,?3,?46,?42,?37,?4,3,?4,?42,?41,?35,?4,2,?4,?38,?40,?33,?4,?1,?4,down
?40,?41,?41,?4,?4,?4,?40,?40,?41,?3,?4,?4,?40,?40,?40,?4,?4,?3,?41,?40,?41,?3,?4,?3,?40,?40,?41,?4,?3,?3,?40,?40,?40,?3,?4,?3,?41,?40,?41,?3,?3,?3,?40,?40,?41,?4,?4,?4,?40,?40,?40,?3,?4,?4,?41,?40,?40,?3,?4,?3,?44,?41,?51,?4,?1,?4,?40,?39,?51,?2,2,?5,?38,?41,?49,?3,6,?5,?28,?40,?44,?4,8,?4,?23,?40,?37,?1,6,?4,?17,?41,?22,?2,1,?2,?23,?43,?22,?6,?7,?2,?29,?41,?26,?4,?15,?2,?39,?41,?33,?3,?19,?3,?43,?39,?41,?6,?19,?3,down
?39,?41,?46,?3,?12,?3,?45,?40,?48,?2,?11,?3,?50,?41,?50,?2,?9,?3,?54,?43,?51,?4,?6,?3,?57,?42,?52,?4,?3,?3,?58,?42,?50,?3,1,?4,?55,?42,?45,?4,4,?3,?51,?42,?40,?4,6,?4,?45,?41,?35,?4,5,?4,?39,?40,?31,?3,2,?4,?38,?40,?32,?4,?1,?4,?38,?41,?35,?4,?3,?4,?39,?40,?38,?4,?4,?4,?40,?39,?40,?3,?4,?4,?41,?40,?41,?4,?4,?3,?40,?40,?41,?3,?3,?4,?40,?40,?41,?3,?3,?3,?40,?41,?40,?4,?3,?4,?40,?41,?40,?3,?4,?4,?40,?40,?40,?3,?4,?4,down
13,?38,?53,?5,47,?7,3,?36,?30,?2,19,?5,?10,?38,?29,?2,6,?3,?20,?41,?32,?4,?1,?3,?26,?40,?35,?4,?5,?3,?38,?40,?35,?3,?17,?3,?44,?41,?42,?4,?17,?3,?46,?40,?46,?4,?15,?4,?45,?39,?48,?2,?12,?4,?46,?40,?48,?3,?10,?3,?51,?42,?49,?3,?7,?3,?55,?42,?50,?4,?3,?4,?54,?41,?48,?3,0,?4,?53,?42,?45,?4,3,?4,?48,?41,?40,?4,5,?4,?41,?40,?35,?5,3,?4,?38,?39,?33,?4,1,?4,?38,?41,?33,?4,?1,?3,?37,?40,?35,?3,?3,?4,?39,?41,?38,?4,?5,?4,down
?38,?40,?39,?3,?4,?3,?41,?39,?40,?4,?3,?3,?39,?40,?39,?3,?4,?3,?41,?40,?40,?3,?4,?3,?40,?40,?40,?3,?4,?3,?40,?40,?41,?4,?4,?3,?40,?41,?41,?4,?4,?3,?41,?41,?41,?4,?3,?4,?41,?40,?41,?4,?3,?4,?40,?41,?40,?4,?4,?4,?45,?42,?50,?5,?2,?4,?44,?39,?54,?4,2,?4,?39,?39,?51,?2,7,?5,?27,?40,?43,?6,11,?3,?22,?33,?37,?3,6,?4,?15,?39,?22,?1,?1,?3,?17,?39,?17,?3,?10,?2,?26,?42,?21,?5,?19,?2,?35,?39,?31,0,?26,?5,?43,?45,?43,?3,?24,?3,down
?70,?50,?71,0,?9,?6,?85,?52,?76,?8,1,?4,?76,?45,?66,?5,8,?5,?66,?42,?53,?5,10,?4,?60,?41,?45,?5,8,?4,?52,?39,?36,?5,11,?3,?40,?39,?27,?3,7,?3,?36,?39,?25,?4,2,?3,?36,?42,?30,?4,?3,?3,?39,?43,?37,?4,?4,?4,?40,?41,?40,?4,?5,?4,?40,?39,?41,?4,?4,?4,?39,?42,?41,?3,?4,?4,?42,?39,?42,?5,?3,?4,?40,?37,?40,?3,?3,?3,?39,?43,?38,?3,?4,?4,?41,?42,?41,?3,?4,?4,?41,?39,?41,?3,?3,?4,?39,?40,?40,?2,?3,?4,?40,?41,?40,?4,?4,?4,down
?66,?47,?92,?8,10,?3,?53,?42,?79,?5,16,?4,?38,?41,?67,?2,19,?5,?16,?37,?43,1,14,?5,?17,?39,?30,?4,4,?1,?14,?41,?18,?2,?5,?2,?23,?42,?20,?4,?14,?3,?29,?39,?22,?3,?22,?3,?46,?43,?38,?6,?25,?2,?52,?41,?53,?3,?20,?5,?54,?37,?57,?3,?14,?5,?53,?39,?55,?3,?7,?3,?57,?43,?53,?4,?2,?3,?58,?41,?49,?4,2,?3,?54,?41,?42,?4,6,?4,?48,?42,?37,?4,6,?4,?39,?39,?31,?3,4,?4,?37,?40,?31,?4,0,?3,?37,?40,?33,?3,?2,?3,?39,?41,?37,?3,?4,?3,down
