AccX1,AccY1,AccZ1,GyrX1,GyrY1,GyrZ1,AccX2,AccY2,AccZ2,GyrX2,GyrY2,GyrZ2,AccX3,AccY3,AccZ3,GyrX3,GyrY3,GyrZ3,AccX4,AccY4,AccZ4,GyrX4,GyrY4,GyrZ4,AccX5,AccY5,AccZ5,GyrX5,GyrY5,GyrZ5,AccX6,AccY6,AccZ6,GyrX6,GyrY6,GyrZ6,AccX7,AccY7,AccZ7,GyrX7,GyrY7,GyrZ7,AccX8,AccY8,AccZ8,GyrX8,GyrY8,GyrZ8,AccX9,AccY9,AccZ9,GyrX9,GyrY9,GyrZ9,AccX10,AccY10,AccZ10,GyrX10,GyrY10,GyrZ10,AccX11,AccY11,AccZ11,GyrX11,GyrY11,GyrZ11,AccX12,AccY12,AccZ12,GyrX12,GyrY12,GyrZ12,AccX13,AccY13,AccZ13,GyrX13,GyrY13,GyrZ13,AccX14,AccY14,AccZ14,GyrX14,GyrY14,GyrZ14,AccX15,AccY15,AccZ15,GyrX15,GyrY15,GyrZ15,AccX16,AccY16,AccZ16,GyrX16,GyrY16,GyrZ16,AccX17,AccY17,AccZ17,GyrX17,GyrY17,GyrZ17,AccX18,AccY18,AccZ18,GyrX18,GyrY18,GyrZ18,AccX19,AccY19,AccZ19,GyrX19,GyrY19,GyrZ19,AccX20,AccY20,AccZ20,GyrX20,GyrY20,GyrZ20,Label
40,153,-2,-578,-2,-1103,-23,55,-9,290,-66,830,-24,-50,-11,547,120,499,11,-79,20,82,26,317,11,8,1,-385,6,346,29,7,5,435,41,312,4,-33,1,-77,-57,315,-3,-30,-4,172,-17,86,5,-39,2,-100,-51,41,-2,-27,-6,160,-59,-127,-14,-87,0,-408,-18,-512,-18,33,-9,-54,68,-404,6,11,7,-43,36,-440,5,42,6,-103,14,-231,-8,30,-1,-15,-57,-135,-10,18,-2,39,34,36,0,4,3,-18,-14,43,5,4,3,26,3,51,-5,-1,-5,18,-25,65,4,-7,1,29,47,9,right
-6,2,1,-22,-7,26,1,-4,-1,43,-7,11,7,-2,3,-23,4,-7,-3,3,-3,20,3,11,-1,-6,2,-26,27,-19,9,2,6,32,-56,25,-11,-7,-10,-43,-5,-33,5,7,-2,5,34,12,-1,1,3,2,10,14,-8,-6,1,-36,-11,-33,-2,157,-9,-156,-99,-814,-12,-43,-3,225,-45,399,-10,0,2,-57,111,454,7,-21,3,101,47,285,4,-12,3,3,59,303,9,-13,4,58,34,206,8,-23,4,63,-4,198,-2,-17,-4,-19,3,69,16,-14,6,-101,-5,24,4,-23,3,151,-31,-139,right
-6,22,-7,-89,8,151,0,-61,0,-43,-99,-396,-5,5,-2,141,81,-164,1,30,-1,-267,-34,-151,5,-9,4,131,0,-185,-15,8,-1,-58,-21,-62,-1,-2,1,-86,-6,-113,11,12,5,66,0,-84,-9,18,-7,-29,-18,2,-4,-2,-3,-15,13,-3,1,3,2,25,4,25,1,1,-1,-13,9,20,6,-9,4,-12,-21,-3,-6,6,-3,65,22,4,7,-1,4,-40,-20,-13,-7,-6,-4,-11,3,22,2,4,-2,30,9,-29,5,3,3,-25,2,31,-6,-6,1,-9,4,-23,5,1,2,17,-23,21,right
-7,-156,-16,-27,88,-662,59,14,24,-101,-2,-818,12,63,-7,-371,-176,-395,-21,83,-13,-124,47,-29,14,100,24,245,14,326,-33,28,-15,-37,-60,472,-29,7,-11,118,-129,456,-19,1,-13,298,135,464,2,-10,7,44,117,478,5,-27,8,194,52,285,15,-27,11,-138,-8,398,-7,-8,-7,28,55,211,13,-34,0,49,9,238,19,-15,6,58,-7,83,-2,-62,0,-207,-72,-228,0,-22,-3,260,107,-194,-2,27,2,-283,-74,-289,10,-34,7,86,-17,-420,-13,41,-4,40,-22,-145,-9,7,-4,-164,-22,-172,right
1,15,2,94,-17,-99,-7,9,0,-88,-32,-26,-4,12,-2,-15,30,-7,4,-3,1,37,-13,17,2,3,5,-7,-10,27,-4,-6,-6,11,-10,-26,2,6,-1,-1,18,25,0,-4,1,-5,12,1,-1,0,2,-3,4,1,2,2,1,17,-18,10,7,-170,-28,85,-68,-358,7,-35,-11,-300,223,-540,79,20,28,-26,152,-1609,40,126,32,-1027,-141,-350,-4,205,-10,125,-289,522,-82,56,-34,653,-73,776,-39,12,-14,248,38,980,-25,-30,0,59,56,579,3,-27,6,419,168,624,18,-75,20,51,85,278,right
19,-4,6,-137,-14,196,8,-50,4,375,42,141,3,46,-6,-332,-62,265,11,-77,5,430,-22,-137,-18,-16,-7,-172,7,190,7,-54,3,-183,-135,-378,-4,-40,1,35,51,-417,-14,51,-4,-227,14,-315,8,-6,9,-177,-60,-418,-17,60,-7,63,40,-68,-2,5,3,-47,-33,-34,-1,13,0,72,49,28,2,-13,2,27,-38,20,-3,4,0,-43,21,-12,5,6,2,40,-8,13,-6,-9,-3,-22,-13,-9,0,9,-3,12,22,31,4,-14,3,6,2,-22,3,9,3,19,-6,16,-3,-2,-2,-75,-15,-16,right
28,-167,-2,41,-85,-451,6,-29,-3,-21,-19,-823,46,5,1,-197,101,-1165,19,97,-10,-1027,20,-509,8,307,-6,-330,-29,797,-78,123,-11,1278,-168,1083,-62,-125,-8,312,59,1061,-6,-47,6,47,195,557,37,-36,19,293,84,317,20,-16,7,-19,87,556,6,-90,6,119,-90,53,-2,-13,-4,-113,103,180,7,-39,8,-6,-157,-346,2,7,-5,-82,48,8,-13,-32,5,97,-114,-329,-8,24,-7,-348,14,-231,12,-32,4,292,15,-273,-19,59,-7,-388,-103,-120,5,-22,3,265,105,-96,-12,6,2,-140,-12,-78,right
3,-5,2,-70,-5,-142,6,13,3,40,-21,-90,-7,22,-1,-37,-33,-6,0,-1,-4,15,2,20,1,4,-2,41,25,24,-1,-7,3,-29,-7,10,-3,-2,-2,26,19,15,-6,3,-2,-55,36,-31,8,3,5,14,-37,31,-7,-4,-1,-32,-27,-1,30,-153,1,606,-45,10,4,-102,-24,-837,55,-1283,74,141,24,-418,124,-973,12,132,15,-157,-108,-111,-47,101,-19,219,-169,528,-42,3,-17,461,34,371,-16,51,1,-406,53,522,-9,61,-6,576,2,839,-22,-47,-9,210,174,888,24,-91,21,323,64,306,right
33,-34,15,-359,-43,409,15,-15,-5,267,-19,44,4,-84,4,111,-23,67,-16,-3,0,-171,-6,-107,-1,-80,0,-86,-150,-659,-13,24,-5,24,150,-138,-7,35,-2,-359,-151,-385,5,1,2,139,72,-300,-19,39,-2,-147,-31,-72,1,6,4,-24,47,-43,1,20,3,25,-18,19,1,0,2,68,-6,36,-3,-8,-2,2,-2,30,1,2,-3,-31,-16,5,0,-2,-1,-1,41,-14,5,10,7,47,-8,38,-4,-14,-3,-46,-25,3,1,4,-3,51,24,-10,0,-8,-1,-60,-26,-4,-4,5,0,18,44,-17,right
27,-168,-3,164,-81,-504,22,-48,-2,-446,83,-1072,36,151,7,-448,-86,-637,1,106,6,34,-83,49,-47,75,-15,231,43,528,-34,23,-11,-99,-77,316,-19,84,-1,300,66,878,-11,-27,-7,322,77,702,13,-74,10,369,180,598,12,-67,11,-257,-34,199,13,-43,4,106,28,16,7,23,0,254,127,264,11,-72,9,-410,-195,-394,-5,37,-4,346,80,105,1,-14,3,-223,-68,57,4,-50,1,-52,-108,-390,-7,19,-5,106,7,-136,0,29,-1,-207,-42,-46,-21,-33,-9,2,31,-222,-2,24,2,46,57,-86,right
7,-22,8,-232,-36,-178,-5,36,-2,127,38,-97,14,5,10,-78,-60,-3,-20,12,-10,28,0,22,11,2,-1,32,12,32,-4,-6,1,-21,10,28,-2,-8,-1,34,14,-17,14,3,9,-13,-10,0,-10,4,-5,-9,8,-19,-2,-3,-1,-17,-18,-5,10,-168,-7,152,-70,-573,51,-31,3,-514,44,-933,35,100,5,-241,-78,-743,-1,103,-1,-188,-75,-180,-37,105,-15,-47,-33,453,-43,75,-17,320,211,493,-22,54,4,251,-96,947,-30,-10,-10,335,127,761,18,-61,14,173,144,713,14,-74,16,180,61,299,right
24,-40,5,-72,37,278,16,-58,4,73,-92,-199,-4,-15,4,-11,12,37,-1,39,-5,-112,-35,-98,19,-83,8,266,-83,-326,-28,35,-6,-309,-41,108,4,-24,-1,-178,-134,-407,-15,9,-8,200,108,-185,2,12,0,-261,-35,-118,-8,-19,1,92,53,-252,-3,33,4,-144,3,-96,9,17,6,46,-19,-33,-12,10,-5,-54,-43,10,5,-4,-2,122,51,30,-2,-2,2,-89,-9,24,-1,1,-3,61,29,1,2,-6,5,-85,-23,-5,-1,10,-2,61,-6,28,1,-11,0,-19,2,-8,-2,5,-2,-3,6,0,right
20,-164,3,433,-170,-284,11,-57,2,-737,39,-1084,57,96,6,-386,15,-911,10,99,0,18,-187,-293,-26,73,-20,-129,2,174,-37,141,-16,181,184,654,-29,30,-6,492,-25,798,-36,-10,7,34,61,994,-12,-24,4,356,191,604,44,-61,25,102,8,506,1,-33,-11,-59,60,419,24,-87,12,337,-21,0,-18,0,-3,-663,-38,20,25,-46,8,584,33,-204,-14,39,-10,-195,-78,151,1,-102,4,-151,-129,-686,-24,3,-6,2,56,-314,4,57,1,-183,5,-227,10,5,6,21,-49,-226,-25,29,-8,-12,47,-28,right
2,-15,3,-106,14,-100,3,25,5,98,30,-12,6,0,4,-75,-87,4,-12,5,-7,64,50,14,9,-4,1,9,-28,-2,-5,7,-4,34,78,21,-4,-5,1,-32,-18,34,3,-5,3,-7,-34,-8,3,-8,-1,-39,-25,-26,4,5,2,54,15,-8,19,-180,1,270,-97,-342,10,-14,-14,-826,106,-913,64,71,17,144,-51,-906,0,52,0,-383,-176,-435,-13,115,-19,-88,72,55,-21,80,-13,-65,90,418,-10,83,-5,303,-81,576,-59,212,-22,-375,-174,1811,-31,-233,-17,2328,440,-99,36,-152,52,-970,44,607,right
22,124,3,-402,165,682,37,-114,18,767,-77,61,-7,-23,6,-601,-34,437,13,30,7,263,-104,22,0,-95,-6,410,-184,-226,-45,-93,-13,-883,-11,-663,9,39,-2,654,125,-267,-19,33,-3,-747,-150,-559,5,32,0,380,137,-206,-13,22,3,-277,-60,-44,-4,12,0,91,70,-108,11,8,12,-28,-20,55,-3,3,-4,-14,-57,2,-2,-2,-3,-2,3,12,-5,7,-2,52,40,35,-4,-4,-3,3,24,-3,2,2,2,-10,18,30,9,-9,6,-27,-56,-3,-1,-2,-2,6,2,-7,2,2,-2,-4,-12,7,right
20,-162,6,77,-83,-587,25,-17,-4,-283,65,-978,22,110,4,-540,-112,-536,-7,103,-10,25,3,-103,-6,60,-2,12,17,386,-38,55,-16,172,-8,593,-14,28,-4,412,99,688,-14,5,1,19,36,642,1,-12,2,383,130,651,11,-70,13,88,54,430,17,-58,8,23,-12,110,13,-9,0,-150,-39,-6,12,-47,9,442,-6,80,-20,25,-7,-438,-58,-30,13,-79,7,69,-35,-427,-24,66,-8,28,61,82,15,-71,10,-289,-174,-421,-18,31,-12,233,101,-81,-3,3,-1,-323,-52,-218,4,-4,4,106,34,-206,right
-3,35,0,-59,-18,-62,0,-5,2,-40,11,-57,-3,10,1,45,-7,-26,2,9,-3,-15,-15,39,-3,-9,-2,-10,11,-17,0,8,2,16,29,45,3,-11,3,-22,-17,-43,-1,7,-1,2,-32,21,-4,2,-6,23,24,-10,0,0,3,-25,17,39,0,-159,-3,566,-115,-321,41,-24,6,-840,134,-842,40,83,10,-182,-119,-668,-8,60,-7,-252,-152,-339,-23,59,-13,-59,-1,-17,-12,67,0,392,120,310,-23,56,-12,-95,131,468,-4,69,-1,371,26,950,-29,-45,2,376,-120,648,-7,-45,6,-155,107,677,right
35,-50,10,128,73,200,33,15,10,26,136,564,-13,-69,-4,265,-220,-224,-6,-33,-1,-61,20,223,-8,16,-3,-260,-60,-79,5,-81,1,293,4,-392,-12,22,-4,-194,87,-88,5,-45,3,-234,-147,-638,-12,32,-1,171,157,-177,1,26,4,-326,-86,-241,-1,18,4,80,21,-74,-11,10,-8,9,-20,-41,2,15,5,-50,7,11,0,3,-2,51,-10,26,-4,-9,-2,-25,3,-6,4,8,3,38,22,43,5,-9,3,-71,-36,-1,-7,6,-4,48,33,18,7,-4,1,-13,-40,17,-7,-2,-1,-3,6,-10,right
15,-162,-4,286,-67,-423,24,-19,-7,-534,126,-711,34,25,1,-431,0,-1015,29,76,14,-278,-113,-613,-9,155,-20,-636,13,194,-24,217,-15,753,83,774,-37,-15,-6,720,-215,1262,-53,-62,-17,220,125,800,4,-72,22,256,149,465,20,-49,18,-33,109,200,28,8,4,52,81,301,7,-53,8,221,-27,86,0,-16,4,-41,11,207,5,-4,-2,-101,-71,-82,4,-56,0,157,-87,-80,-9,39,-4,-91,37,18,-1,-82,3,-182,-138,-450,-6,23,-5,99,71,-74,-12,-16,1,-365,-75,-394,2,11,2,97,66,-227,right
