AccX1;AccY1;AccZ1;GyrX1;GyrY1;GyrZ1;AccX2;AccY2;AccZ2;GyrX2;GyrY2;GyrZ2;AccX3;AccY3;AccZ3;GyrX3;GyrY3;GyrZ3;AccX4;AccY4;AccZ4;GyrX4;GyrY4;GyrZ4;AccX5;AccY5;AccZ5;GyrX5;GyrY5;GyrZ5;AccX6;AccY6;AccZ6;GyrX6;GyrY6;GyrZ6;AccX7;AccY7;AccZ7;GyrX7;GyrY7;GyrZ7;AccX8;AccY8;AccZ8;GyrX8;GyrY8;GyrZ8;AccX9;AccY9;AccZ9;GyrX9;GyrY9;GyrZ9;AccX10;AccY10;AccZ10;GyrX10;GyrY10;GyrZ10;AccX11;AccY11;AccZ11;GyrX11;GyrY11;GyrZ11;AccX12;AccY12;AccZ12;GyrX12;GyrY12;GyrZ12;AccX13;AccY13;AccZ13;GyrX13;GyrY13;GyrZ13;AccX14;AccY14;AccZ14;GyrX14;GyrY14;GyrZ14;AccX15;AccY15;AccZ15;GyrX15;GyrY15;GyrZ15;AccX16;AccY16;AccZ16;GyrX16;GyrY16;GyrZ16;AccX17;AccY17;AccZ17;GyrX17;GyrY17;GyrZ17;AccX18;AccY18;AccZ18;GyrX18;GyrY18;GyrZ18;AccX19;AccY19;AccZ19;GyrX19;GyrY19;GyrZ19;AccX20;AccY20;AccZ20;GyrX20;GyrY20;GyrZ20;Label
-23;-159;-43;2351;-81;-336;12;-32;8;-166;166;357;-13;-14;-34;1467;-351;439;23;-74;-51;-345;-218;83;-13;5;-53;-167;53;-602;-17;-32;-79;-1272;700;-32;20;-9;19;-523;43;-648;-54;37;-67;287;105;619;30;-17;-15;-1191;126;-280;-15;-2;-17;-787;-527;256;-7;-26;22;-1872;442;-55;10;41;44;-1061;-5;472;3;-5;53;1748;-408;-323;-2;-26;6;9;116;420;-5;26;26;-321;-350;-64;8;13;28;-1210;229;242;25;29;62;1515;212;-247;-6;20;-2;-439;179;-15;12;2;10;-1006;-599;477;-4;45;25;-1498;-40;431;tilt_left
25;89;58;3300;348;-1012;-21;-10;-15;258;-146;33;10;34;17;535;-51;-91;-1;-9;-9;56;54;9;2;4;-1;-794;36;323;-5;11;-6;685;77;-421;13;16;13;114;-143;37;-8;3;-2;157;-10;-71;-2;3;2;141;36;-33;-2;-16;-12;-132;13;63;11;-153;-61;4670;291;-775;3;-53;-69;-183;-35;-124;-37;-21;-59;413;-135;-114;-9;-36;-70;-1113;104;186;-14;-2;-36;-2032;-237;266;-6;15;-25;-1059;22;206;-6;18;-6;-928;32;263;3;-6;1;-569;-114;182;-9;10;16;-175;17;38;11;-19;21;-693;-22;164;tilt_left
11;-8;21;-793;-62;-23;-5;5;53;-364;64;135;9;11;30;542;62;-38;7;8;42;-382;20;54;0;27;34;-216;32;69;21;44;58;532;60;-32;5;23;11;330;-58;-93;10;26;20;-403;91;115;1;53;15;362;-152;-58;-6;35;23;1327;57;-305;5;-13;-22;-79;-7;80;2;20;9;64;-125;-62;-4;16;0;-15;76;12;2;15;3;166;-31;-62;-2;10;-3;248;24;-9;1;9;7;386;38;-70;7;-13;-6;108;-7;-12;-11;0;-1;-163;28;46;7;9;2;73;-30;-66;-4;-5;1;62;11;22;tilt_left
-10;-152;-45;3204;45;-467;2;-45;-40;419;-56;-88;-8;-45;-45;-434;-13;57;-13;-17;-46;-406;18;21;0;-23;-43;-544;44;78;-20;11;-41;-70;19;-20;-1;4;-31;-387;-14;102;-1;-6;-32;-634;-59;73;-12;5;-7;-732;37;129;7;1;-6;-1404;-53;182;-9;9;20;-381;-68;112;10;-11;25;-218;47;81;7;-3;18;-246;-23;-59;-3;-8;35;-453;49;78;9;-2;27;-436;43;87;-4;27;43;-46;-56;-7;7;22;48;276;142;96;17;23;28;111;-107;-62;-4;24;29;224;81;45;17;20;13;126;-23;-50;tilt_left
4;31;22;125;-58;-57;-5;37;17;286;60;-16;8;21;6;395;-44;-75;0;15;0;206;26;-45;3;7;-2;74;-60;-8;0;19;0;-93;-19;-2;-7;20;9;441;4;-69;6;6;-2;567;24;-123;4;-7;-1;-29;5;25;-3;-1;-1;-86;-22;5;-18;-149;-51;3163;56;-514;3;-41;-45;482;-45;-86;-15;-34;-47;80;90;-7;-2;-23;-61;-299;38;13;-14;-9;-43;-558;-22;77;-9;6;-40;-392;-5;111;-3;9;-35;-790;-28;140;-3;-25;-23;-1257;-27;183;-5;19;4;-1319;-56;199;2;4;17;-670;-98;130;tilt_left
9;-13;29;-1017;13;165;8;0;44;-1045;-1;81;8;16;63;-446;81;161;11;24;60;-132;43;59;8;50;55;325;0;-4;7;54;32;171;5;-51;15;64;40;830;25;-171;0;57;15;1218;-39;-151;6;18;-6;816;20;-181;-7;5;2;995;-53;-187;6;-13;-9;131;-3;-36;-8;-8;-3;-230;33;63;3;8;2;-10;-17;-21;-3;-5;-1;183;20;-1;6;-1;4;-129;-25;6;-5;-1;-3;51;10;-7;-3;-6;-3;-131;7;34;8;13;5;158;-3;-49;-5;-12;-3;-101;6;24;7;5;4;25;-11;10;tilt_left
-18;-146;-66;4458;139;-676;-11;-68;-62;100;-31;-95;-4;-30;-47;-381;8;8;-15;-34;-66;-501;20;52;-12;24;-50;-713;11;204;-9;-26;-32;-1415;-46;215;-1;17;-18;-1299;-29;214;-1;12;2;-1013;-54;187;-2;-4;11;-659;-61;154;11;-7;21;-788;-54;118;7;-3;35;-1101;20;78;2;3;60;-735;33;218;17;19;58;-339;26;112;9;49;64;395;-19;-20;15;51;38;410;43;-82;-2;50;38;947;13;-174;5;45;13;794;-34;-125;2;21;-3;472;55;-147;9;25;3;361;-40;-91;-6;14;1;380;28;-32;tilt_left
1;-1;-2;296;-15;-68;-2;5;2;300;2;-62;4;-5;-6;150;-26;-20;-6;2;2;-205;-8;39;3;1;1;37;53;-11;2;-1;0;63;-54;0;-4;2;1;-48;40;4;1;-5;-4;-35;-27;-1;3;3;4;10;-3;14;-1;-1;-2;20;14;-29;-13;-160;-59;4579;7;-689;-3;-65;-50;-929;56;108;-2;-38;-40;-413;-32;22;-15;-12;-43;-432;27;61;-14;5;-42;5;79;42;-4;-16;-45;-545;-79;106;-7;-4;-26;-1330;12;175;-2;11;-1;-1746;-101;226;-2;-1;10;-1167;-50;250;9;-6;35;-1226;-89;140;tilt_left
9;20;57;-1091;5;131;7;20;74;634;37;-56;7;34;53;719;62;-55;2;28;18;236;82;14;5;39;30;521;-45;-96;7;29;11;402;83;-91;0;31;13;289;10;-59;8;28;6;-38;-62;32;-3;26;6;369;-8;-52;6;24;1;473;14;-85;-7;2;-5;455;-2;-96;-1;1;3;260;9;-45;2;-8;-6;113;-30;6;3;2;1;-123;18;-6;0;1;0;-78;19;19;-2;7;6;175;-43;39;-1;-17;-8;428;100;-161;9;1;8;-632;-38;165;-3;7;6;202;-6;-102;2;-7;-12;48;-66;28;tilt_left
-11;-158;-52;3190;-83;-511;-14;-40;-39;228;111;-4;0;-33;-63;228;181;-72;-19;-26;-47;-861;-104;87;-6;-7;-42;-618;40;63;-8;1;-27;-357;-57;-6;-11;-6;-26;-546;-8;174;0;11;-22;-764;27;176;-6;2;-6;-1341;-84;175;6;-9;13;-1135;-37;215;9;6;35;-330;-79;52;-1;-7;33;-544;23;108;13;7;40;-283;58;57;5;12;45;-187;31;48;-2;33;51;242;36;39;16;36;40;410;81;-34;13;28;17;9;13;-25;3;32;21;180;-3;-7;12;43;21;217;-188;-151;-8;33;7;365;72;-27;tilt_left
5;30;5;434;-73;-55;-5;18;2;613;80;-100;1;14;0;595;-3;-146;-2;-8;-7;415;13;-77;5;-17;-2;-152;36;37;3;6;5;-172;-44;16;-4;-2;-2;-25;55;36;4;6;1;107;-87;-53;-4;-10;-3;-2;45;20;1;-2;-2;-109;-41;15;-6;-146;-55;3672;174;-706;-15;-52;-39;79;-184;-40;-5;-30;-48;84;101;80;-9;-22;-58;-216;-63;9;-17;-1;-38;-669;85;134;-6;0;-54;-689;23;138;-9;9;-31;-1195;-39;39;0;-4;-10;-776;-95;280;3;-3;-5;-1262;-15;145;-3;9;17;-613;-85;75;tilt_left
3;-11;35;-465;24;147;14;-8;28;-682;-18;94;-4;4;50;-527;-46;120;13;22;40;-519;117;196;14;28;62;6;26;16;2;50;47;470;82;-36;16;47;36;509;-2;-171;0;46;22;556;48;-55;10;30;12;894;-74;-203;-1;20;0;574;-18;-114;-2;1;-6;540;-23;-119;3;5;0;147;29;-38;-2;-1;0;173;-17;-13;5;-4;-3;-61;-41;11;-6;6;5;-95;80;23;1;-3;-6;19;-53;-4;-2;5;4;72;-7;4;4;-1;-2;-62;26;-18;-3;2;0;73;3;-1;-1;-2;0;71;-29;-14;tilt_left
-14;-150;-62;4032;-73;-800;-14;-52;-63;396;136;31;0;-46;-64;-535;-148;77;-22;-5;-41;-690;106;93;4;2;-41;-658;23;190;-10;10;-52;-727;27;21;-13;-8;-15;-1590;-40;261;-3;21;5;-1549;-63;277;8;-5;15;-565;-99;150;7;-13;32;-563;31;74;11;-9;40;-244;-6;18;-3;6;46;-186;26;20;13;10;42;-155;115;120;5;30;42;297;-38;-50;5;23;34;89;45;25;10;33;32;412;-46;-67;0;36;25;394;58;-76;10;24;11;357;52;-21;-2;14;5;446;-111;-129;2;13;1;-115;88;-33;tilt_left
7;17;4;-231;-39;98;-7;33;4;271;11;-43;8;18;7;434;72;-73;0;5;4;686;-75;-166;1;-12;-9;188;-17;-58;2;-5;-4;-162;-25;54;-4;1;4;-193;9;47;1;4;-3;103;-9;-21;1;-2;5;128;12;-24;3;-5;-4;-33;1;-16;-22;-147;-79;4970;55;-851;-9;-63;-77;-695;-25;-12;-9;-31;-25;-1314;-106;261;-18;4;-50;-240;39;-7;-3;-1;-47;-282;66;104;-15;8;-39;-971;34;148;-7;-7;-12;-1736;-39;380;-1;20;9;-1492;-116;344;13;-14;26;-1131;-23;156;11;-2;47;-1066;-24;98;tilt_left
12;-10;29;-863;132;157;10;47;106;54;63;182;6;62;52;813;-97;-204;11;57;53;1099;108;-240;-3;34;-1;577;80;-48;14;34;22;1026;-97;-195;-2;15;-8;494;-64;-134;-1;4;0;-3;45;7;10;14;0;212;-100;-56;-11;10;4;370;78;-60;6;-5;-6;218;-10;-38;-1;-5;0;-104;17;9;-4;-1;-2;-64;2;27;0;3;-1;15;-58;-1;5;1;4;99;74;-9;6;-11;-4;2;-34;-4;-3;0;-1;-117;3;23;-8;4;3;-15;0;3;7;1;0;110;-14;-19;0;-3;-1;-38;-17;7;tilt_left
-18;-156;-63;4120;-62;-886;-20;-52;-64;411;56;-13;7;-28;-66;-157;-26;25;-24;-26;-56;-701;-13;-29;-21;21;-45;-463;69;287;-7;-1;-67;-1130;-114;335;-5;11;2;-1757;44;304;2;8;-3;-1459;60;242;7;0;16;-675;-117;156;10;-17;25;-574;-3;-43;18;-15;37;-637;-5;30;-6;1;54;113;165;36;13;5;41;52;39;63;6;20;49;-182;48;39;9;37;40;285;8;-18;16;14;20;109;-23;66;4;34;38;453;-101;-157;-4;36;32;191;21;-91;9;25;1;67;116;-12;1;31;6;490;-192;-99;tilt_left
2;21;2;371;69;-69;4;16;11;382;-36;-72;0;15;-5;316;66;5;-2;-2;-4;170;-51;-66;0;6;1;12;50;8;-2;1;1;136;1;-26;6;-5;1;126;-50;-28;1;-2;-4;-90;6;-5;2;-3;-1;-99;11;74;-9;6;-2;-35;-72;-31;-6;-151;-53;3075;54;-567;-12;-35;-30;493;12;-73;0;-40;-50;-523;10;0;-5;-12;-35;-135;8;62;-21;-4;-38;-237;-33;-1;-8;-15;-53;-576;60;152;-9;6;-16;-761;-47;93;2;-3;-13;-467;20;159;-3;-2;-13;-683;8;72;-4;5;1;-814;-16;236;tilt_left
10;-1;11;-541;-87;45;5;-5;26;-416;-1;74;4;1;30;-540;-22;51;0;4;38;-24;63;29;9;12;32;97;24;34;2;10;38;-110;54;90;5;16;24;253;-37;-81;15;25;25;-171;79;87;4;36;19;-62;-150;-88;1;31;39;284;106;-74;6;21;7;335;7;-53;5;26;11;424;-79;-79;-8;21;1;373;12;-58;10;12;0;6;41;0;-2;16;4;279;-73;-76;-7;7;-4;245;102;-4;7;4;4;144;16;-11;5;-1;1;161;-79;-51;0;-1;-5;-58;24;37;-5;5;0;31;-4;-6;tilt_left
-19;-147;-53;2045;-32;-332;-4;-25;-23;94;-6;-40;10;-29;-22;210;-144;-136;-15;-20;-29;-387;128;45;-13;-8;-28;236;-86;10;-8;-8;-41;199;20;30;2;-18;-35;-217;69;52;-14;10;-33;-552;14;85;-1;15;-19;-471;-9;95;-4;-11;-18;-852;86;175;-2;2;1;-1167;-10;205;6;1;22;-752;-67;154;2;-3;30;-489;-61;-56;14;-1;35;-210;144;-38;2;-1;34;-476;38;195;6;22;47;-176;30;49;4;31;44;-51;-7;-70;15;40;26;214;-16;40;3;31;33;307;-22;-124;6;43;25;669;-11;-139;tilt_left
7;31;4;197;44;61;-6;23;6;837;-94;-159;11;11;2;375;28;-68;-6;-2;-8;236;-51;4;4;10;1;62;10;-28;-5;1;1;122;1;-35;-1;1;-3;75;-18;3;-2;-1;3;-85;33;8;9;1;5;-51;-14;-14;-2;3;-4;104;-14;13;-17;-158;-55;3864;-345;-605;-10;-40;-52;-294;-2;148;-10;-29;-24;-655;253;108;-16;-11;-46;145;30;81;-3;10;-59;106;53;-107;1;-5;-58;-540;35;-47;-12;12;-44;-575;5;28;-6;-16;-20;-1440;56;317;-5;15;7;-1910;1;303;17;1;17;-1056;-139;285;tilt_left
2;-7;48;-723;44;58;16;-15;47;212;-25;-127;7;-2;49;-32;130;27;10;14;37;-84;-39;-21;4;25;43;-272;117;69;10;45;46;153;-17;20;2;44;20;126;-25;-67;9;46;29;41;129;75;18;45;17;943;-172;-154;-10;27;6;980;-23;-257;12;12;5;621;12;-68;-8;-3;-13;483;-115;-90;-6;-3;-3;26;2;-15;3;2;0;-62;12;25;2;-3;1;-86;-2;8;0;4;2;19;21;-8;1;-5;-4;-9;6;17;-4;2;3;-22;-16;-3;-2;3;-2;-3;6;-8;7;-3;-2;21;10;1;tilt_left
