AccX1;AccY1;AccZ1;GyrX1;GyrY1;GyrZ1;AccX2;AccY2;AccZ2;GyrX2;GyrY2;GyrZ2;AccX3;AccY3;AccZ3;GyrX3;GyrY3;GyrZ3;AccX4;AccY4;AccZ4;GyrX4;GyrY4;GyrZ4;AccX5;AccY5;AccZ5;GyrX5;GyrY5;GyrZ5;AccX6;AccY6;AccZ6;GyrX6;GyrY6;GyrZ6;AccX7;AccY7;AccZ7;GyrX7;GyrY7;GyrZ7;AccX8;AccY8;AccZ8;GyrX8;GyrY8;GyrZ8;AccX9;AccY9;AccZ9;GyrX9;GyrY9;GyrZ9;AccX10;AccY10;AccZ10;GyrX10;GyrY10;GyrZ10;AccX11;AccY11;AccZ11;GyrX11;GyrY11;GyrZ11;AccX12;AccY12;AccZ12;GyrX12;GyrY12;GyrZ12;AccX13;AccY13;AccZ13;GyrX13;GyrY13;GyrZ13;AccX14;AccY14;AccZ14;GyrX14;GyrY14;GyrZ14;AccX15;AccY15;AccZ15;GyrX15;GyrY15;GyrZ15;AccX16;AccY16;AccZ16;GyrX16;GyrY16;GyrZ16;AccX17;AccY17;AccZ17;GyrX17;GyrY17;GyrZ17;AccX18;AccY18;AccZ18;GyrX18;GyrY18;GyrZ18;AccX19;AccY19;AccZ19;GyrX19;GyrY19;GyrZ19;AccX20;AccY20;AccZ20;GyrX20;GyrY20;GyrZ20;Label
-51;152;2;-2697;123;458;-20;62;-24;-475;-74;-19;11;52;-26;-369;1;-155;-19;59;-45;483;-395;159;28;-1;-55;119;29;-246;-57;-2;-47;-209;96;246;2;53;-32;1487;-105;-279;-11;-7;-14;1914;351;-331;1;-16;-6;847;435;186;30;15;30;1121;-106;-611;23;-24;3;-1228;-570;314;-72;-28;60;936;391;144;100;27;-12;1172;251;-381;-51;-64;70;-520;-267;-61;42;-30;23;-446;-237;610;-40;21;33;-10;-177;-248;25;-55;39;-281;229;314;-31;-14;3;1181;54;-462;42;-75;1;-1648;25;65;-5;-42;15;168;83;267;tilt_right
-6;-2;-1;-476;55;-224;11;2;10;-346;18;54;-12;-32;-13;71;-207;283;19;-2;12;-691;159;-81;-3;-3;-9;-197;-120;1;-4;0;-2;-95;-28;89;10;5;7;38;97;-123;-4;1;-4;7;-117;77;-4;3;0;-28;144;-49;13;10;8;187;-34;-95;-29;159;-65;-3038;-369;875;8;39;-32;-1506;-146;-205;-28;42;-63;735;-78;177;0;44;-46;186;549;-425;-40;1;-63;2052;-79;267;39;17;-22;1550;130;-727;-23;-4;16;542;-139;-162;4;-2;18;678;10;-58;34;-4;2;379;-78;-162;4;11;52;177;184;324;tilt_right
-17;-26;23;753;-99;-304;13;-57;12;-665;-80;199;-8;-2;59;380;80;218;5;1;20;-642;-17;-155;9;-24;25;1007;45;-70;-6;-45;16;-1170;-54;233;2;0;6;-1;89;-64;15;-30;25;1683;77;-505;-8;-68;10;-1311;4;435;8;-27;-3;76;-51;73;4;-26;2;409;91;-288;11;-57;-6;-572;-142;304;-14;-16;-15;-1653;173;184;0;4;9;-363;-156;-24;12;9;4;139;-11;-40;-2;-1;-7;-271;-37;56;2;9;14;27;54;-3;9;13;3;124;114;-55;-9;3;-6;-160;-219;114;1;4;0;231;58;-111;tilt_right
-24;152;-26;-3525;-34;652;8;58;-32;-367;50;29;-15;43;-43;-22;-62;32;-7;27;-34;1045;0;-160;3;30;-57;212;-71;-94;-24;4;-66;-1183;4;359;7;27;-17;2934;-61;-645;-23;-42;-16;1864;-13;-394;6;6;-5;-327;90;151;2;-32;13;1041;58;-380;9;11;39;2212;194;-252;36;18;96;507;-152;-121;-10;-11;17;408;49;-81;22;-80;63;-1622;102;269;8;-43;13;-1595;-318;456;2;-12;34;-225;50;-71;-2;-16;18;471;10;-139;-16;-37;-2;657;37;61;23;-39;7;105;127;-207;-20;-29;1;-650;-24;185;tilt_right
7;-39;-9;-187;-190;104;2;-29;-5;-889;237;211;-5;-2;-5;-1062;-323;200;20;8;23;436;133;-188;-19;-2;-15;-210;6;117;-3;1;-5;-311;-73;80;4;12;21;58;170;-64;-2;6;-2;262;-56;-58;-1;0;0;127;128;-88;-7;0;-9;-28;-13;69;3;167;-27;-3715;-28;621;-5;44;-24;-151;-96;78;-12;57;-39;270;-89;-81;1;42;-18;2195;106;-510;-19;-15;-57;-1040;-94;287;-23;2;-44;-716;46;236;18;55;-23;2336;7;-645;-4;-29;-12;1392;11;-205;4;-10;10;60;-48;15;-11;-8;9;309;80;-115;tilt_right
10;3;-5;-773;120;217;19;12;31;435;-193;-101;-20;23;-27;76;-1;-89;15;-38;55;605;202;65;3;60;-36;-432;-166;-7;-28;-93;4;-83;-418;-206;38;33;69;907;383;411;-82;-329;23;-2008;412;681;86;317;-81;578;-190;-318;-65;38;-3;-999;-34;-101;59;46;58;2121;-322;-561;-40;-101;61;661;661;250;78;3;1;1929;124;-1179;-33;-102;18;-3536;-839;1246;-23;38;24;768;273;-196;29;-36;-3;60;238;66;8;3;31;-61;-173;-162;-9;-6;6;540;137;-435;-1;-73;-14;-1141;-588;691;-10;21;36;118;323;-48;tilt_right
-1;122;-106;-4155;144;715;-21;33;-32;155;-64;-155;6;32;-43;318;7;36;-22;28;-31;1212;-10;-233;6;-31;-48;-517;-101;-1;-14;16;-25;853;50;-22;-4;1;-13;1369;79;-285;15;-14;-9;111;-24;-78;-9;11;21;1077;80;-89;-1;13;13;1143;98;-252;12;-12;42;-8;-22;39;2;-17;36;1027;94;-165;21;-12;40;555;-141;-133;11;-32;43;-620;-48;-15;3;-43;34;-409;6;185;12;-49;37;-73;-102;-37;-4;-41;6;-493;42;255;-2;-30;16;-979;-58;211;10;-24;2;-1;-65;-109;-5;-20;4;-266;45;105;tilt_right
-10;-19;-5;-587;122;23;6;-2;0;-284;-43;13;6;3;8;238;64;-20;-4;-2;5;-158;-78;46;-3;-9;-8;-27;12;-22;2;4;1;-69;13;10;-4;-6;0;-2;-16;24;4;2;-5;62;-57;-16;-6;0;6;-72;99;12;5;-5;-1;-36;-24;-4;-13;155;-39;-3499;-12;522;1;63;-40;-1170;-8;180;-11;51;-41;549;-61;-136;3;34;-66;658;-6;-47;-17;6;-49;417;-9;-75;-17;-9;-50;-315;112;207;-3;10;-35;2105;-39;-468;-4;9;2;3207;78;-593;11;-11;40;1191;148;-42;4;1;20;-540;-47;42;tilt_right
27;-1;90;1704;-7;-387;1;-57;31;608;-47;-67;-2;-34;56;-1551;-20;323;15;-47;33;-812;-113;150;6;-49;18;-122;-1;50;-4;-39;19;-932;23;173;11;-26;7;-488;-16;12;0;-12;8;-135;-16;50;-6;-15;-7;-427;-1;41;2;2;1;-469;27;66;-1;-2;3;204;-18;-16;5;-2;2;-33;39;-20;-7;-6;0;-16;-38;47;-1;-3;-9;-141;34;-13;0;2;4;-98;-31;47;-1;2;4;-12;0;5;1;7;-3;27;-8;-41;4;-2;3;30;21;12;-4;2;-4;47;17;-13;3;2;0;72;36;-47;tilt_right
-10;148;-48;-3093;-135;580;-15;39;-33;-766;26;211;-2;44;-46;-575;-40;9;-13;30;-47;791;6;-182;-13;12;-54;945;-1;-129;-3;5;-46;521;10;-133;-17;-10;-16;1208;112;-102;7;12;-11;2386;-22;-473;9;-9;35;1113;64;-110;1;4;19;-10;88;-34;13;-9;81;1357;-94;-218;18;-30;39;1310;-35;-256;-8;-52;55;-1183;82;171;15;-64;27;-868;-89;172;4;-47;28;-632;-69;41;6;-49;17;-733;64;199;-1;-35;-5;-650;-12;84;3;-19;-3;-681;30;96;-5;1;4;-713;18;171;9;5;7;-84;-23;-24;tilt_right
