AccX1,AccY1,AccZ1,GyrX1,GyrY1,GyrZ1,AccX2,AccY2,AccZ2,GyrX2,GyrY2,GyrZ2,AccX3,AccY3,AccZ3,GyrX3,GyrY3,GyrZ3,AccX4,AccY4,AccZ4,GyrX4,GyrY4,GyrZ4,AccX5,AccY5,AccZ5,GyrX5,GyrY5,GyrZ5,AccX6,AccY6,AccZ6,GyrX6,GyrY6,GyrZ6,AccX7,AccY7,AccZ7,GyrX7,GyrY7,GyrZ7,AccX8,AccY8,AccZ8,GyrX8,GyrY8,GyrZ8,AccX9,AccY9,AccZ9,GyrX9,GyrY9,GyrZ9,AccX10,AccY10,AccZ10,GyrX10,GyrY10,GyrZ10,AccX11,AccY11,AccZ11,GyrX11,GyrY11,GyrZ11,AccX12,AccY12,AccZ12,GyrX12,GyrY12,GyrZ12,AccX13,AccY13,AccZ13,GyrX13,GyrY13,GyrZ13,AccX14,AccY14,AccZ14,GyrX14,GyrY14,GyrZ14,AccX15,AccY15,AccZ15,GyrX15,GyrY15,GyrZ15,AccX16,AccY16,AccZ16,GyrX16,GyrY16,GyrZ16,AccX17,AccY17,AccZ17,GyrX17,GyrY17,GyrZ17,AccX18,AccY18,AccZ18,GyrX18,GyrY18,GyrZ18,AccX19,AccY19,AccZ19,GyrX19,GyrY19,GyrZ19,AccX20,AccY20,AccZ20,GyrX20,GyrY20,GyrZ20,AccX21,AccY21,AccZ21,GyrX21,GyrY21,GyrZ21,AccX22,AccY22,AccZ22,GyrX22,GyrY22,GyrZ22,AccX23,AccY23,AccZ23,GyrX23,GyrY23,GyrZ23,AccX24,AccY24,AccZ24,GyrX24,GyrY24,GyrZ24,AccX25,AccY25,AccZ25,GyrX25,GyrY25,GyrZ25,AccX26,AccY26,AccZ26,GyrX26,GyrY26,GyrZ26,AccX27,AccY27,AccZ27,GyrX27,GyrY27,GyrZ27,AccX28,AccY28,AccZ28,GyrX28,GyrY28,GyrZ28,AccX29,AccY29,AccZ29,GyrX29,GyrY29,GyrZ29,AccX30,AccY30,AccZ30,GyrX30,GyrY30,GyrZ30,Label
12,-152,70,3558,484,-379,23,-76,67,1201,274,73,15,-71,45,936,291,33,18,-60,33,454,171,13,20,-53,29,119,51,-179,19,-24,14,-845,-147,200,10,-19,0,-875,-250,30,2,2,-3,-1088,-334,94,-6,16,0,-998,-312,151,-21,32,-14,-919,-176,210,-20,59,-13,-556,-67,201,-21,47,-13,136,86,53,-15,44,-11,394,120,-50,-14,27,-21,610,159,-31,-2,22,-8,771,74,-163,-7,-9,-11,654,89,-252,-2,3,-10,205,25,-113,0,-6,-10,127,31,-89,0,4,-3,25,9,-59,-2,-2,-4,0,48,-8,1,6,0,62,12,-33,-1,0,0,22,25,-18,0,4,2,39,0,-19,0,-1,0,-30,0,46,2,2,2,87,-9,-64,0,-5,-3,-46,9,60,1,0,1,47,-8,-36,0,-4,-1,-61,1,66,0,0,0,41,-3,-73,-1,-1,-1,-80,6,74,tilt left
43,-141,104,-1585,-239,514,19,-43,45,-1100,-84,360,12,-14,35,-331,-26,127,5,-17,11,-478,-31,153,3,2,14,-246,-18,148,-8,20,-14,87,46,96,-8,18,-19,84,28,-136,-7,10,-20,40,7,63,-7,13,-17,142,16,-92,-5,3,-21,162,8,-86,-3,11,-16,208,-6,8,-2,3,-9,364,2,-209,-3,0,-11,168,8,-11,0,4,-3,259,9,-94,-1,-2,-5,99,11,-59,0,1,0,45,7,-16,0,0,0,24,-1,4,0,0,0,7,-6,15,0,0,0,7,-3,3,0,0,0,0,-5,8,0,0,0,-5,1,16,1,0,0,-12,3,9,1,0,0,7,8,3,0,0,0,-7,4,10,0,0,1,8,0,-9,0,0,1,-4,-7,11,-1,-1,0,-6,-1,-4,0,0,0,-5,-3,-5,0,0,0,-2,-8,-5,0,0,0,-4,-2,-8,tilt left
17,-94,133,3939,499,-766,19,-85,61,1593,410,-103,25,-74,63,708,280,86,25,-65,50,304,146,49,19,-56,39,-8,37,-252,21,-32,13,-1011,-174,182,7,-8,12,-1050,-266,224,-1,5,-2,-1005,-294,89,-11,29,-12,-897,-211,102,-9,42,-11,-505,-110,55,-22,41,-25,-323,37,154,-11,43,-19,-62,53,61,-12,41,-25,286,90,9,-5,26,-17,561,71,-192,-12,12,-27,396,55,-84,-2,11,-12,410,24,-61,-6,0,-19,345,34,-104,-2,0,-13,229,19,-121,-4,-2,-14,91,19,-30,0,1,-6,118,19,4,-1,0,-7,140,16,-34,1,0,-2,129,18,-34,0,-1,0,39,20,-34,0,1,0,7,3,4,0,0,0,-6,-1,11,0,0,0,10,2,0,0,-1,0,-3,-1,14,-1,0,-1,20,0,-31,0,-1,0,-1,10,32,0,0,0,5,10,-19,tilt left
19,-74,135,2988,59,-891,19,-73,70,1010,177,-230,25,-49,62,280,96,4,20,-41,53,131,55,9,16,-34,41,-4,18,-255,13,-16,14,-659,-29,182,7,-2,12,-572,-115,234,-3,0,-3,-598,-107,128,-3,19,-7,-422,-58,90,-5,17,-13,-369,-33,73,-9,23,-15,-223,19,52,-9,18,-23,-382,54,256,-8,29,-20,-62,41,-27,-6,22,-23,243,0,-25,-9,14,-22,303,4,-205,-6,8,-20,213,-14,91,-4,13,-11,567,-24,-139,-2,-1,-9,484,0,-257,-4,-9,-8,80,4,-40,0,2,-1,63,3,2,0,0,-1,81,5,-81,0,-1,0,-24,5,16,0,0,0,8,-5,-28,0,0,0,-21,0,16,0,0,0,-3,-6,-12,0,0,-1,-10,0,22,0,1,0,1,2,5,0,0,0,-1,7,0,1,0,0,19,5,22,0,0,1,8,8,-12,tilt left
8,-141,102,3050,282,-783,33,-81,77,277,82,16,19,-52,56,87,44,1,17,-38,49,-53,9,5,13,-29,37,-79,-20,-298,9,-1,14,-788,-95,382,-6,3,-1,-559,-52,122,-1,22,-4,-493,-38,104,-7,19,-21,-276,15,70,-8,22,-23,-323,31,46,-7,29,-20,-151,42,140,-5,29,-22,194,23,-42,-8,11,-26,283,16,-108,-7,10,-17,220,-25,-20,-6,8,-14,326,-13,-88,-5,0,-16,253,-3,-59,-3,2,-7,227,-9,-89,-3,-1,-6,166,-14,-74,-1,0,-2,100,-2,-50,-1,-1,-3,87,-2,-31,0,0,0,72,-4,-22,1,-1,-2,33,4,-34,1,0,0,-12,7,19,1,0,0,2,3,-5,1,1,1,-5,11,13,1,0,0,12,6,-3,-1,0,0,-3,5,19,0,0,0,1,1,-8,0,0,0,1,2,6,0,0,0,0,-6,20,tilt left
81,-205,203,27,205,42,49,-95,101,-92,-7,-4,29,-63,64,-346,-65,60,14,-49,38,-706,-67,174,9,-22,26,-794,-22,223,-5,41,-17,-593,-50,101,-11,38,-21,-291,-7,23,-12,35,-26,-19,29,60,-6,39,-21,391,39,14,-5,22,-19,672,17,-148,-7,0,-18,534,0,-190,-5,0,-14,325,11,-104,-3,1,-7,221,10,-71,-2,-1,-5,168,12,-32,-1,-1,-2,123,6,-44,0,-1,-1,43,8,-32,0,0,0,-1,-8,-1,0,0,0,-9,-7,2,0,0,1,-3,2,-7,0,1,0,-9,-2,-1,0,0,0,4,2,4,0,0,0,-6,7,8,0,0,0,1,7,3,0,-1,-1,0,0,11,0,0,0,4,-1,-15,0,0,0,-9,-4,12,0,0,0,0,-3,-13,0,0,0,1,5,-5,0,1,0,-2,0,-14,0,0,-1,-8,0,-8,tilt left
1,-165,65,4040,501,-997,39,-92,73,352,109,101,19,-66,58,118,43,7,19,-45,48,-71,21,-8,16,-33,36,-127,-19,-417,11,0,20,-1107,-148,560,-6,8,0,-689,-82,106,-6,30,-13,-640,-40,122,-7,34,-18,-300,-17,76,-11,29,-24,-137,20,40,-8,30,-24,44,45,96,-7,27,-23,377,36,-61,-4,9,-18,449,17,-162,-8,1,-20,218,-2,-95,-6,4,-12,182,-12,-24,-4,1,-11,178,3,-83,-2,2,-9,137,5,-67,-2,0,-7,121,-2,-36,0,0,-4,137,-2,-49,0,0,-5,97,11,-20,0,0,-1,83,-2,-28,0,-1,-1,44,-7,-25,0,0,0,2,-1,-4,0,1,0,12,2,6,0,0,0,-12,-4,-4,0,0,0,3,-5,3,0,0,0,2,1,8,0,0,0,5,0,3,0,0,0,-1,1,3,0,-1,0,5,8,14,tilt left
20,-106,131,3737,363,-861,35,-105,66,799,201,52,24,-65,69,346,129,14,19,-53,55,56,80,15,18,-40,43,-58,17,-365,15,-14,20,-879,-113,405,0,1,14,-649,-144,55,-1,11,0,-635,-154,116,-5,20,-12,-544,-109,102,-9,28,-15,-401,-63,104,-13,31,-25,-258,12,145,-7,36,-21,62,35,-51,-11,23,-28,141,59,28,-7,24,-19,267,25,-90,-8,11,-20,252,23,-51,-5,6,-16,253,12,-140,-7,6,-17,197,11,-65,-3,7,-10,280,4,-99,-2,-1,-11,231,8,-62,0,1,-5,211,16,-66,0,0,-3,138,9,-51,2,0,-2,73,16,-27,1,-1,-1,8,12,11,1,1,0,-14,11,35,0,0,0,5,7,14,0,0,0,-2,4,20,0,-1,0,6,3,1,0,0,0,-1,-2,15,-1,-1,1,22,13,-1,0,0,-1,-11,-4,1,tilt left
31,-44,147,3593,185,-790,11,-77,65,1812,353,-351,26,-66,55,936,293,-102,26,-66,47,440,191,-21,24,-54,43,109,64,-172,18,-45,13,-881,-56,87,16,-13,17,-1024,-209,197,2,-1,8,-1038,-274,174,-7,26,0,-856,-241,156,-12,26,-12,-750,-143,129,-16,45,-19,-494,-40,157,-12,44,-21,-158,28,169,-11,40,-26,132,63,-32,-10,27,-25,300,71,7,-9,28,-23,547,69,-99,-5,9,-17,643,58,-194,-6,-1,-16,456,38,-140,-3,0,-11,331,35,-122,-1,-1,-6,210,21,-77,0,-2,-4,70,13,-62,0,0,-1,16,0,7,0,1,0,-8,4,-7,0,0,0,12,1,-11,0,0,0,-10,-8,31,0,1,0,16,-2,-25,0,-1,-1,5,1,32,0,0,0,14,-8,-16,0,0,0,-1,-2,14,0,0,0,0,2,-4,0,0,0,13,4,0,tilt left
-4,-148,77,3152,264,-1037,39,-73,80,348,70,-31,21,-52,60,126,20,-4,16,-37,48,-99,-20,12,13,-29,35,-124,-29,-359,12,5,18,-917,-96,484,-8,4,-3,-592,-47,168,-6,20,-14,-646,-14,145,-6,29,-21,-261,31,76,-8,26,-22,-114,38,10,-9,20,-26,-32,44,71,-6,26,-22,200,8,-14,-6,13,-21,431,0,-161,-7,2,-17,290,-21,-148,-6,3,-15,169,-12,-5,-3,5,-10,242,-6,-50,-2,1,-9,197,5,-70,-2,-1,-4,126,-5,-66,-1,-1,-5,35,-5,-11,-1,0,-2,76,-5,2,-1,0,-2,68,-2,-18,-1,-1,-2,55,0,-46,0,0,-1,12,3,-3,0,0,0,25,2,-32,0,0,0,-21,2,10,0,1,1,12,-2,-19,0,0,0,-3,-9,13,0,0,0,5,-1,-15,0,0,0,-16,5,31,0,0,0,12,0,-15,tilt left
