AccX1,AccY1,AccZ1,GyrX1,GyrY1,GyrZ1,AccX2,AccY2,AccZ2,GyrX2,GyrY2,GyrZ2,AccX3,AccY3,AccZ3,GyrX3,GyrY3,GyrZ3,AccX4,AccY4,AccZ4,GyrX4,GyrY4,GyrZ4,AccX5,AccY5,AccZ5,GyrX5,GyrY5,GyrZ5,AccX6,AccY6,AccZ6,GyrX6,GyrY6,GyrZ6,AccX7,AccY7,AccZ7,GyrX7,GyrY7,GyrZ7,AccX8,AccY8,AccZ8,GyrX8,GyrY8,GyrZ8,AccX9,AccY9,AccZ9,GyrX9,GyrY9,GyrZ9,AccX10,AccY10,AccZ10,GyrX10,GyrY10,GyrZ10,AccX11,AccY11,AccZ11,GyrX11,GyrY11,GyrZ11,AccX12,AccY12,AccZ12,GyrX12,GyrY12,GyrZ12,AccX13,AccY13,AccZ13,GyrX13,GyrY13,GyrZ13,AccX14,AccY14,AccZ14,GyrX14,GyrY14,GyrZ14,AccX15,AccY15,AccZ15,GyrX15,GyrY15,GyrZ15,AccX16,AccY16,AccZ16,GyrX16,GyrY16,GyrZ16,AccX17,AccY17,AccZ17,GyrX17,GyrY17,GyrZ17,AccX18,AccY18,AccZ18,GyrX18,GyrY18,GyrZ18,AccX19,AccY19,AccZ19,GyrX19,GyrY19,GyrZ19,AccX20,AccY20,AccZ20,GyrX20,GyrY20,GyrZ20,AccX21,AccY21,AccZ21,GyrX21,GyrY21,GyrZ21,AccX22,AccY22,AccZ22,GyrX22,GyrY22,GyrZ22,AccX23,AccY23,AccZ23,GyrX23,GyrY23,GyrZ23,AccX24,AccY24,AccZ24,GyrX24,GyrY24,GyrZ24,AccX25,AccY25,AccZ25,GyrX25,GyrY25,GyrZ25,AccX26,AccY26,AccZ26,GyrX26,GyrY26,GyrZ26,AccX27,AccY27,AccZ27,GyrX27,GyrY27,GyrZ27,AccX28,AccY28,AccZ28,GyrX28,GyrY28,GyrZ28,AccX29,AccY29,AccZ29,GyrX29,GyrY29,GyrZ29,AccX30,AccY30,AccZ30,GyrX30,GyrY30,GyrZ30,Label
-64,-144,-2,1627,-428,4333,-37,-126,4,500,-155,2159,-22,-115,6,372,-80,1160,-23,-136,5,473,-90,373,-29,-98,0,121,-39,811,-22,-66,1,-530,103,-959,-17,-38,1,-420,131,-1120,-22,9,0,-406,151,-1330,-13,47,-2,-607,209,-1151,3,68,5,-394,184,-582,20,76,2,-41,116,-557,21,81,-7,-14,94,-123,37,70,-2,-72,-14,1,32,67,-7,199,-31,403,26,39,-2,75,-93,436,13,32,-1,307,-87,608,7,8,5,206,-137,663,-5,-12,0,269,-59,457,0,-16,4,35,-72,530,-1,-21,-5,185,-12,147,0,-26,-6,-45,-10,121,3,-12,-6,10,9,-53,2,-4,-5,-14,15,-62,-1,3,0,-8,15,-44,-1,6,1,0,-2,-81,0,6,2,-7,1,4,0,3,2,19,5,6,0,-1,0,0,-8,27,1,-1,-1,0,-2,4,0,-2,-1,7,3,9,up
-109,-107,38,1497,-79,3568,-59,-108,11,390,-45,1714,-41,-92,13,218,-17,968,-33,-94,15,281,-56,439,-35,-91,5,133,-69,801,-14,-66,0,-382,-36,-828,-10,-36,5,-255,-3,-1000,-9,-2,0,-283,7,-1077,-2,33,-7,-374,62,-1049,9,68,-1,-360,100,-714,17,76,-3,-47,117,-631,27,88,-6,-99,87,-183,29,65,-11,-45,83,-73,31,68,-4,5,42,345,27,52,-4,162,-4,344,13,36,-2,81,-68,716,0,5,0,244,-60,586,2,-2,4,231,-86,571,-5,-27,-1,178,-57,485,-4,-32,-1,78,-26,368,0,-29,-4,28,0,57,0,-16,-2,-47,-8,1,-2,-4,0,-39,-3,-94,-2,2,1,-34,-3,-82,-2,5,0,-15,0,-64,0,6,1,19,-2,-75,0,3,-1,4,-6,-28,0,1,-1,8,0,2,0,0,-1,0,0,-4,0,0,0,-1,2,12,up
-49,-161,15,2078,-93,3956,-23,-122,10,872,-95,1840,-15,-119,8,375,-70,1024,-21,-135,12,365,-66,327,-17,-107,3,79,-23,700,-17,-51,5,-607,23,-1009,-20,-28,6,-527,36,-931,-25,12,4,-365,50,-1052,-13,53,-1,-462,89,-1087,-8,65,6,-322,77,-450,8,56,0,-82,76,-434,23,69,-1,-37,63,-265,35,58,-7,-134,61,-170,41,77,-6,-52,21,85,31,58,-6,12,-57,303,27,45,-5,230,-77,284,17,23,-11,182,-54,467,9,14,-1,259,-65,585,-2,-14,-1,242,-54,624,3,-10,-2,258,-3,291,0,-15,-3,79,-7,310,-3,-14,1,69,-4,215,-1,-14,0,32,-3,99,-1,-8,0,6,-3,0,0,-7,0,-8,1,-29,0,-3,0,-29,13,-66,0,0,0,-35,-9,-20,0,2,0,1,3,-53,0,1,0,-30,-4,-19,-1,3,1,-9,0,7,up
-101,-124,11,1919,153,3695,-55,-102,4,962,11,1802,-35,-100,2,571,-14,1049,-28,-120,8,367,-41,508,-28,-111,3,219,-17,757,-11,-74,0,-651,-42,-943,-13,-45,4,-635,0,-1067,-13,-2,2,-527,9,-1059,-11,43,-1,-448,105,-1231,4,70,0,-527,123,-816,14,79,13,61,146,-605,43,102,3,-45,95,-346,42,73,-4,-25,146,-114,52,99,-1,-130,-33,326,28,65,-2,277,-76,449,16,45,-8,153,-134,783,-7,-5,-8,329,-111,659,-6,-8,2,239,-154,799,-15,-50,-5,311,-34,553,-2,-30,-2,36,-33,317,0,-32,-6,55,6,40,0,-16,-2,-44,13,-56,-1,-4,-1,-37,7,-104,-2,4,1,-39,2,-81,-2,8,2,-18,11,-87,0,8,2,0,0,-15,0,6,2,13,-1,-7,0,1,0,16,7,19,1,-1,0,14,-2,20,1,-4,0,8,-7,18,up
-111,-112,19,1773,98,3685,-52,-103,10,990,-8,1706,-42,-111,7,336,-40,981,-41,-118,16,204,-40,379,-30,-100,7,49,-31,693,-15,-50,6,-416,-26,-1012,-18,-35,6,-506,-17,-960,-15,14,4,-369,18,-997,-2,50,-6,-403,43,-1076,4,71,-1,-261,78,-604,22,58,-10,-231,60,-405,28,81,-10,-116,78,-101,38,74,-7,8,54,20,29,58,-9,165,42,180,24,53,-5,95,-29,464,11,28,0,326,-32,517,8,6,1,195,-60,522,0,-15,-2,207,-40,537,4,-14,2,78,-50,462,3,-25,-3,158,0,240,8,-16,-3,-11,3,184,4,-14,-4,49,13,18,-3,-9,0,-43,-5,11,-10,1,4,-13,-9,-69,-14,1,5,-9,0,-72,-16,5,7,-11,-9,-66,-13,5,3,-21,-4,-61,-6,6,4,-2,-3,-60,3,1,-2,3,4,-50,7,1,-2,-34,-18,35,up
-40,151,18,549,-89,2148,-18,73,13,717,-20,1604,-14,8,1,530,-10,1333,-12,-25,4,489,12,1022,-10,-47,5,369,-10,967,-7,-121,3,105,-16,148,-13,-105,9,-161,-15,-368,-15,-88,6,-399,-50,-968,-19,-49,1,-444,-7,-1083,-12,-10,3,-570,10,-1120,-11,48,0,-412,55,-1150,-5,44,-4,-316,93,-1029,3,61,4,-23,181,-508,24,79,5,15,161,-243,31,80,-2,-22,92,120,28,64,0,48,8,422,26,47,0,123,-51,559,20,22,-5,84,-121,502,5,-10,-4,36,-154,664,-6,-26,-1,226,-86,456,1,-21,-4,154,-30,259,1,-17,-6,67,-14,76,3,-2,-2,15,-5,-2,3,-1,-1,0,-8,-6,0,0,0,-16,-4,7,0,0,0,1,2,16,0,1,0,2,5,-8,0,1,0,12,2,-2,-1,0,0,5,-2,3,0,0,0,7,-1,13,up
-40,158,18,574,-112,2143,-28,56,6,505,-64,1544,-26,19,3,490,-13,1249,-23,-21,3,456,9,991,-18,-38,2,368,10,1010,-12,-90,-2,208,19,287,-10,-115,-1,53,13,-139,-3,-97,1,-159,-5,-643,-4,-66,-1,-439,-43,-917,-7,-40,-2,-484,-29,-1058,-5,-8,-2,-603,-28,-1170,-4,41,0,-482,47,-1250,-2,54,0,-384,85,-863,6,73,2,-119,181,-682,22,92,3,-79,153,-214,31,110,6,152,126,12,25,76,0,82,1,612,19,51,2,249,-64,600,12,14,0,184,-138,747,0,-8,1,221,-131,620,-6,-42,-4,147,-93,671,1,-25,-3,173,-41,196,1,-24,-8,11,4,95,2,-5,-3,18,2,-43,2,-4,-4,-28,2,-7,0,1,0,-17,-1,-24,-1,0,1,-19,9,2,0,4,3,2,-12,-33,0,0,0,11,-6,13,0,0,0,15,0,2,up
-79,-138,7,1922,56,3723,-31,-103,5,1021,-65,1690,-25,-120,0,502,-106,947,-27,-127,1,227,-68,341,-19,-100,1,92,-33,691,-9,-49,2,-527,-27,-1014,-16,-33,-1,-643,17,-965,-13,15,2,-585,53,-1039,-1,56,2,-408,67,-1170,-3,74,1,-339,89,-619,12,64,-2,-161,102,-442,24,89,2,189,107,-153,32,70,-3,17,100,39,29,75,0,173,51,329,23,42,0,139,-31,622,15,29,3,293,-77,431,8,-9,-2,27,-107,716,0,-10,1,274,-100,409,0,-28,-5,46,-75,444,2,-16,-4,110,-28,115,1,-16,-7,8,-14,107,1,-5,-3,19,6,10,0,-4,-2,-12,8,15,0,0,0,2,8,-33,0,0,0,-5,5,-18,0,0,0,0,1,1,0,0,0,-7,-2,-7,0,1,0,8,-2,-4,0,0,0,2,-3,0,0,0,0,13,-5,13,up
-21,153,15,510,-17,1796,-27,68,18,379,-76,1376,-20,29,7,410,-35,1180,-24,-10,6,304,-4,974,-19,-27,4,303,41,914,-14,-76,-1,213,15,355,-9,-92,-6,26,14,109,-12,-113,4,-83,-23,-325,-5,-85,2,-154,-27,-857,-11,-51,2,-418,-61,-1050,-14,-28,4,-486,-29,-1006,-13,9,2,-399,8,-1076,-7,52,-4,-403,62,-1079,-2,71,0,-317,74,-624,10,71,-1,-77,108,-378,21,89,-2,-59,86,-38,25,70,-2,63,79,178,25,64,0,155,13,378,19,28,-4,138,-25,407,13,17,-2,131,-82,545,6,-13,-3,176,-65,432,6,-9,0,134,-76,379,4,-19,-6,53,-33,278,6,-3,-2,59,-17,149,3,-9,-5,59,-7,119,3,-1,-2,39,10,51,2,-5,-1,22,16,53,1,-1,1,16,7,43,1,-1,0,28,4,7,2,0,0,-12,8,-12,up
-116,-105,27,1546,-2,3770,-57,-119,9,630,16,1770,-36,-103,6,342,27,1075,-26,-110,11,320,-17,533,-27,-95,4,132,-36,930,-4,-77,-1,-363,-46,-921,-6,-38,3,-291,-39,-960,-12,-10,1,-344,-57,-1097,-15,27,-4,-390,10,-1042,-3,51,0,-345,82,-892,2,70,4,-151,125,-621,13,82,1,-158,134,-254,20,62,-6,-261,148,-86,35,91,3,35,73,147,25,54,-5,60,10,299,23,51,-3,176,-49,476,12,13,-5,165,-94,609,12,20,5,427,-110,370,0,-31,-7,81,-80,557,4,-9,2,169,-64,299,3,-25,-4,18,-27,229,4,-10,-3,40,-6,72,1,-10,-4,-28,2,91,2,0,0,15,3,-4,0,0,0,-15,7,21,0,0,0,4,0,8,0,0,1,0,2,19,0,-1,0,-3,1,-8,0,0,0,13,3,-4,0,-1,-1,7,-3,-5,up
