AccX1,AccY1,AccZ1,GyrX1,GyrY1,GyrZ1,AccX2,AccY2,AccZ2,GyrX2,GyrY2,GyrZ2,AccX3,AccY3,AccZ3,GyrX3,GyrY3,GyrZ3,AccX4,AccY4,AccZ4,GyrX4,GyrY4,GyrZ4,AccX5,AccY5,AccZ5,GyrX5,GyrY5,GyrZ5,AccX6,AccY6,AccZ6,GyrX6,GyrY6,GyrZ6,AccX7,AccY7,AccZ7,GyrX7,GyrY7,GyrZ7,AccX8,AccY8,AccZ8,GyrX8,GyrY8,GyrZ8,AccX9,AccY9,AccZ9,GyrX9,GyrY9,GyrZ9,AccX10,AccY10,AccZ10,GyrX10,GyrY10,GyrZ10,AccX11,AccY11,AccZ11,GyrX11,GyrY11,GyrZ11,AccX12,AccY12,AccZ12,GyrX12,GyrY12,GyrZ12,AccX13,AccY13,AccZ13,GyrX13,GyrY13,GyrZ13,AccX14,AccY14,AccZ14,GyrX14,GyrY14,GyrZ14,AccX15,AccY15,AccZ15,GyrX15,GyrY15,GyrZ15,AccX16,AccY16,AccZ16,GyrX16,GyrY16,GyrZ16,AccX17,AccY17,AccZ17,GyrX17,GyrY17,GyrZ17,AccX18,AccY18,AccZ18,GyrX18,GyrY18,GyrZ18,AccX19,AccY19,AccZ19,GyrX19,GyrY19,GyrZ19,AccX20,AccY20,AccZ20,GyrX20,GyrY20,GyrZ20,AccX21,AccY21,AccZ21,GyrX21,GyrY21,GyrZ21,AccX22,AccY22,AccZ22,GyrX22,GyrY22,GyrZ22,AccX23,AccY23,AccZ23,GyrX23,GyrY23,GyrZ23,AccX24,AccY24,AccZ24,GyrX24,GyrY24,GyrZ24,AccX25,AccY25,AccZ25,GyrX25,GyrY25,GyrZ25,AccX26,AccY26,AccZ26,GyrX26,GyrY26,GyrZ26,AccX27,AccY27,AccZ27,GyrX27,GyrY27,GyrZ27,AccX28,AccY28,AccZ28,GyrX28,GyrY28,GyrZ28,AccX29,AccY29,AccZ29,GyrX29,GyrY29,GyrZ29,AccX30,AccY30,AccZ30,GyrX30,GyrY30,GyrZ30,Label
53,90,122,6083,-221,-2168,-19,8,29,4410,482,-1615,43,-100,45,115,26,154,20,-65,40,228,22,28,18,-51,35,-77,-12,-190,6,-72,2,-1594,5,-422,18,-47,11,-2646,-253,1817,-18,54,-10,-1124,-45,270,-10,57,-14,-861,-48,194,-16,50,-26,-248,-14,-92,-16,55,-21,241,26,177,-12,43,-21,876,66,-88,-9,4,-15,1071,33,-452,-7,-7,-17,671,26,-332,-3,-2,-8,305,24,-116,-1,-2,-4,103,11,-104,0,-1,-2,0,0,-29,0,0,-1,-46,-3,15,0,1,-1,11,0,-11,0,1,0,-5,6,4,0,0,0,31,7,-15,0,1,0,-2,0,18,0,0,0,28,-6,-22,0,-1,0,-9,7,15,0,0,0,19,-3,-8,0,0,0,-11,-2,13,0,0,0,1,1,-10,0,0,0,-10,6,9,0,0,0,-2,-4,-3,0,0,0,-16,-4,4,tilt left
9,-58,148,5709,568,-2028,25,-154,46,1470,389,-173,48,-66,72,442,170,61,29,-74,46,57,32,44,24,-56,33,-167,-7,-727,14,-40,-4,-1844,-176,832,5,35,6,-1442,-234,521,-17,36,-17,-891,-157,236,-16,55,-17,-500,-65,-49,-19,55,-20,-285,-26,193,-12,53,-15,421,36,163,-14,26,-21,719,81,-314,-10,5,-23,599,59,-285,-7,3,-19,485,47,-162,-4,0,-12,468,32,-161,-3,-1,-9,299,23,-154,0,0,-2,162,5,-77,0,-1,-2,50,4,-47,1,0,0,-15,-7,7,1,0,0,0,10,7,1,0,0,-1,8,-5,0,-1,0,-18,-1,16,0,0,0,-4,-10,9,0,0,0,-3,-3,8,0,0,0,0,-6,-1,0,0,0,-1,-4,17,0,0,0,4,-1,-2,0,-1,0,0,5,-2,0,0,0,0,1,-1,0,0,0,4,1,-3,tilt left
52,82,126,5024,-209,-1966,3,-22,32,3098,240,-1271,22,-99,34,677,122,-124,21,-52,45,240,72,18,18,-51,38,70,42,-256,10,-67,11,-1000,71,-142,19,-44,22,-1375,-100,863,0,8,5,-1014,-100,317,-3,12,-14,-1108,-102,354,-6,51,-15,-795,-72,241,-13,49,-20,-491,-50,14,-15,52,-23,-239,-13,76,-9,53,-18,437,16,175,-10,29,-16,883,42,-336,-9,-1,-19,687,24,-293,-4,2,-12,463,17,-159,-3,0,-10,348,16,-136,-1,0,-5,125,13,-89,0,0,-4,40,1,-24,-1,0,-1,14,0,5,0,-1,-3,18,5,-14,0,1,-1,-34,0,29,0,0,-2,13,0,-31,0,0,-1,-72,-3,33,0,2,-1,43,-1,-28,0,0,-1,-9,2,25,-1,0,-1,82,3,-32,0,0,0,25,-4,21,0,0,0,73,3,-55,0,-2,0,-45,8,35,tilt left
29,87,133,7278,-37,-2604,-26,-141,-25,2737,455,-686,41,-69,75,418,111,96,21,-79,39,108,64,33,22,-51,38,-24,1,-785,12,-70,3,-1850,-31,497,23,16,38,-1784,-239,863,-13,24,-22,-1016,-120,255,-6,61,-7,-614,-74,29,-14,48,-21,-335,-7,68,-12,50,-16,72,38,129,-9,41,-18,520,62,22,-8,16,-16,643,48,-318,-8,4,-20,454,16,-183,-5,4,-13,388,-2,-113,-3,2,-11,361,0,-128,-1,-3,-8,198,-14,-67,-1,0,-5,95,0,-22,0,-1,-1,106,-2,-63,0,-1,-2,-19,7,4,0,1,1,-13,0,-17,0,2,0,-6,5,26,0,1,0,56,5,-30,0,-1,0,-15,4,24,0,0,0,9,0,-26,0,-1,0,-6,0,22,0,0,0,-10,-3,-11,-1,0,0,-15,0,2,0,1,0,3,10,-17,0,1,0,0,1,19,tilt left
21,142,70,3228,-193,-848,5,13,36,3207,-150,-1237,-1,0,31,2510,216,-793,16,-77,37,53,-1,83,14,-48,34,104,29,155,13,-74,23,-721,28,-168,12,-53,18,-1502,35,26,10,-44,11,-2095,-175,1292,-6,34,-7,-795,-6,152,-5,47,-15,-841,-42,221,-12,47,-21,-393,-5,40,-13,49,-23,-97,11,109,-9,45,-25,412,45,-40,-7,26,-20,658,9,-190,-10,2,-19,702,15,-294,-7,-3,-16,456,21,-167,-3,0,-10,283,14,-97,-1,0,-6,200,1,-72,0,0,-3,91,-11,-18,0,-2,-1,52,3,-37,0,0,0,18,-7,9,0,-1,0,38,0,-26,0,0,0,-27,-2,13,0,0,0,1,10,-21,0,0,0,-20,-6,6,0,1,0,-3,6,-2,0,0,0,-6,-2,9,0,0,0,4,0,-8,0,0,0,0,-5,6,0,1,0,7,4,1,tilt left
14,-79,134,4530,382,-1767,8,-121,46,1765,405,-355,41,-73,64,360,172,72,27,-74,44,137,74,26,24,-54,35,-27,16,-562,20,-37,5,-1167,-102,405,14,0,10,-1283,-205,501,-9,12,-13,-997,-181,230,-7,52,-10,-740,-118,182,-13,51,-13,-329,-49,40,-15,45,-17,-122,-9,130,-11,48,-16,249,12,137,-11,29,-18,591,60,-128,-10,8,-19,516,41,-301,-9,0,-22,226,23,-48,-7,10,-13,289,18,-95,-6,-2,-15,242,17,-132,-3,4,-8,120,7,-70,-3,0,-8,126,8,-46,-2,3,-4,124,5,-55,-1,-1,-3,114,14,-42,0,2,0,91,7,-12,0,0,-1,83,4,-52,0,-1,0,-28,5,0,0,0,0,10,3,-32,0,-1,-1,-23,-3,30,0,0,0,-6,8,-23,0,0,0,-13,6,18,0,0,0,12,-4,-12,0,0,0,-7,-2,33,tilt left
29,97,127,7299,-153,-2628,-46,-112,-22,3184,458,-763,34,-67,77,184,96,123,22,-75,43,180,65,49,20,-53,41,42,17,-737,15,-71,14,-1507,31,368,37,-2,49,-1352,-205,717,-2,-13,-9,-335,-99,-41,-2,17,1,-619,-116,69,-6,16,-13,-682,-73,206,-11,38,-13,-650,-51,202,-9,45,-14,-369,-6,95,-11,49,-16,-92,32,94,-10,40,-19,241,51,22,-11,32,-17,493,47,-49,-6,10,-16,539,25,-231,-9,-1,-20,321,15,-139,-4,2,-16,215,-6,-75,-7,-1,-17,62,2,-83,-3,5,-10,-1,4,6,-4,3,-13,70,31,-49,-1,3,-9,34,15,-37,-4,2,-8,106,16,-2,0,4,-4,177,1,-40,-2,0,-5,154,7,-64,0,0,0,105,-5,-6,-1,0,0,87,1,-49,0,-1,0,16,-3,-11,0,0,0,-5,10,19,1,-1,0,5,10,-22,tilt left
43,-39,149,2617,-32,-1003,20,-37,83,2052,131,-735,18,-68,54,977,159,-317,21,-61,47,218,91,9,18,-52,42,171,111,-103,11,-37,14,-331,139,44,17,-42,8,-657,85,224,21,-17,9,-605,-35,387,18,-3,6,-326,-105,-49,11,3,2,-390,-203,100,5,-8,-1,-514,-273,48,-1,21,2,-471,-302,11,-17,14,-7,-566,-246,181,-25,31,-14,-583,-95,342,-22,45,-16,-344,35,244,-19,46,-19,-113,127,-57,-18,34,-25,29,163,111,-12,40,-21,384,182,-21,-7,22,-17,607,115,-265,-6,2,-18,493,45,-211,-5,6,-14,398,0,-235,-3,2,-10,283,-13,-116,-1,3,-4,190,-10,-59,-1,-1,-3,143,-1,-48,0,-1,-1,53,-2,-27,0,0,0,48,-1,-33,1,-1,0,-30,3,32,1,0,0,1,10,-13,1,0,0,-33,2,0,1,1,0,3,1,5,tilt left
21,-398,15,1393,217,-179,38,-78,96,536,175,33,27,-89,64,144,112,51,19,-65,42,113,70,16,21,-49,37,58,30,-87,14,33,33,-305,-51,62,3,-15,-2,-322,-110,36,-1,5,-4,-311,-123,19,-3,6,-1,-567,-114,126,-11,20,-10,-602,-104,187,-9,28,-10,-446,-38,166,-11,33,-13,-258,24,55,-10,35,-19,-244,58,146,-9,42,-20,60,60,67,-7,30,-16,332,74,-128,-9,18,-21,320,49,-207,-6,14,-20,235,10,-76,-5,14,-13,379,-3,-71,-3,4,-12,405,-4,-183,-2,0,-12,206,0,-78,-1,0,-6,166,-3,-43,-1,0,-3,134,1,0,0,-2,-2,100,6,-52,0,-1,-1,11,5,7,0,-1,0,11,-3,-22,0,0,1,-23,-1,5,0,0,0,9,3,-15,0,1,0,-5,-5,0,0,0,0,0,0,-14,0,1,0,-3,0,18,tilt left
33,-278,115,2259,624,-160,47,-125,93,631,280,104,31,-91,62,210,123,52,27,-69,45,47,67,-7,22,-52,36,-67,8,-122,14,6,13,-573,-150,113,1,2,0,-404,-155,15,0,9,0,-408,-139,21,-7,7,-5,-467,-137,124,-11,24,-8,-456,-65,211,-9,30,-10,-399,-13,200,-10,36,-12,-244,12,100,-12,37,-18,-61,49,49,-8,42,-14,143,66,16,-8,24,-17,246,54,-55,-8,18,-17,275,32,-179,-9,10,-21,230,26,-95,-6,8,-19,207,18,-113,-7,5,-17,186,22,-53,-4,4,-12,302,2,-79,-3,0,-12,224,11,-88,-1,0,-4,215,8,-50,-1,0,-2,119,-6,-8,1,0,0,123,-2,-81,0,0,0,-41,3,37,0,1,2,60,0,-58,0,0,0,-70,7,40,0,1,0,35,8,-22,0,0,0,-36,-2,16,0,0,0,24,3,-29,tilt left
