AccX1,AccY1,AccZ1,GyrX1,GyrY1,GyrZ1,AccX2,AccY2,AccZ2,GyrX2,GyrY2,GyrZ2,AccX3,AccY3,AccZ3,GyrX3,GyrY3,GyrZ3,AccX4,AccY4,AccZ4,GyrX4,GyrY4,GyrZ4,AccX5,AccY5,AccZ5,GyrX5,GyrY5,GyrZ5,AccX6,AccY6,AccZ6,GyrX6,GyrY6,GyrZ6,AccX7,AccY7,AccZ7,GyrX7,GyrY7,GyrZ7,AccX8,AccY8,AccZ8,GyrX8,GyrY8,GyrZ8,AccX9,AccY9,AccZ9,GyrX9,GyrY9,GyrZ9,AccX10,AccY10,AccZ10,GyrX10,GyrY10,GyrZ10,AccX11,AccY11,AccZ11,GyrX11,GyrY11,GyrZ11,AccX12,AccY12,AccZ12,GyrX12,GyrY12,GyrZ12,AccX13,AccY13,AccZ13,GyrX13,GyrY13,GyrZ13,AccX14,AccY14,AccZ14,GyrX14,GyrY14,GyrZ14,AccX15,AccY15,AccZ15,GyrX15,GyrY15,GyrZ15,AccX16,AccY16,AccZ16,GyrX16,GyrY16,GyrZ16,AccX17,AccY17,AccZ17,GyrX17,GyrY17,GyrZ17,AccX18,AccY18,AccZ18,GyrX18,GyrY18,GyrZ18,AccX19,AccY19,AccZ19,GyrX19,GyrY19,GyrZ19,AccX20,AccY20,AccZ20,GyrX20,GyrY20,GyrZ20,AccX21,AccY21,AccZ21,GyrX21,GyrY21,GyrZ21,AccX22,AccY22,AccZ22,GyrX22,GyrY22,GyrZ22,AccX23,AccY23,AccZ23,GyrX23,GyrY23,GyrZ23,AccX24,AccY24,AccZ24,GyrX24,GyrY24,GyrZ24,AccX25,AccY25,AccZ25,GyrX25,GyrY25,GyrZ25,AccX26,AccY26,AccZ26,GyrX26,GyrY26,GyrZ26,AccX27,AccY27,AccZ27,GyrX27,GyrY27,GyrZ27,AccX28,AccY28,AccZ28,GyrX28,GyrY28,GyrZ28,AccX29,AccY29,AccZ29,GyrX29,GyrY29,GyrZ29,AccX30,AccY30,AccZ30,GyrX30,GyrY30,GyrZ30,Label
27,28,30,55,0,100,29,28,30,39,13,59,29,28,30,31,18,41,29,28,30,26,21,28,29,28,30,22,23,37,30,29,30,15,29,3,30,30,30,13,28,4,30,31,30,14,27,2,30,31,30,16,26,5,30,31,30,16,25,12,30,31,30,17,24,18,30,31,30,19,23,21,30,31,30,21,22,23,30,31,30,24,22,26,30,31,30,28,21,25,30,31,30,27,21,31,30,30,30,28,21,29,30,30,30,28,22,29,30,30,30,26,22,27,30,30,30,25,22,31,30,30,30,26,22,27,30,30,30,25,23,24,30,30,30,23,23,25,30,30,30,24,23,24,30,30,30,23,23,24,30,30,30,23,23,22,30,30,30,23,23,22,30,30,30,23,23,23,30,30,30,22,23,22,30,30,30,23,23,23,up
28,28,31,60,11,100,29,28,31,38,17,57,30,28,31,31,19,39,30,28,31,25,21,26,30,29,31,21,23,36,30,30,31,13,26,2,30,30,31,12,26,1,30,31,31,13,26,2,31,32,31,14,27,5,31,32,31,17,25,14,31,32,31,19,23,20,31,32,30,22,22,24,31,31,30,24,21,26,31,31,30,27,21,29,31,31,30,27,21,28,31,31,30,27,21,28,31,31,31,25,22,29,31,31,30,25,22,27,31,31,30,25,22,27,31,31,30,25,22,26,31,30,30,24,22,28,31,30,31,25,23,25,31,30,31,24,23,26,31,30,31,23,23,25,31,30,31,23,23,23,31,30,31,22,23,23,31,31,31,23,23,22,31,31,31,22,23,22,31,31,31,23,23,22,31,31,31,23,23,22,up
31,31,34,56,12,94,32,32,33,37,18,58,32,31,33,30,19,42,32,31,33,25,20,30,32,32,33,23,22,35,33,32,33,14,25,4,33,33,33,13,25,3,33,34,33,13,26,2,33,34,33,14,26,2,33,34,33,15,25,11,33,34,33,18,24,17,34,34,33,22,23,21,34,34,33,24,23,22,34,34,33,26,21,29,34,34,33,28,21,29,34,34,33,29,20,31,33,33,33,26,21,33,33,33,33,27,21,32,33,33,33,26,22,31,33,33,33,25,23,27,33,33,33,23,23,26,33,33,33,23,23,23,33,33,33,22,23,23,33,33,33,22,23,22,33,33,33,23,23,22,33,33,33,23,23,22,33,33,33,23,23,22,33,33,33,23,23,23,33,33,33,23,23,22,33,33,33,23,23,23,up
31,30,33,68,28,98,32,31,33,47,30,63,32,30,33,43,31,43,32,31,33,32,32,33,33,32,33,30,33,43,33,33,33,23,35,17,33,33,33,23,35,12,33,34,33,21,36,14,33,35,33,28,35,21,33,34,33,31,34,26,33,34,33,33,33,31,34,34,33,34,33,34,34,34,33,38,32,38,34,34,33,36,32,40,34,34,33,38,32,40,33,33,33,36,33,43,33,33,33,37,33,39,33,33,33,35,32,39,33,33,33,35,33,37,33,33,33,34,33,37,33,33,33,34,33,35,33,33,33,33,33,34,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,32,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,up
31,31,34,66,25,91,32,31,33,47,30,60,32,32,33,41,31,48,32,31,33,39,32,39,32,32,33,34,33,46,33,32,33,23,35,18,33,33,33,24,35,17,33,33,33,23,35,15,33,34,33,23,35,19,33,34,33,27,34,22,33,34,33,31,34,26,33,34,33,33,33,30,34,34,33,34,33,35,34,34,33,37,33,36,34,34,33,37,33,39,34,34,33,37,32,39,33,33,33,36,33,41,33,33,33,37,33,40,33,33,33,35,33,39,33,33,33,35,33,37,33,33,33,34,33,37,33,33,33,34,33,35,33,33,33,34,33,34,33,33,33,33,33,34,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,up
31,31,34,64,26,88,32,31,34,49,27,57,32,31,33,41,29,45,32,31,33,35,31,36,32,32,33,32,33,42,33,32,33,24,36,17,33,33,33,21,37,17,33,34,33,22,37,18,33,34,33,26,36,19,33,35,33,31,34,24,34,35,33,32,33,30,33,34,33,35,33,35,34,34,33,39,32,36,33,34,33,36,33,37,33,33,33,36,33,39,33,33,33,36,33,40,34,33,33,36,32,37,33,33,33,35,33,39,33,33,33,36,32,37,33,33,33,34,33,37,33,33,33,34,33,36,33,33,33,33,33,34,33,33,33,33,33,35,33,33,33,33,33,32,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,34,33,33,33,34,33,33,33,33,33,33,33,33,33,33,33,33,33,33,up
31,31,34,67,26,82,32,32,33,48,29,58,32,32,33,41,30,49,32,32,33,39,31,43,32,32,33,36,32,46,33,32,33,25,35,21,33,32,33,24,36,19,33,33,33,25,36,18,33,33,33,24,36,17,33,34,33,23,36,19,33,34,33,28,35,24,33,34,33,32,34,29,34,34,33,32,33,32,34,34,33,35,33,35,34,34,33,37,32,37,33,34,33,38,32,38,33,33,33,36,32,39,33,33,33,37,32,39,33,33,33,36,32,42,33,33,33,37,32,38,33,33,33,35,32,37,33,33,33,35,33,37,33,33,33,34,33,35,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,up
31,31,34,70,28,92,32,31,33,49,30,62,32,31,33,39,31,49,32,31,33,35,32,38,33,32,33,32,33,43,33,33,33,23,35,18,33,33,33,24,34,17,33,33,33,26,35,16,33,34,33,27,35,17,33,34,33,28,35,24,33,34,33,31,34,28,34,34,33,32,34,32,34,34,33,34,33,35,34,34,33,35,33,37,33,34,33,37,32,38,33,33,33,37,32,40,33,33,33,37,32,39,33,33,33,36,33,40,33,33,33,36,32,38,33,33,33,35,33,38,33,33,33,35,33,36,33,33,33,34,33,36,33,33,33,34,33,34,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,up
31,31,34,70,25,89,32,31,34,47,28,58,32,31,33,41,30,43,32,31,33,36,32,35,32,32,33,31,34,43,33,33,33,22,36,20,33,33,33,24,36,17,33,34,33,24,36,18,33,34,33,25,35,21,33,34,33,31,33,27,33,34,33,33,33,28,34,34,33,33,33,33,34,34,33,35,33,36,34,34,33,36,33,37,33,33,33,37,33,37,33,33,33,36,33,38,33,33,33,36,32,38,33,33,33,35,32,39,33,33,33,36,32,36,33,33,33,35,32,36,33,33,33,34,33,38,33,33,33,35,33,36,33,33,33,33,33,35,33,33,33,33,33,33,33,33,33,32,33,33,33,33,33,33,33,32,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,up
32,32,35,77,25,94,33,32,34,53,28,61,33,32,34,42,31,47,33,32,34,39,32,36,33,32,34,31,34,45,34,33,34,21,37,18,34,34,34,22,37,19,34,34,34,22,37,15,34,35,34,23,36,22,34,35,34,29,35,27,34,35,34,34,33,28,34,35,34,35,33,35,34,35,34,39,33,34,34,35,34,39,33,39,34,35,34,40,34,36,34,34,34,36,34,41,34,34,34,37,34,40,34,34,34,36,34,41,34,34,34,37,34,39,34,34,34,36,33,40,34,34,34,36,34,38,34,34,34,34,34,36,34,34,34,34,34,34,34,34,34,33,34,34,34,34,34,34,34,33,34,34,34,33,34,34,34,34,34,34,34,33,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,up
33,32,35,76,25,96,34,32,35,52,29,61,34,32,35,45,32,42,34,33,35,34,35,33,34,34,35,30,36,45,35,35,35,23,38,20,35,35,35,24,38,17,35,36,35,23,38,19,35,36,35,31,36,28,35,36,35,34,35,29,35,36,35,35,35,33,35,36,35,36,35,35,35,36,35,40,35,35,35,36,35,38,35,40,35,36,35,40,34,37,35,35,35,37,34,42,35,35,35,38,34,40,35,35,35,37,35,41,35,35,35,38,34,40,35,35,35,36,35,39,35,35,35,36,35,37,35,35,35,36,35,36,35,35,35,35,35,36,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,up
33,33,35,81,26,98,34,33,35,52,29,63,34,33,35,44,31,46,34,33,35,38,34,35,34,34,35,31,36,46,35,34,35,22,38,20,35,35,35,24,38,18,35,36,35,23,38,17,35,36,35,29,36,26,35,36,35,34,35,28,35,36,35,35,35,32,35,36,35,37,35,37,35,36,35,39,35,36,35,35,35,37,35,41,35,35,35,38,35,40,35,35,35,38,34,42,35,35,35,37,34,42,35,35,35,37,34,40,35,35,35,37,34,40,35,35,35,37,35,38,35,35,35,35,35,37,35,35,35,36,35,36,35,35,35,35,35,36,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,up
33,33,36,79,27,94,34,33,35,54,29,62,34,33,35,43,32,49,34,33,35,40,34,38,34,33,35,33,35,45,35,34,35,22,38,20,35,35,35,22,38,21,35,36,35,25,38,18,35,36,35,28,37,21,35,36,35,32,36,29,35,36,35,32,35,32,35,36,35,37,35,36,35,36,35,40,35,34,35,36,35,37,35,37,35,35,35,38,34,40,35,35,35,42,34,39,35,35,35,37,34,40,35,35,35,36,35,41,35,35,35,37,35,41,35,35,35,37,35,40,35,35,35,36,35,39,35,35,35,36,35,38,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,up
