AccX1,AccY1,AccZ1,GyrX1,GyrY1,GyrZ1,AccX2,AccY2,AccZ2,GyrX2,GyrY2,GyrZ2,AccX3,AccY3,AccZ3,GyrX3,GyrY3,GyrZ3,AccX4,AccY4,AccZ4,GyrX4,GyrY4,GyrZ4,AccX5,AccY5,AccZ5,GyrX5,GyrY5,GyrZ5,AccX6,AccY6,AccZ6,GyrX6,GyrY6,GyrZ6,AccX7,AccY7,AccZ7,GyrX7,GyrY7,GyrZ7,AccX8,AccY8,AccZ8,GyrX8,GyrY8,GyrZ8,AccX9,AccY9,AccZ9,GyrX9,GyrY9,GyrZ9,AccX10,AccY10,AccZ10,GyrX10,GyrY10,GyrZ10,AccX11,AccY11,AccZ11,GyrX11,GyrY11,GyrZ11,AccX12,AccY12,AccZ12,GyrX12,GyrY12,GyrZ12,AccX13,AccY13,AccZ13,GyrX13,GyrY13,GyrZ13,AccX14,AccY14,AccZ14,GyrX14,GyrY14,GyrZ14,AccX15,AccY15,AccZ15,GyrX15,GyrY15,GyrZ15,AccX16,AccY16,AccZ16,GyrX16,GyrY16,GyrZ16,AccX17,AccY17,AccZ17,GyrX17,GyrY17,GyrZ17,AccX18,AccY18,AccZ18,GyrX18,GyrY18,GyrZ18,AccX19,AccY19,AccZ19,GyrX19,GyrY19,GyrZ19,AccX20,AccY20,AccZ20,GyrX20,GyrY20,GyrZ20,AccX21,AccY21,AccZ21,GyrX21,GyrY21,GyrZ21,AccX22,AccY22,AccZ22,GyrX22,GyrY22,GyrZ22,AccX23,AccY23,AccZ23,GyrX23,GyrY23,GyrZ23,AccX24,AccY24,AccZ24,GyrX24,GyrY24,GyrZ24,AccX25,AccY25,AccZ25,GyrX25,GyrY25,GyrZ25,AccX26,AccY26,AccZ26,GyrX26,GyrY26,GyrZ26,AccX27,AccY27,AccZ27,GyrX27,GyrY27,GyrZ27,AccX28,AccY28,AccZ28,GyrX28,GyrY28,GyrZ28,AccX29,AccY29,AccZ29,GyrX29,GyrY29,GyrZ29,AccX30,AccY30,AccZ30,GyrX30,GyrY30,GyrZ30,Label
-47,-119,-94,4182,28,-1337,-33,-21,-69,-329,-40,424,10,-72,-74,-521,-185,175,-20,20,-53,-726,-162,-18,-21,48,-27,-1750,291,570,1,-20,-19,-1497,-132,371,20,-33,14,-451,290,175,-8,51,18,-2636,265,694,36,-77,107,883,-55,-319,15,57,19,-1619,299,427,24,17,95,614,-252,-77,5,73,23,784,126,-306,30,23,71,418,-383,95,7,26,6,1861,32,-707,-20,40,-30,-130,-85,274,26,-27,23,170,129,-167,-9,20,-10,307,-103,-92,-8,10,-2,-96,17,-19,18,4,17,284,-40,-91,-11,7,-2,316,-73,-144,-9,-4,-15,128,72,-14,1,-9,2,-97,-2,-16,-1,-1,-7,-120,17,60,2,-3,6,-49,2,68,1,2,4,80,-3,-46,0,3,-4,-14,-11,3,-2,-7,2,-7,22,14,0,4,3,3,-14,-10,1,-4,-4,11,13,38,1,2,0,-74,5,-6,t_left
-68,-101,-107,4906,-349,-1382,-17,-64,-58,-539,-88,381,-19,-49,-105,-896,130,353,-3,6,-27,-804,40,-99,-26,71,-61,-1260,30,403,-1,-13,3,-1244,-53,380,14,-35,-10,-708,256,144,-4,26,27,-1238,66,185,16,-33,43,-377,260,278,1,17,9,-2167,184,455,34,-30,151,1959,-184,-411,26,8,-9,-759,-30,-117,-7,51,83,884,-84,-60,2,24,-31,-419,-169,10,8,37,49,224,202,276,26,22,29,332,-113,-108,16,25,19,781,142,-284,-2,36,31,780,-167,-287,2,6,-13,483,-139,-137,-11,-3,-19,306,-67,-81,-5,-11,-11,-124,99,53,6,-3,10,-56,9,12,-2,4,-2,-38,20,35,2,-5,8,49,-15,-42,-3,3,-12,-22,16,18,-1,-1,2,-67,9,56,8,-12,8,24,-9,-107,-7,17,-9,107,-13,70,1,-11,2,-116,43,32,-1,1,0,72,-11,-49,t_left
-64,-111,-91,3980,-476,-913,-19,-22,-78,-32,-68,421,5,-69,-68,-991,193,193,-4,-10,-33,-573,128,-300,-28,57,-38,-1072,220,157,-10,12,-15,-1036,-83,309,4,-13,-23,-880,103,268,4,-1,17,-772,-19,183,5,15,45,-1925,262,709,30,-59,67,388,-152,-312,12,48,36,-1059,159,313,26,-10,109,934,-236,-360,11,39,8,401,267,-220,-12,55,24,-89,-285,208,23,26,35,814,160,-143,6,26,21,401,-108,-116,11,4,5,743,-44,-242,-7,19,0,624,-57,-157,-12,2,-11,264,-82,-136,6,-7,-13,46,131,65,-5,-5,2,-133,-67,2,2,-5,-3,-49,89,64,-3,8,9,-56,-28,13,4,-4,0,9,-23,-12,0,2,-8,-15,10,54,-2,-3,9,-62,70,24,4,2,0,121,-63,-22,-3,4,-5,-91,25,-3,4,0,4,-23,-22,-22,-5,1,-3,-53,31,58,t_left
-58,-90,-130,6283,-569,-1704,-49,-6,-117,-2957,120,1218,11,-95,-57,-1259,37,237,3,19,2,-1297,165,131,-5,8,-23,-1009,195,202,1,-5,24,-888,135,160,11,6,24,-1414,257,467,24,-32,78,-15,-121,-50,10,20,30,-1274,-269,119,12,63,81,-124,17,421,32,7,29,558,120,-487,13,62,75,1227,127,-421,1,43,10,926,-60,-169,9,4,10,1037,-184,-342,-15,12,-25,564,-126,81,-5,-16,-19,18,125,36,5,-14,7,-168,-25,37,-4,8,-2,61,23,43,4,-2,2,-237,23,-27,6,-6,3,203,-58,-6,-8,2,-9,-116,22,-32,6,-7,7,-55,14,8,-4,13,2,118,-35,-4,0,-1,-3,-22,20,12,3,-12,-3,24,-7,-19,-4,6,4,-48,-16,18,2,0,-1,33,-12,-19,-2,0,-3,-22,19,43,3,-6,5,-26,12,-32,-1,7,-5,-10,-17,51,t_left
-21,-138,-78,4809,-257,-1032,-26,23,-78,262,404,15,-18,-40,-85,-2282,-128,773,-5,-31,-47,-1170,-44,-95,-7,22,-17,-787,85,42,-11,15,-4,-653,-82,131,0,-6,-2,-662,-82,143,-1,5,2,-1240,133,361,17,-10,37,-1483,216,460,13,-3,82,-1203,-225,173,33,22,72,-298,87,104,14,56,81,1384,88,-332,15,36,23,637,-9,-149,1,38,30,916,63,-50,12,24,5,729,-150,-257,6,7,6,842,-15,-265,-4,-1,-11,475,-169,-187,-13,5,-23,-125,94,123,8,-14,11,-217,64,12,2,7,6,79,-17,-3,-5,6,-10,31,9,-6,9,-16,3,-85,-41,12,-5,9,8,127,-20,-40,1,5,-4,32,17,72,5,-17,-2,-25,-27,-192,-10,22,0,29,-1,71,4,-16,-6,-105,60,37,-1,4,13,82,-47,13,-5,1,-11,-20,24,48,7,-4,4,-11,-28,0,t_left
-54,-130,-89,4017,-156,-1212,-8,-43,-90,-247,67,167,-19,-36,-87,-565,-193,-214,-34,63,-24,-1207,129,379,-18,20,-38,-1215,18,657,6,-34,-22,-1439,112,280,6,12,38,-1159,191,527,16,-35,45,-881,111,268,18,2,41,-799,191,82,17,25,65,398,-48,-66,25,6,43,-21,69,99,17,50,58,361,-32,-47,19,17,25,322,-240,-226,18,42,33,561,-26,-103,2,30,12,806,-106,-155,2,4,15,783,-119,-410,-5,-7,-42,282,64,-103,-5,9,21,-105,-46,83,3,-7,-12,202,-2,-134,-6,6,2,-66,1,191,4,-6,5,-44,41,-70,-2,4,-12,-3,35,-11,3,-4,12,-19,-79,26,-3,0,-8,70,23,-44,0,0,4,-101,33,46,2,-1,0,24,-17,-34,-1,2,-6,-41,-19,25,2,-2,7,35,37,-32,-2,7,-6,17,-29,27,2,-8,4,-25,23,-19,t_left
-58,-106,-119,4763,-375,-1630,-35,-29,-81,-1336,15,703,-15,-26,-72,-1496,56,404,-10,11,-29,-1199,75,261,-3,6,8,-911,116,342,3,-17,-6,-848,78,241,8,8,32,-1196,197,329,14,-21,30,-822,47,66,16,35,69,-1409,334,428,45,20,106,272,-72,-129,7,66,46,1190,-201,-381,14,39,39,1038,-8,-168,5,21,-4,1100,-140,-122,5,7,1,257,-38,-63,4,2,6,525,-92,-224,-10,9,-23,80,-26,20,6,-18,3,46,40,-63,-6,12,-1,83,-65,16,2,-1,2,-195,125,24,7,-10,4,98,-112,-81,-6,14,-11,54,19,16,4,-10,7,-107,48,31,0,-2,-5,24,-37,-64,-2,9,-1,-48,40,93,1,-3,7,78,-51,-29,-3,6,-5,-90,29,10,8,-9,4,-30,42,-5,-4,8,-4,20,-37,36,-2,2,8,71,-39,-33,1,-2,-10,-2,18,-29,t_left
-57,-127,-77,4170,-255,-1223,-20,-14,-68,417,26,212,-5,-58,-125,-1204,24,672,-7,-22,-15,-1078,23,-381,-31,102,-24,-1691,34,568,6,-51,-17,-1228,68,393,14,-22,7,-828,83,82,-4,45,42,-1801,150,530,32,-92,84,0,-230,-230,18,64,54,122,558,-54,0,2,62,420,-739,-126,-5,76,3,45,714,356,38,6,18,-602,-35,255,14,34,65,796,-51,-371,16,39,23,1672,-221,-488,-3,22,-3,562,-183,-152,-2,-5,-24,441,71,-57,-13,6,-8,-89,6,96,11,-22,3,-241,-10,-63,3,6,2,-49,24,51,-2,13,4,72,-21,-32,-2,3,-2,82,-27,4,3,-4,-4,-82,-10,6,8,-3,0,53,79,46,-8,16,14,22,-100,-46,7,-14,-16,52,-5,-17,-5,2,12,19,-12,-64,0,0,-6,-52,-39,-68,-5,15,-4,121,37,46,4,-18,3,-198,69,66,t_left
-61,-121,-82,4952,-356,-1258,4,-50,-90,-409,196,-93,-42,20,-54,-1619,-105,733,-9,-40,-54,-1405,-69,118,-7,27,-21,-864,104,332,-6,2,-23,-1366,115,327,9,-9,41,-1088,199,372,23,-53,52,-682,-14,-54,10,26,19,-222,340,70,-1,48,59,-208,-341,224,17,8,45,-449,482,212,29,51,38,265,-38,163,26,29,75,381,-86,-115,12,47,18,1497,-168,-575,1,15,-7,644,-174,-191,7,-6,0,421,-66,-241,-7,6,-20,276,-70,-12,-3,3,6,32,30,-12,0,0,0,-38,-1,-64,2,4,2,50,-40,52,-5,2,-2,-51,5,16,7,-12,-8,-54,77,-41,-4,6,8,77,-81,43,3,-11,1,-101,41,-79,-6,13,-5,128,-82,-3,2,-2,-6,-176,90,50,8,-11,8,116,-19,-55,-9,12,-7,10,-16,89,1,-1,14,-48,-14,58,1,0,0,97,46,-105,t_left
-28,-128,-85,4662,-377,-1288,-40,-17,-74,-506,33,91,-18,-28,-60,-1422,-10,660,-5,-43,-69,-1439,108,55,-17,39,-17,-266,59,76,-9,12,-5,-1127,-30,401,12,-41,9,-440,197,96,-10,49,-3,-1194,-19,250,18,-36,45,-691,276,369,16,21,47,-1783,297,400,29,-10,94,550,-396,-222,1,73,10,148,366,76,18,34,66,126,-269,106,40,28,40,1150,332,-208,-1,52,37,840,-409,-335,12,-3,-28,828,-76,-381,-13,11,-5,417,-113,-20,-4,-2,-13,118,31,-100,4,0,13,0,-73,-17,0,-2,-9,7,30,-21,-6,3,-6,-49,62,89,8,-6,14,-13,-30,-56,-7,8,-13,-14,-23,16,3,-4,11,45,2,5,0,-13,-7,-6,-5,-40,-3,15,2,-63,21,62,2,0,6,72,-27,-36,-2,-5,-8,-11,37,18,3,3,5,-4,-53,12,-2,1,-1,-28,25,-29,t_left
-30,-145,-53,5168,-308,-1176,-28,-17,-119,-342,-38,73,-12,-46,-98,-1828,205,530,-14,-6,-38,-1018,202,-99,-23,55,-4,-1047,51,309,2,-18,-19,-1035,-55,383,5,-15,17,-380,-76,67,-5,17,1,-898,44,240,15,-26,41,-877,-23,223,5,16,11,-1566,80,428,32,-33,133,578,-361,-214,-4,87,9,-647,593,47,30,15,62,199,-184,201,13,66,65,1246,272,-257,15,26,6,541,-326,-141,12,9,17,1300,8,-384,-8,9,-23,714,-111,-136,-4,-11,-12,23,-6,-156,-2,2,-9,-112,92,97,-2,8,18,14,-57,-47,3,-10,-10,22,13,0,-1,9,1,-73,-8,52,-3,0,7,97,-7,-78,6,-5,-5,-75,46,57,-2,5,2,38,-92,-11,-4,-2,-3,-30,90,8,1,5,5,-8,-12,-20,7,-13,-10,-13,0,9,-5,8,1,-11,-29,-20,5,-6,4,18,53,-13,t_left
-82,-66,-128,5107,-386,-1590,-4,-103,-92,-1152,26,802,-9,-40,-55,-1387,24,55,-25,67,-44,-1386,91,480,1,-25,14,-1015,-5,318,12,-20,-5,-1068,164,136,-1,24,36,-958,68,379,12,-23,7,-1331,-17,229,32,-11,99,-650,441,88,5,52,50,74,-200,-68,13,34,37,430,71,50,20,56,53,179,-24,-31,19,42,37,1120,65,-168,16,25,49,1337,-334,-418,-9,-4,-32,901,-159,-329,-14,-7,-32,200,72,-4,-7,1,-13,-343,44,104,13,-8,19,-240,81,125,1,2,6,229,-113,-70,-4,-7,-14,-25,31,-75,-1,8,4,-42,64,65,5,-2,11,129,-50,-101,-9,7,-20,-106,14,110,7,-16,23,-29,2,-47,-3,9,-16,7,22,-21,5,5,6,-47,-27,42,-1,5,4,88,12,12,2,-23,-4,-25,-29,-78,-3,17,-7,10,22,36,-5,1,14,-20,-25,-21,t_left
