AccX1,AccY1,AccZ1,GyrX1,GyrY1,GyrZ1,AccX2,AccY2,AccZ2,GyrX2,GyrY2,GyrZ2,AccX3,AccY3,AccZ3,GyrX3,GyrY3,GyrZ3,AccX4,AccY4,AccZ4,GyrX4,GyrY4,GyrZ4,AccX5,AccY5,AccZ5,GyrX5,GyrY5,GyrZ5,AccX6,AccY6,AccZ6,GyrX6,GyrY6,GyrZ6,AccX7,AccY7,AccZ7,GyrX7,GyrY7,GyrZ7,AccX8,AccY8,AccZ8,GyrX8,GyrY8,GyrZ8,AccX9,AccY9,AccZ9,GyrX9,GyrY9,GyrZ9,AccX10,AccY10,AccZ10,GyrX10,GyrY10,GyrZ10,AccX11,AccY11,AccZ11,GyrX11,GyrY11,GyrZ11,AccX12,AccY12,AccZ12,GyrX12,GyrY12,GyrZ12,AccX13,AccY13,AccZ13,GyrX13,GyrY13,GyrZ13,AccX14,AccY14,AccZ14,GyrX14,GyrY14,GyrZ14,AccX15,AccY15,AccZ15,GyrX15,GyrY15,GyrZ15,AccX16,AccY16,AccZ16,GyrX16,GyrY16,GyrZ16,AccX17,AccY17,AccZ17,GyrX17,GyrY17,GyrZ17,AccX18,AccY18,AccZ18,GyrX18,GyrY18,GyrZ18,AccX19,AccY19,AccZ19,GyrX19,GyrY19,GyrZ19,AccX20,AccY20,AccZ20,GyrX20,GyrY20,GyrZ20,AccX21,AccY21,AccZ21,GyrX21,GyrY21,GyrZ21,AccX22,AccY22,AccZ22,GyrX22,GyrY22,GyrZ22,AccX23,AccY23,AccZ23,GyrX23,GyrY23,GyrZ23,AccX24,AccY24,AccZ24,GyrX24,GyrY24,GyrZ24,AccX25,AccY25,AccZ25,GyrX25,GyrY25,GyrZ25,AccX26,AccY26,AccZ26,GyrX26,GyrY26,GyrZ26,AccX27,AccY27,AccZ27,GyrX27,GyrY27,GyrZ27,AccX28,AccY28,AccZ28,GyrX28,GyrY28,GyrZ28,AccX29,AccY29,AccZ29,GyrX29,GyrY29,GyrZ29,AccX30,AccY30,AccZ30,GyrX30,GyrY30,GyrZ30,Label
47,49,44,64,62,42,48,49,46,49,81,55,48,48,47,53,76,53,48,48,48,51,76,55,48,48,48,53,68,48,49,47,49,48,65,57,48,47,50,48,45,47,48,48,50,46,34,47,48,48,49,46,23,42,48,48,49,41,18,43,48,48,48,45,16,42,48,48,47,46,22,40,48,48,47,44,28,46,48,48,47,44,34,46,47,48,47,47,44,46,47,48,47,46,52,47,47,48,47,49,60,49,47,48,48,50,65,50,47,48,48,50,64,52,48,48,48,51,62,47,48,48,49,49,57,54,48,48,48,49,51,49,48,48,48,48,49,50,48,48,48,49,49,47,48,48,48,48,48,49,48,48,48,48,47,47,48,48,48,47,48,47,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,left
47,46,43,49,100,52,46,45,44,49,83,50,47,45,45,48,76,48,46,45,46,45,60,48,46,45,46,44,52,46,46,45,47,42,31,39,45,45,47,36,18,37,45,45,46,35,10,37,45,45,45,36,12,36,45,45,45,33,16,31,45,45,44,35,25,38,45,46,44,40,33,37,45,46,44,41,40,40,45,46,44,40,48,42,45,45,45,46,53,45,45,45,45,44,56,42,45,45,45,44,56,46,45,45,46,43,53,43,45,45,46,44,47,43,45,45,46,41,43,42,45,45,46,41,41,40,45,45,45,41,40,41,45,45,45,41,40,40,45,45,45,41,41,41,45,45,45,41,41,41,45,45,45,41,41,41,45,45,45,41,41,41,45,45,45,41,41,41,45,45,45,41,41,41,45,45,45,41,41,41,left
46,45,42,54,96,48,47,45,44,50,86,48,46,45,46,47,71,49,46,45,46,47,58,46,46,45,46,42,49,44,46,45,47,43,36,40,45,45,47,39,21,42,45,45,46,35,15,36,45,45,45,37,18,34,45,45,45,38,23,34,45,45,45,35,24,38,45,46,44,39,34,37,45,46,45,41,41,40,45,45,45,40,45,44,45,45,45,42,46,42,45,45,45,41,49,43,45,45,45,42,48,46,45,45,45,43,48,42,45,45,45,44,47,44,45,45,45,42,47,41,45,45,45,44,46,42,45,45,45,42,46,44,45,45,45,43,43,41,45,45,45,41,43,43,45,45,45,42,42,40,45,45,45,41,42,43,45,45,45,42,41,40,45,45,45,41,41,42,45,45,45,41,41,40,45,45,45,41,42,42,left
45,46,42,51,56,38,45,46,44,43,62,45,46,45,44,46,61,44,46,45,45,44,62,46,46,45,45,45,56,42,46,45,46,44,52,47,46,45,46,43,43,42,46,45,47,43,35,43,45,45,46,39,23,37,45,45,46,35,20,35,45,45,45,35,18,37,45,45,45,37,21,35,45,45,44,36,26,36,45,46,44,38,34,38,45,45,45,43,40,42,45,45,45,41,44,44,45,45,45,42,46,44,45,45,45,42,46,43,45,45,45,44,45,44,45,45,45,42,45,42,45,45,45,42,45,42,45,45,45,43,45,41,45,45,45,42,46,42,45,45,45,42,47,42,45,45,45,42,46,43,45,45,45,43,45,42,45,45,45,41,44,42,45,45,45,42,42,42,45,45,45,41,41,41,45,45,45,42,41,41,left
48,44,47,50,99,57,46,45,47,47,66,49,46,45,47,46,47,44,46,45,46,40,36,40,46,45,46,39,35,42,45,45,45,37,21,38,45,45,45,37,22,37,45,45,44,36,28,36,45,46,45,40,35,39,45,45,45,42,39,44,45,45,45,42,42,41,45,45,45,41,44,43,45,45,45,44,46,41,45,45,45,42,47,45,45,45,45,44,48,41,45,45,45,42,49,43,45,45,45,43,49,42,45,45,45,41,47,43,45,45,45,43,45,42,45,45,45,41,44,43,45,45,45,42,42,41,45,45,45,41,41,41,45,45,45,42,41,41,45,45,45,41,41,41,45,45,45,42,41,41,45,45,45,41,41,42,45,45,45,42,41,41,45,45,45,41,41,42,45,45,45,42,41,41,45,45,45,41,42,42,left
47,44,47,50,91,51,46,45,47,49,66,46,46,45,47,47,49,42,46,45,46,39,39,40,46,45,46,41,37,43,45,45,45,39,26,40,45,45,45,37,26,38,45,45,45,37,29,38,45,45,45,43,35,42,45,45,45,40,37,39,45,45,45,42,38,41,45,45,45,39,39,40,45,45,45,41,41,42,45,45,45,40,42,42,45,45,45,42,44,40,45,45,45,40,46,44,45,45,45,43,47,42,45,45,45,42,46,41,45,45,45,42,47,43,45,45,45,43,46,42,45,45,45,42,45,43,45,45,45,43,44,42,45,45,45,42,44,42,45,45,45,42,42,42,45,45,45,41,42,42,45,45,45,42,41,41,45,45,45,41,41,41,45,45,45,41,41,42,45,45,45,41,42,41,45,45,45,41,41,41,left
47,44,47,53,87,48,46,45,46,48,62,43,46,45,46,48,44,40,46,45,46,39,39,41,46,45,46,40,39,44,45,45,45,38,28,40,45,45,45,38,28,38,45,45,45,37,33,40,45,45,45,43,36,41,45,45,45,41,36,38,45,45,45,40,37,40,45,45,45,41,39,39,45,45,45,39,41,42,45,45,45,41,42,41,45,45,45,40,44,43,45,45,45,43,45,43,45,45,45,40,46,43,45,45,45,44,46,42,45,45,45,43,45,43,45,45,45,43,45,42,45,45,45,42,45,42,45,45,45,43,45,43,45,45,45,42,44,41,45,45,45,42,44,43,45,45,45,42,43,41,45,45,45,42,42,42,45,45,45,41,41,41,45,45,45,42,41,40,45,45,45,41,41,42,45,45,45,42,41,41,left
44,41,43,56,100,54,43,41,43,43,60,44,42,41,42,40,49,39,42,41,43,42,43,37,42,42,42,36,37,41,42,42,42,35,22,35,42,42,42,34,24,35,42,42,42,36,25,34,42,42,41,33,26,37,42,42,41,38,31,35,42,42,41,36,33,39,42,42,41,37,35,35,42,42,41,36,36,37,42,42,41,36,39,40,42,42,41,39,40,38,42,42,42,39,42,41,42,42,42,42,42,37,42,42,42,39,44,41,42,42,42,41,42,38,42,42,42,39,41,39,42,42,42,39,42,38,42,42,42,38,42,38,42,42,42,38,41,39,42,42,42,39,40,37,42,42,42,37,40,39,42,42,42,39,38,37,42,42,42,37,38,39,42,42,42,38,37,37,42,42,42,38,38,38,42,42,42,38,38,38,left
44,41,43,44,85,51,43,41,43,43,59,41,43,41,43,43,49,40,42,42,43,38,39,38,42,42,42,38,36,41,42,42,42,35,23,34,42,42,42,35,24,37,42,42,41,34,24,35,42,42,41,37,29,36,42,42,41,36,32,37,42,42,41,39,35,36,42,42,41,37,35,36,42,42,41,38,37,36,42,42,41,36,40,38,42,42,41,39,41,37,42,42,41,37,43,40,42,42,42,39,44,39,42,42,42,38,44,41,42,42,42,41,43,39,42,42,42,39,42,40,42,42,42,39,41,39,42,42,42,38,40,39,42,42,42,39,40,37,42,42,42,38,39,38,42,42,42,38,39,38,42,42,42,38,38,38,42,42,42,38,38,38,42,42,42,38,38,38,42,42,42,37,38,38,42,42,42,38,38,38,left
43,40,43,41,72,41,43,41,43,40,50,38,42,42,43,39,41,37,42,42,42,36,36,38,42,42,42,37,34,40,42,42,42,35,26,37,42,42,41,36,28,36,42,42,41,36,30,39,42,42,41,39,33,37,42,42,42,38,36,37,42,42,42,40,36,33,42,42,42,35,38,38,42,42,42,38,38,37,42,42,42,36,39,41,42,42,42,38,39,34,42,42,41,36,41,43,42,42,42,41,41,38,42,42,42,39,42,40,42,42,42,40,41,38,42,42,42,39,41,39,42,42,42,39,41,38,42,42,42,39,41,39,42,42,42,38,40,39,42,42,42,39,40,38,42,42,42,38,39,39,42,42,42,39,39,37,42,42,42,38,38,38,42,42,42,38,38,37,42,42,42,38,38,38,42,42,42,38,38,38,left
