AccX1,AccY1,AccZ1,GyrX1,GyrY1,GyrZ1,AccX2,AccY2,AccZ2,GyrX2,GyrY2,GyrZ2,AccX3,AccY3,AccZ3,GyrX3,GyrY3,GyrZ3,AccX4,AccY4,AccZ4,GyrX4,GyrY4,GyrZ4,AccX5,AccY5,AccZ5,GyrX5,GyrY5,GyrZ5,AccX6,AccY6,AccZ6,GyrX6,GyrY6,GyrZ6,AccX7,AccY7,AccZ7,GyrX7,GyrY7,GyrZ7,AccX8,AccY8,AccZ8,GyrX8,GyrY8,GyrZ8,AccX9,AccY9,AccZ9,GyrX9,GyrY9,GyrZ9,AccX10,AccY10,AccZ10,GyrX10,GyrY10,GyrZ10,AccX11,AccY11,AccZ11,GyrX11,GyrY11,GyrZ11,AccX12,AccY12,AccZ12,GyrX12,GyrY12,GyrZ12,AccX13,AccY13,AccZ13,GyrX13,GyrY13,GyrZ13,AccX14,AccY14,AccZ14,GyrX14,GyrY14,GyrZ14,AccX15,AccY15,AccZ15,GyrX15,GyrY15,GyrZ15,AccX16,AccY16,AccZ16,GyrX16,GyrY16,GyrZ16,AccX17,AccY17,AccZ17,GyrX17,GyrY17,GyrZ17,AccX18,AccY18,AccZ18,GyrX18,GyrY18,GyrZ18,AccX19,AccY19,AccZ19,GyrX19,GyrY19,GyrZ19,AccX20,AccY20,AccZ20,GyrX20,GyrY20,GyrZ20,AccX21,AccY21,AccZ21,GyrX21,GyrY21,GyrZ21,AccX22,AccY22,AccZ22,GyrX22,GyrY22,GyrZ22,AccX23,AccY23,AccZ23,GyrX23,GyrY23,GyrZ23,AccX24,AccY24,AccZ24,GyrX24,GyrY24,GyrZ24,AccX25,AccY25,AccZ25,GyrX25,GyrY25,GyrZ25,AccX26,AccY26,AccZ26,GyrX26,GyrY26,GyrZ26,AccX27,AccY27,AccZ27,GyrX27,GyrY27,GyrZ27,AccX28,AccY28,AccZ28,GyrX28,GyrY28,GyrZ28,AccX29,AccY29,AccZ29,GyrX29,GyrY29,GyrZ29,AccX30,AccY30,AccZ30,GyrX30,GyrY30,GyrZ30,Label
204,-15,237,2905,511,2821,103,-89,105,1254,-290,1059,66,-94,52,622,-488,313,28,-82,18,337,-461,-41,5,-62,-1,163,-443,498,-48,-46,-61,-485,-547,-787,-63,-6,-59,-454,-292,-831,-73,31,-58,-491,-69,-677,-64,56,-57,-456,144,-503,-52,72,-36,-396,426,-281,-41,70,-24,-315,646,-80,-16,72,-2,-294,759,126,6,50,24,-142,744,245,31,35,61,42,511,341,42,10,57,162,122,384,45,-6,52,202,-192,393,25,-23,19,267,-376,312,11,-21,2,275,-424,123,-7,-23,-23,170,-317,165,-14,-19,-26,83,-133,23,-15,-12,-18,40,-25,-17,-5,-6,-6,-10,22,-6,0,-2,-4,-7,29,-15,1,1,0,-20,16,-30,2,2,1,-14,13,-17,3,1,-1,-7,6,-4,1,2,3,-7,-9,-11,0,1,0,-3,-5,11,0,0,0,-3,-2,25,0,0,0,2,0,-12,clockwise
-52,124,-116,202,2125,-209,19,105,14,372,1378,206,40,76,42,528,769,513,62,39,60,539,310,583,58,9,52,559,36,289,64,-52,64,504,-595,278,36,-87,22,275,-878,170,7,-105,-18,-16,-905,-98,-33,-93,-48,-212,-735,-448,-55,-62,-65,-317,-508,-653,-58,-20,-61,-429,-249,-666,-67,13,-55,-424,6,-624,-57,40,-34,-383,291,-484,-49,59,-34,-360,510,-443,-36,70,-18,-509,690,-147,-26,73,2,-399,736,7,8,55,21,-313,652,237,21,42,32,-48,504,246,39,17,48,-32,241,414,48,-3,54,244,-97,371,40,-19,35,291,-276,357,19,-21,18,368,-328,71,6,-21,0,182,-376,171,-4,-14,-11,236,-288,28,-18,-14,-21,63,-142,57,-13,-5,-16,40,-59,-41,-7,-2,-14,-37,-10,27,-3,-1,-5,-38,28,18,-3,0,0,-52,37,20,2,-1,0,-14,28,-4,clockwise
-33,127,-90,-524,1666,79,0,103,-19,-200,1117,328,31,90,26,79,781,443,50,56,38,314,441,473,59,17,39,369,156,373,69,-31,55,527,-355,394,59,-64,38,556,-641,198,24,-92,4,414,-799,-121,-15,-90,-24,132,-760,-313,-48,-60,-47,-18,-599,-673,-64,-33,-55,-153,-385,-795,-70,-6,-54,-452,-139,-755,-65,24,-55,-491,92,-635,-47,42,-37,-594,382,-442,-35,52,-24,-627,608,-245,-16,59,-3,-692,709,133,6,51,20,-356,712,161,19,48,33,-366,561,429,36,32,48,20,240,339,40,14,47,143,-34,468,30,-2,35,374,-234,286,14,-15,8,355,-329,248,11,-31,1,412,-299,132,-6,-29,-20,199,-208,84,-10,-20,-18,130,-139,-20,-5,-13,-19,46,-79,-34,-5,-4,-11,-39,-59,36,-5,0,-5,-38,-31,-11,-3,3,-1,-37,-11,-16,-1,0,0,-22,9,19,clockwise
-69,4,-151,831,900,-671,-42,29,-54,-189,1022,-38,-16,72,-2,-128,840,146,17,65,34,255,642,368,34,41,41,447,377,191,66,16,78,404,6,645,77,-17,63,710,-434,339,63,-77,33,779,-768,180,21,-105,-10,316,-900,-194,-13,-98,-40,-81,-833,-531,-43,-67,-54,-221,-645,-757,-64,-37,-58,-408,-347,-965,-69,2,-58,-625,-50,-792,-59,42,-49,-675,170,-561,-55,57,-33,-568,430,-393,-38,66,-15,-667,701,-96,-19,67,1,-543,739,137,0,61,28,-380,675,352,25,37,47,-128,568,426,34,21,48,23,272,463,31,-3,31,208,-140,429,27,-17,31,242,-258,297,20,-28,5,307,-226,270,0,-26,-13,303,-261,90,2,-23,-9,177,-167,37,0,-12,-7,121,-62,-1,-2,-5,-13,76,-102,-26,-4,0,-7,6,-143,2,-1,1,0,4,-95,11,-3,0,-7,2,-100,6,clockwise
-111,42,-102,-18,1553,-322,-55,89,-30,-102,1188,99,-23,88,11,99,841,412,16,66,47,489,529,507,38,38,42,645,241,282,80,-12,59,723,-309,349,80,-65,46,752,-687,217,58,-107,9,460,-826,-91,18,-106,-33,37,-820,-445,-25,-87,-45,-241,-643,-708,-56,-38,-49,-491,-363,-917,-72,4,-69,-659,-134,-814,-69,44,-54,-670,67,-594,-70,60,-46,-590,389,-487,-46,62,-31,-726,668,-79,-28,64,-7,-550,778,38,1,53,30,-462,788,418,23,33,44,-114,679,319,43,20,53,-116,356,510,47,9,53,234,7,346,34,-6,33,278,-197,416,23,-20,20,457,-321,129,9,-23,1,311,-363,261,1,-28,-9,336,-321,74,-11,-23,-19,122,-251,76,-6,-16,-18,87,-205,-2,-11,-9,-16,-44,-121,14,-8,-1,-8,-44,-64,-32,-7,1,-1,-62,-22,6,-4,1,0,-24,-15,-33,clockwise
63,124,76,2424,16,-1034,-1,-72,-40,-520,83,174,12,40,27,330,36,-112,6,-1,6,-64,26,19,8,-2,6,-91,10,-419,-7,-25,-8,-560,3,651,6,28,19,201,-22,-292,-1,-23,-12,-201,-19,104,-1,-1,-2,39,-12,65,-2,3,-2,93,-2,-73,0,1,-2,57,4,-60,0,0,1,14,-7,12,0,0,0,-18,6,10,2,2,2,11,0,-23,0,-1,0,-24,2,33,0,0,0,20,-8,-12,-1,0,-2,-32,10,19,0,0,0,16,-3,-20,0,0,-1,-11,3,1,0,0,0,8,-1,17,0,0,0,-17,9,14,2,0,1,15,-4,-22,0,0,0,-14,8,13,1,0,0,-1,-4,16,0,1,0,7,-2,-17,0,0,0,-1,0,11,0,1,0,-4,-4,-16,0,0,0,10,2,14,-1,0,0,-1,1,-19,0,0,0,-5,1,10,clockwise
-110,76,-95,-115,1229,-108,-62,79,-38,-7,900,162,-13,80,12,160,768,369,20,64,28,463,504,426,41,28,40,503,245,342,73,-11,58,666,-178,333,78,-51,48,625,-510,238,52,-85,17,527,-764,-141,12,-101,-17,127,-811,-280,-30,-79,-43,-122,-669,-702,-47,-51,-54,-315,-478,-741,-66,-19,-58,-433,-220,-783,-64,11,-60,-631,-2,-591,-57,37,-44,-603,233,-443,-47,51,-34,-624,441,-248,-43,63,-17,-624,645,-40,-20,66,3,-602,724,209,2,54,29,-397,681,267,16,46,40,-236,592,356,39,24,51,28,309,384,50,4,52,164,-15,449,42,-11,37,405,-249,319,23,-27,11,412,-308,172,13,-34,0,408,-372,179,-7,-28,-19,229,-311,77,-13,-18,-22,180,-213,-53,-13,-16,-23,13,-108,44,-9,0,-12,14,-79,-59,-5,1,-8,-60,-52,44,0,3,0,-8,-18,-5,clockwise
-105,34,-111,160,1106,-89,-61,71,-44,-37,981,194,-26,66,-7,214,872,328,9,54,21,288,661,451,25,31,35,393,403,316,65,-1,63,447,-31,408,75,-46,59,532,-425,188,62,-74,37,415,-743,46,27,-91,7,275,-895,-294,-6,-81,-24,10,-823,-519,-36,-50,-38,-81,-630,-705,-55,-22,-58,-197,-422,-799,-63,2,-57,-464,-154,-685,-65,32,-57,-534,112,-542,-48,47,-43,-508,364,-385,-41,54,-34,-586,642,-241,-22,60,0,-637,838,113,2,59,21,-405,790,216,21,44,46,-263,658,425,27,28,45,-98,392,403,44,10,54,52,38,511,34,-9,28,248,-216,403,24,-25,18,317,-322,283,16,-29,-1,303,-338,195,6,-26,-10,219,-303,60,-6,-22,-20,167,-209,-11,-5,-13,-10,74,-150,-17,-10,-1,-16,-8,-91,-36,-8,2,-11,-10,-64,-29,-4,0,-2,-18,-26,3,clockwise
-83,132,-23,295,1920,462,-10,92,15,417,1081,550,14,67,37,547,699,557,40,35,52,585,365,528,40,6,41,597,101,364,69,-52,45,504,-497,235,47,-76,28,350,-656,-40,24,-90,1,128,-727,-264,-12,-79,-27,-82,-645,-587,-31,-54,-39,-274,-483,-682,-55,-18,-46,-309,-261,-730,-57,7,-50,-364,-81,-695,-55,27,-46,-567,54,-507,-50,42,-34,-508,225,-304,-42,46,-21,-535,414,-112,-26,56,-6,-543,552,-12,-10,52,11,-466,585,293,7,46,28,-183,535,268,14,28,26,-61,424,340,31,15,38,41,194,375,28,4,22,203,38,362,26,-12,16,239,-132,303,22,-19,4,265,-165,187,22,-18,4,139,-212,206,7,-13,-10,186,-188,37,4,-19,-3,74,-196,78,0,-8,-5,107,-137,-60,-5,-7,-7,36,-107,2,-5,-1,-8,58,-93,-59,-7,-2,-6,-23,-54,9,clockwise
-26,173,-31,-124,2507,674,10,119,28,472,1252,645,37,78,45,699,714,630,47,33,38,700,381,562,47,-1,35,617,128,413,61,-54,39,635,-586,159,43,-83,18,429,-736,-121,13,-94,-13,128,-774,-369,-17,-74,-26,-101,-700,-670,-36,-45,-41,-287,-542,-700,-62,-21,-47,-341,-314,-791,-62,4,-49,-570,-88,-625,-66,29,-39,-587,108,-487,-54,42,-30,-580,325,-241,-43,49,-20,-543,508,-161,-22,53,-2,-570,649,134,-7,50,11,-396,635,193,15,44,23,-263,562,289,30,30,34,-125,431,381,33,20,34,23,195,433,39,5,35,219,-47,396,34,-11,20,322,-185,288,25,-22,11,307,-261,265,8,-25,-4,305,-315,149,3,-23,-6,227,-264,17,-8,-17,-17,142,-180,23,-11,-8,-15,36,-109,-12,-8,-3,-11,23,-54,-54,-2,2,-5,-54,-46,10,-1,0,-3,-27,-33,-21,clockwise
