AccX1,AccY1,AccZ1,GyrX1,GyrY1,GyrZ1,AccX2,AccY2,AccZ2,GyrX2,GyrY2,GyrZ2,AccX3,AccY3,AccZ3,GyrX3,GyrY3,GyrZ3,AccX4,AccY4,AccZ4,GyrX4,GyrY4,GyrZ4,AccX5,AccY5,AccZ5,GyrX5,GyrY5,GyrZ5,AccX6,AccY6,AccZ6,GyrX6,GyrY6,GyrZ6,AccX7,AccY7,AccZ7,GyrX7,GyrY7,GyrZ7,AccX8,AccY8,AccZ8,GyrX8,GyrY8,GyrZ8,AccX9,AccY9,AccZ9,GyrX9,GyrY9,GyrZ9,AccX10,AccY10,AccZ10,GyrX10,GyrY10,GyrZ10,AccX11,AccY11,AccZ11,GyrX11,GyrY11,GyrZ11,AccX12,AccY12,AccZ12,GyrX12,GyrY12,GyrZ12,AccX13,AccY13,AccZ13,GyrX13,GyrY13,GyrZ13,AccX14,AccY14,AccZ14,GyrX14,GyrY14,GyrZ14,AccX15,AccY15,AccZ15,GyrX15,GyrY15,GyrZ15,AccX16,AccY16,AccZ16,GyrX16,GyrY16,GyrZ16,AccX17,AccY17,AccZ17,GyrX17,GyrY17,GyrZ17,AccX18,AccY18,AccZ18,GyrX18,GyrY18,GyrZ18,AccX19,AccY19,AccZ19,GyrX19,GyrY19,GyrZ19,AccX20,AccY20,AccZ20,GyrX20,GyrY20,GyrZ20,AccX21,AccY21,AccZ21,GyrX21,GyrY21,GyrZ21,AccX22,AccY22,AccZ22,GyrX22,GyrY22,GyrZ22,AccX23,AccY23,AccZ23,GyrX23,GyrY23,GyrZ23,AccX24,AccY24,AccZ24,GyrX24,GyrY24,GyrZ24,AccX25,AccY25,AccZ25,GyrX25,GyrY25,GyrZ25,AccX26,AccY26,AccZ26,GyrX26,GyrY26,GyrZ26,AccX27,AccY27,AccZ27,GyrX27,GyrY27,GyrZ27,AccX28,AccY28,AccZ28,GyrX28,GyrY28,GyrZ28,AccX29,AccY29,AccZ29,GyrX29,GyrY29,GyrZ29,AccX30,AccY30,AccZ30,GyrX30,GyrY30,GyrZ30,Label
152,-38,84,400,-1659,-737,62,-10,22,-55,-1308,-403,36,14,-8,145,-1057,-291,22,2,-7,-117,-842,-70,16,13,-11,69,-644,-172,-18,6,-27,-184,-262,182,-15,10,-18,118,-9,1,-17,-11,-7,-20,172,216,-16,0,-11,102,321,-82,-21,-13,-4,-26,401,71,-17,4,-7,161,461,-167,-16,-3,-2,-99,446,-14,-9,6,4,-42,408,55,-6,0,10,-19,331,67,1,1,12,-24,250,41,4,-1,15,-42,147,158,5,-2,10,19,94,54,5,-3,6,-24,63,48,6,0,5,20,34,-14,5,0,2,-9,-7,-1,2,0,1,-14,-15,23,1,0,0,-8,-5,0,0,0,0,6,0,-17,0,0,0,-11,-14,7,0,-1,0,-9,7,14,0,0,0,7,10,2,0,1,0,-4,1,-15,0,0,0,-6,-8,18,0,0,0,9,5,-9,0,0,1,6,-3,-20,left
122,21,95,70,-1176,116,85,4,51,-59,-1020,90,61,8,31,119,-908,-7,38,0,0,138,-819,-111,22,-1,-19,10,-689,-144,-22,-4,-59,86,-379,-244,-40,1,-78,-28,-13,-206,-61,6,-68,-16,345,-141,-60,9,-48,-124,666,152,-45,14,-15,-10,868,67,-15,10,6,-64,934,378,0,4,32,62,844,362,24,-6,30,-3,670,384,33,-8,34,-26,494,255,30,-14,25,-27,356,39,22,-12,29,-81,193,38,19,-7,31,61,23,-114,13,-9,23,-82,-116,-62,12,0,24,17,-230,-155,3,-1,19,0,-329,-87,1,0,15,36,-371,-152,-6,-3,4,-83,-356,-8,-9,2,5,18,-305,-95,-14,-2,-3,13,-252,-42,-12,1,-3,6,-201,-79,-12,0,-6,11,-141,-32,-9,3,-6,1,-98,-18,-6,0,-5,11,-51,-10,-2,0,-4,-1,-20,3,-1,0,-1,8,4,-8,right
134,25,89,217,-1380,-41,91,8,42,244,-1020,-124,57,-1,18,206,-887,-207,39,-1,0,126,-789,-253,24,-1,-18,87,-683,-265,-9,-2,-47,30,-381,-330,-35,2,-60,-46,-127,-350,-42,15,-55,-194,196,-142,-47,20,-45,-96,498,42,-42,18,-18,-143,733,282,-27,15,-2,-62,852,321,-4,9,15,-26,857,554,10,-3,23,103,740,501,19,-8,22,11,589,484,24,-11,19,17,451,247,21,-13,15,-13,345,136,17,-11,16,-18,184,14,15,-13,16,-53,28,-13,13,-11,25,-38,-132,-69,11,-8,26,-23,-271,-186,4,-3,23,-42,-415,-162,-5,-3,20,-45,-453,-89,-13,3,10,17,-405,-171,-20,2,0,44,-299,-153,-22,3,-7,92,-219,-125,-20,-2,-6,57,-124,-74,-15,-1,-9,54,-61,-76,-8,-2,-6,8,-35,-39,-3,-1,-4,-12,-31,-16,-2,0,-3,-27,-5,15,right
119,31,103,94,-1182,53,88,9,47,170,-963,-77,63,6,19,246,-823,-152,43,0,-2,173,-705,-194,28,4,-11,125,-610,-179,-4,-2,-40,161,-391,-317,-21,0,-49,-13,-222,-302,-36,4,-51,-173,19,-199,-38,11,-42,-134,300,-75,-40,14,-28,-145,569,59,-36,15,-11,-57,738,298,-21,12,5,-31,816,445,-2,4,21,63,777,387,8,0,27,56,638,530,19,-13,23,17,495,334,33,-15,23,-111,379,247,26,-14,18,-1,290,72,23,-14,14,-42,151,26,20,-13,19,-73,-1,-32,17,-7,21,-40,-154,-117,9,-4,14,-60,-255,-134,7,0,17,-42,-335,-123,-2,0,15,-4,-365,-121,-8,2,6,8,-360,-113,-13,2,1,35,-309,-114,-16,0,-2,67,-249,-128,-18,-2,-7,46,-182,-56,-13,0,-10,15,-97,-58,-9,0,-7,21,-21,-32,-5,0,-4,-13,-7,-35,right
135,18,82,304,-1314,-200,90,5,43,202,-1020,-209,60,0,17,198,-889,-280,39,2,-1,142,-796,-297,31,6,-14,135,-740,-288,-12,7,-49,269,-450,-356,-40,4,-60,-58,-36,-266,-49,21,-48,0,332,-115,-50,21,-35,-61,593,255,-52,13,-10,-92,837,114,-30,7,11,-321,925,654,-2,8,25,-54,775,480,8,-12,22,-101,585,624,20,-17,23,-76,505,386,29,-16,14,-147,414,233,27,-18,12,-115,322,77,25,-14,13,-104,180,-74,28,-7,22,-63,24,-207,22,-3,20,-76,-161,-165,9,0,15,81,-302,-201,2,2,15,112,-398,-172,-8,2,9,146,-449,-156,-20,0,-3,54,-385,-1,-22,-1,-7,109,-312,-61,-18,-3,-5,67,-225,-56,-17,-2,-8,-12,-152,-15,-14,-2,-7,7,-79,-42,-9,-1,-5,-25,-31,-13,-6,1,-1,29,18,-87,-5,1,-3,-37,48,-15,right
133,21,81,455,-1285,-147,97,0,39,316,-968,-246,65,1,28,287,-851,-360,46,4,8,79,-812,-305,35,11,-5,105,-758,-242,0,7,-39,11,-524,-209,-24,11,-49,72,-248,-356,-32,6,-62,-196,87,-24,-38,12,-44,-10,406,115,-49,-3,-36,-22,714,333,-37,0,-15,-89,922,176,-19,-2,0,-144,940,459,2,0,20,-19,818,548,14,-8,17,-149,698,302,33,0,28,-156,573,284,39,0,33,51,453,7,38,-2,33,46,279,59,22,-6,31,197,47,-12,19,-17,30,96,-126,-44,6,-15,20,64,-318,-185,-2,-17,17,-92,-477,-49,-12,-7,11,-118,-523,-94,-15,-4,0,-183,-420,-77,-19,11,-2,-36,-336,-118,-15,9,-2,31,-240,-120,-17,7,-8,39,-149,-87,-12,2,-9,40,-92,-41,-9,2,-6,47,-51,-26,-7,-1,-6,62,-19,-27,-4,0,-4,5,1,3,right
138,5,74,-25,-1512,86,77,-3,32,96,-1054,-67,51,5,13,6,-879,-100,32,6,-2,93,-766,-149,21,0,-15,83,-675,-128,-12,-4,-41,72,-379,-295,-22,-1,-48,133,-188,-352,-29,-2,-52,75,62,-343,-29,11,-48,-130,316,-66,-40,20,-24,-103,631,240,-32,22,-12,-9,831,199,-19,19,5,-158,913,342,-7,10,16,-31,870,685,2,-12,25,53,784,567,23,-21,16,-28,616,207,27,-23,18,-203,438,168,25,-13,16,-46,272,12,25,-9,21,-130,76,4,21,-3,26,-114,-122,-117,15,1,29,-16,-294,-95,11,4,29,175,-366,-207,-1,-2,23,33,-418,-92,-12,-4,15,124,-411,-108,-18,-4,4,103,-337,-152,-22,-6,-2,60,-267,-167,-23,-3,-7,-33,-216,-74,-16,-5,-10,-27,-149,-79,-11,-1,-9,-69,-60,-11,-5,1,-5,-26,-17,-10,-2,3,-2,-20,6,-14,right
144,23,70,39,-1405,76,90,14,39,281,-1087,-78,64,8,12,198,-964,-115,46,6,-3,240,-871,-210,34,2,-13,183,-765,-217,1,-3,-39,196,-527,-442,-18,-3,-61,62,-245,-479,-24,13,-63,-216,83,-298,-45,12,-53,-106,448,-53,-45,21,-28,-227,758,253,-37,19,-8,-152,964,144,-15,16,18,-145,942,804,-8,-3,30,157,854,530,19,-5,34,-34,680,640,23,-18,21,58,486,370,18,-18,14,-89,373,226,11,-19,12,-80,269,59,14,-15,12,-131,158,-43,10,-11,15,-56,27,-97,11,-4,17,-3,-110,-176,9,0,20,-17,-262,-150,8,2,22,26,-370,-114,-2,1,19,57,-425,-112,-9,-1,11,32,-422,-122,-15,-2,5,7,-372,-88,-18,-2,-1,76,-282,-123,-21,-3,-12,43,-173,-110,-17,-1,-10,12,-107,-104,-13,0,-8,27,-40,-40,-9,0,-4,0,8,-15,right
122,41,98,-88,-1195,-152,95,32,48,216,-1052,-104,75,14,19,149,-931,-82,58,5,1,269,-856,-167,37,0,-14,101,-774,-214,3,-5,-48,189,-544,-318,-17,-8,-63,24,-277,-295,-40,8,-58,30,84,-385,-48,14,-48,-177,387,-18,-47,17,-22,-82,677,28,-39,15,-4,-157,839,312,-26,14,14,-109,902,385,-5,-1,19,-107,810,665,1,-7,22,-72,722,591,17,-7,11,-146,581,450,22,-15,15,-196,490,281,22,-13,13,-131,363,59,24,-10,19,-175,199,-69,26,-4,28,18,18,-153,18,-3,29,72,-186,-210,15,2,28,138,-379,-260,1,-3,21,125,-486,-143,-9,-2,14,159,-496,-168,-18,-7,0,64,-413,-47,-22,-7,-2,40,-290,-78,-24,-3,-9,48,-174,-75,-17,-2,-5,15,-93,-48,-13,-2,-5,6,-56,-71,-9,0,-4,-48,-42,19,-4,0,0,7,-21,-6,right
139,66,36,-91,-1693,346,82,45,26,287,-1091,34,56,19,13,583,-906,-176,37,3,-7,391,-821,-277,26,-2,-17,325,-727,-289,-9,-16,-40,155,-350,-517,-20,-9,-61,-107,-109,-506,-34,5,-67,-606,209,4,-42,19,-43,-255,621,48,-42,20,-24,-342,890,354,-25,27,1,-98,1004,371,-12,12,22,26,970,951,5,-3,39,282,832,447,21,-15,32,-73,553,441,26,-17,27,-75,349,200,20,-23,23,-181,168,102,18,-18,24,-127,9,-65,15,-14,18,-137,-162,-182,16,1,21,-52,-286,-221,8,1,17,79,-376,-171,1,2,12,96,-411,-212,-7,0,8,123,-389,-113,-18,2,3,95,-309,-65,-26,-5,-3,63,-214,-67,-20,-2,-3,36,-112,-28,-16,-2,-3,47,-50,-91,-10,-1,-6,-38,-34,-16,-1,0,-4,10,-16,-10,0,1,-3,3,-4,-42,0,1,0,-15,-14,25,right
