AccX1,AccY1,AccZ1,GyrX1,GyrY1,GyrZ1,AccX2,AccY2,AccZ2,GyrX2,GyrY2,GyrZ2,AccX3,AccY3,AccZ3,GyrX3,GyrY3,GyrZ3,AccX4,AccY4,AccZ4,GyrX4,GyrY4,GyrZ4,AccX5,AccY5,AccZ5,GyrX5,GyrY5,GyrZ5,AccX6,AccY6,AccZ6,GyrX6,GyrY6,GyrZ6,AccX7,AccY7,AccZ7,GyrX7,GyrY7,GyrZ7,AccX8,AccY8,AccZ8,GyrX8,GyrY8,GyrZ8,AccX9,AccY9,AccZ9,GyrX9,GyrY9,GyrZ9,AccX10,AccY10,AccZ10,GyrX10,GyrY10,GyrZ10,AccX11,AccY11,AccZ11,GyrX11,GyrY11,GyrZ11,AccX12,AccY12,AccZ12,GyrX12,GyrY12,GyrZ12,AccX13,AccY13,AccZ13,GyrX13,GyrY13,GyrZ13,AccX14,AccY14,AccZ14,GyrX14,GyrY14,GyrZ14,AccX15,AccY15,AccZ15,GyrX15,GyrY15,GyrZ15,AccX16,AccY16,AccZ16,GyrX16,GyrY16,GyrZ16,AccX17,AccY17,AccZ17,GyrX17,GyrY17,GyrZ17,AccX18,AccY18,AccZ18,GyrX18,GyrY18,GyrZ18,AccX19,AccY19,AccZ19,GyrX19,GyrY19,GyrZ19,AccX20,AccY20,AccZ20,GyrX20,GyrY20,GyrZ20,AccX21,AccY21,AccZ21,GyrX21,GyrY21,GyrZ21,AccX22,AccY22,AccZ22,GyrX22,GyrY22,GyrZ22,AccX23,AccY23,AccZ23,GyrX23,GyrY23,GyrZ23,AccX24,AccY24,AccZ24,GyrX24,GyrY24,GyrZ24,AccX25,AccY25,AccZ25,GyrX25,GyrY25,GyrZ25,AccX26,AccY26,AccZ26,GyrX26,GyrY26,GyrZ26,AccX27,AccY27,AccZ27,GyrX27,GyrY27,GyrZ27,AccX28,AccY28,AccZ28,GyrX28,GyrY28,GyrZ28,AccX29,AccY29,AccZ29,GyrX29,GyrY29,GyrZ29,AccX30,AccY30,AccZ30,GyrX30,GyrY30,GyrZ30,Label
123,-51,91,-196,622,236,16,21,60,622,-220,-106,-4,-26,17,-476,-205,-190,-15,7,-41,-134,-140,-70,8,12,-25,11,143,-24,-5,31,-38,17,-17,111,-20,14,-40,-10,-386,-24,-34,6,-31,475,57,-70,-8,10,-4,-408,-264,270,-29,-5,-41,869,218,-545,10,19,3,-590,161,367,-19,-11,-23,-147,183,96,-1,7,3,191,32,-93,0,-5,0,16,248,103,14,-13,37,252,-56,-273,5,-5,15,-327,49,212,2,-23,26,-12,-44,58,5,-2,3,76,-72,-211,3,14,2,-161,-102,171,2,-2,-3,79,89,-76,0,7,-2,-11,-108,20,-4,-4,-7,3,127,110,-3,-15,-1,-52,-75,-78,-1,15,6,89,35,-119,-1,-1,0,-74,-11,111,7,-3,5,50,-22,-108,0,13,-5,-42,-27,113,-5,-6,1,-12,74,17,1,-2,-7,51,-21,-38,5,-1,9,-56,-76,-11,down
100,-63,119,343,342,163,-11,-16,42,-607,-239,-89,-19,12,-19,-93,-162,-183,0,28,-38,-98,-106,15,-1,14,-34,235,0,-38,-14,21,-36,-345,-244,100,-31,12,-45,553,-16,-88,-5,21,-10,-110,-21,207,-6,4,-29,151,73,8,-17,5,-6,97,14,-157,-4,0,-3,3,133,97,-14,-5,-4,-10,-78,-89,-18,0,-5,68,170,-33,-6,3,2,-168,-50,43,1,1,16,180,323,56,9,-23,23,-112,74,62,12,-7,25,18,24,-10,2,5,1,110,-53,-64,11,-9,16,-116,-13,76,5,-3,-2,13,-97,-62,-2,-5,-5,-109,47,32,-2,8,-11,47,-27,-77,-1,4,2,32,20,25,1,-6,0,-49,-22,-42,-5,9,-1,-35,-45,45,-1,2,-8,123,65,18,1,-5,6,-82,-28,19,0,-4,5,26,12,-48,2,-1,2,-51,3,-10,4,9,-1,21,19,-5,down
95,-69,102,465,116,372,1,-22,37,-442,235,-122,2,2,1,-202,-100,-148,-18,15,-32,-79,-420,-183,1,8,-21,-137,133,-21,-2,28,-15,-158,-73,-16,-24,32,-48,325,-158,-12,5,5,-23,419,-242,-118,-30,12,-33,-269,23,158,-9,-8,-5,108,182,155,0,0,-13,7,-48,-62,-5,12,-2,-179,-22,148,-18,7,-13,101,105,5,-13,-10,-8,369,-6,-256,-9,1,6,-213,171,125,-1,-7,14,-81,-6,94,2,-10,16,46,103,-70,18,-3,12,-88,-1,25,4,-8,13,19,106,5,5,-3,19,-59,-114,-38,0,5,-4,57,10,-79,6,9,2,-42,-59,15,0,-5,-8,-13,37,54,-4,5,-5,34,37,8,0,1,5,-29,-82,-38,-4,-1,-5,90,51,135,1,-4,9,38,-27,-90,5,-2,-6,-22,-10,-53,-2,1,0,-82,-21,8,-4,1,-4,22,3,6,down
72,-71,118,104,375,179,1,6,16,-440,-4,-107,4,8,4,16,-313,-70,-4,10,-28,116,-11,-113,12,14,-18,-222,-117,-42,-19,27,-55,182,-31,105,7,21,-16,7,-357,19,-41,1,-49,66,148,105,-10,5,-3,6,-47,29,-16,3,-23,245,300,-87,10,11,14,-128,-18,195,-2,-9,1,249,-266,-247,-10,4,-6,-42,5,-10,-7,1,5,-205,153,185,-15,-5,-10,85,10,-218,-12,2,7,18,318,100,11,-14,14,94,74,14,20,-11,20,-105,-57,0,10,3,9,-22,45,-17,6,3,7,-29,-153,-11,-2,-1,5,15,74,89,1,-5,-1,38,-89,-130,-2,8,-5,-52,70,85,-2,-6,2,27,-53,-77,1,13,-9,5,41,59,1,-14,4,-50,-34,47,-2,5,-2,17,-39,-78,2,5,-2,-7,84,-14,4,-4,9,13,-49,60,1,2,-5,48,15,-88,down
125,-36,94,-97,460,228,16,-8,28,83,-91,-187,5,2,28,-341,-383,94,-54,6,-46,86,-488,-18,-13,-8,-34,-20,54,-130,17,37,-6,-161,104,84,-16,5,-26,369,-139,-49,-22,10,-33,-208,-68,108,-26,-5,-29,208,45,-47,-20,19,-14,65,115,177,-7,5,11,-152,-71,40,-7,-8,-23,170,312,-43,1,7,27,183,-209,-214,-6,-1,-23,69,-151,-170,-14,1,4,-163,161,147,-6,1,-17,-52,40,-45,-11,2,7,29,198,81,10,-17,8,-37,105,3,7,-4,29,-14,92,30,6,-10,5,42,41,-9,6,0,26,-14,-36,82,10,-9,-9,57,-62,-159,-5,9,0,-151,-101,94,-4,0,-16,72,70,-105,4,-6,12,-89,-45,99,0,8,-7,24,124,6,3,-7,12,-94,-151,-5,1,5,-6,102,113,-87,-1,0,2,-83,-117,82,-6,9,-11,70,111,-27,down
81,-19,131,271,451,49,-2,-28,47,-239,-264,-13,-10,6,3,-160,-320,-14,-10,8,-9,-275,32,22,-12,-8,-51,502,-184,-40,5,11,-37,-262,473,69,12,23,5,-2,-270,20,3,3,-23,-237,-174,104,-15,3,-51,696,211,-146,-17,15,3,-733,-718,254,-20,3,-54,732,145,-245,-19,19,-7,-373,-186,25,-15,-3,-23,328,415,-191,-5,7,27,-74,-197,254,-17,-23,-26,-178,368,-56,0,3,15,85,-49,-131,-12,-14,2,59,214,-1,12,0,25,-52,65,96,13,-5,19,28,75,-80,14,-6,11,-130,26,17,1,-3,3,163,153,10,15,-9,13,-132,-290,9,0,10,-10,30,-23,-181,-6,7,2,-151,-39,167,2,-5,1,112,49,-47,-11,4,-5,29,-39,14,-1,1,0,-31,87,44,5,-2,-2,-24,-25,-56,2,5,-2,9,93,109,0,-6,3,54,-119,-68,down
91,-39,125,-79,921,372,21,-8,64,283,-736,-299,-21,4,-41,-551,-146,12,-19,6,-44,429,-316,-94,-4,-4,-28,-287,201,-46,1,28,-20,-49,-195,-36,-7,21,-24,-45,60,138,-3,-1,-23,219,-93,23,-15,15,-21,-24,-247,36,-27,-5,-18,8,106,74,-4,2,-9,270,-64,-142,-7,8,4,-206,128,17,-10,-1,-10,78,-137,-29,-18,6,-6,-53,-54,-60,-18,-1,-11,-68,238,68,-5,7,11,88,151,81,-15,-14,2,-14,108,31,12,-10,28,-205,-142,112,5,-11,-1,349,508,-296,20,-4,33,-225,-128,138,10,5,8,176,49,-214,9,6,1,-143,-143,99,0,-2,-4,31,-22,24,-3,7,-8,-21,-116,-51,-5,-1,-8,43,82,91,3,-9,0,-11,5,-42,1,-1,6,1,13,50,-5,4,-2,62,-117,-89,4,-4,2,-55,102,49,2,5,-1,-55,-88,14,down
93,-33,120,-29,916,256,2,-10,51,-72,-729,-46,-17,-8,-11,-188,379,-106,4,13,-9,132,-728,-164,-12,-9,-67,189,157,-89,9,18,-17,-158,-280,-27,-26,17,-40,-60,400,126,0,11,-12,-283,-16,145,-7,16,-26,490,129,6,-14,-6,-25,-84,-307,43,-7,10,-6,136,-130,-7,1,-1,-3,-106,-145,15,-5,3,2,203,65,-180,-9,2,-6,-279,-81,80,-10,3,-11,269,434,-98,-3,6,7,-191,-192,163,-5,-8,-7,149,317,-92,16,-4,28,-20,-119,25,8,-16,12,114,227,-27,9,-1,19,-235,-265,4,-8,2,-5,99,132,-63,8,-4,10,-117,-53,69,6,5,-5,180,-37,-136,-2,2,-1,-139,-75,77,-2,0,-6,73,152,-59,-3,0,1,-3,-145,80,-4,-7,-4,-27,129,-11,10,1,6,-67,-96,5,-1,0,0,35,32,-42,2,6,-7,32,38,69,down
43,-7,157,-324,305,224,-3,4,-1,434,-230,-108,-2,-24,3,-25,-376,-184,-7,-8,-56,315,-73,20,8,-13,0,-383,11,-119,-14,31,-53,238,488,-27,23,7,9,-608,-389,139,-35,8,-65,285,297,116,4,12,17,-356,-295,220,-34,-13,-40,465,22,-104,2,14,-11,-156,-338,-53,-7,1,-16,140,417,-100,-6,15,18,161,-273,122,-17,-20,-22,88,93,-334,-5,3,8,-314,46,133,-5,-10,-2,66,376,52,16,2,25,-57,-34,79,16,-5,10,126,98,-92,14,-6,26,-88,-62,39,1,-1,4,-34,-73,-57,3,4,3,44,-48,-17,-3,-3,-5,-36,-49,2,-6,-1,3,11,-3,15,1,1,-2,2,-34,-62,3,-1,0,-63,74,23,0,3,-1,-75,-164,11,-9,6,-18,133,143,23,2,-7,12,-10,34,-6,3,-5,5,-66,-4,2,4,9,4,70,7,-60,down
-88,-8,-130,-192,20,-315,22,18,63,-23,477,60,43,-15,30,594,-214,-201,40,8,79,-738,-534,259,-5,-3,17,505,374,17,52,-12,79,-77,98,442,-36,-13,20,-452,252,13,-1,8,42,343,-561,-71,-12,-9,-52,-257,-126,-88,-8,-17,-46,513,10,-17,1,20,-37,-552,192,-64,1,22,-33,544,23,10,6,19,-27,-517,-141,184,-17,2,-24,388,373,138,-1,-5,4,-200,-434,71,-6,-5,-20,564,42,-296,-10,9,4,-430,-183,139,-8,-12,-32,217,310,-51,-15,6,9,-124,-468,-67,2,-4,-27,145,188,-278,1,16,21,-236,111,202,5,-21,8,85,188,-54,0,0,37,-111,-77,122,2,-15,-5,102,229,-66,3,1,26,-143,-184,63,13,-3,-10,125,77,-140,0,0,13,-171,-33,104,-3,4,-6,31,-75,-144,-3,8,-2,31,39,57,3,-8,-2,-27,30,16,down
