AccX1,AccY1,AccZ1,GyrX1,GyrY1,GyrZ1,AccX2,AccY2,AccZ2,GyrX2,GyrY2,GyrZ2,AccX3,AccY3,AccZ3,GyrX3,GyrY3,GyrZ3,AccX4,AccY4,AccZ4,GyrX4,GyrY4,GyrZ4,AccX5,AccY5,AccZ5,GyrX5,GyrY5,GyrZ5,AccX6,AccY6,AccZ6,GyrX6,GyrY6,GyrZ6,AccX7,AccY7,AccZ7,GyrX7,GyrY7,GyrZ7,AccX8,AccY8,AccZ8,GyrX8,GyrY8,GyrZ8,AccX9,AccY9,AccZ9,GyrX9,GyrY9,GyrZ9,AccX10,AccY10,AccZ10,GyrX10,GyrY10,GyrZ10,AccX11,AccY11,AccZ11,GyrX11,GyrY11,GyrZ11,AccX12,AccY12,AccZ12,GyrX12,GyrY12,GyrZ12,AccX13,AccY13,AccZ13,GyrX13,GyrY13,GyrZ13,AccX14,AccY14,AccZ14,GyrX14,GyrY14,GyrZ14,AccX15,AccY15,AccZ15,GyrX15,GyrY15,GyrZ15,AccX16,AccY16,AccZ16,GyrX16,GyrY16,GyrZ16,AccX17,AccY17,AccZ17,GyrX17,GyrY17,GyrZ17,AccX18,AccY18,AccZ18,GyrX18,GyrY18,GyrZ18,AccX19,AccY19,AccZ19,GyrX19,GyrY19,GyrZ19,AccX20,AccY20,AccZ20,GyrX20,GyrY20,GyrZ20,AccX21,AccY21,AccZ21,GyrX21,GyrY21,GyrZ21,AccX22,AccY22,AccZ22,GyrX22,GyrY22,GyrZ22,AccX23,AccY23,AccZ23,GyrX23,GyrY23,GyrZ23,AccX24,AccY24,AccZ24,GyrX24,GyrY24,GyrZ24,AccX25,AccY25,AccZ25,GyrX25,GyrY25,GyrZ25,AccX26,AccY26,AccZ26,GyrX26,GyrY26,GyrZ26,AccX27,AccY27,AccZ27,GyrX27,GyrY27,GyrZ27,AccX28,AccY28,AccZ28,GyrX28,GyrY28,GyrZ28,AccX29,AccY29,AccZ29,GyrX29,GyrY29,GyrZ29,AccX30,AccY30,AccZ30,GyrX30,GyrY30,GyrZ30,Label
-58,42,-144,-115,-297,-21,-14,6,-20,421,79,-379,-10,9,18,-245,172,406,-3,-5,32,273,279,-16,24,-11,55,17,54,33,30,-34,28,-135,263,52,12,13,51,23,-78,111,6,-40,0,-435,138,157,1,17,9,175,-125,-339,25,-10,-9,-270,-200,93,2,17,28,191,-168,-90,-20,5,-21,-56,-170,-217,11,-1,18,129,91,188,15,-16,-6,381,152,-386,-7,14,5,-297,-124,290,5,0,-15,193,9,-148,-6,0,-12,-92,100,372,4,-7,0,-16,-110,-4,-10,0,-10,-29,-112,-79,-2,4,-7,-38,64,13,5,3,-8,17,7,-17,-5,4,-2,-13,9,66,5,-6,7,-58,-17,-67,4,5,-1,105,-65,-85,-2,-7,-2,-87,39,124,-2,0,0,23,-22,-48,-1,5,-3,-32,61,-7,3,-3,3,-49,-42,4,-3,2,-1,23,8,-35,2,5,5,14,11,12,up
29,-51,148,85,-119,211,-1,-19,3,-170,-240,9,0,35,-53,78,-327,-324,1,58,-45,603,-249,-586,-43,9,-73,-495,311,555,-1,-2,-30,-79,-34,111,-18,-5,-66,-90,-58,-334,-56,16,-56,-41,263,43,-29,10,-11,11,278,428,5,-23,35,105,264,130,-6,17,31,220,85,-59,22,-31,44,-304,139,344,46,-4,25,187,-86,-292,9,-5,56,-95,-106,-148,4,6,12,-237,87,80,-5,-3,31,-191,80,-56,26,-9,-5,299,59,-201,-15,9,14,275,-68,0,-6,-11,22,-242,84,166,11,-34,-12,79,-30,-217,6,40,-16,22,-44,176,5,7,-6,93,-148,-90,4,-8,-10,39,-101,-28,-4,5,-17,-162,-48,107,-1,6,-5,109,-30,-13,0,-4,-2,-36,-29,-65,-3,2,-4,22,19,46,-2,-3,-3,-35,-34,-28,0,7,-4,1,36,26,-4,-6,0,11,80,21,up
35,-54,165,103,297,501,41,-50,63,54,-590,-457,-52,33,-93,-428,-285,80,17,65,-68,625,-309,-786,-1,52,-66,218,-221,-368,-49,-12,-67,-886,645,1089,-12,-20,-42,549,-191,-717,-32,33,-60,-503,270,558,-30,-26,-16,-150,287,399,-11,-3,25,359,97,-218,14,10,33,123,193,190,26,-23,47,19,99,134,3,8,36,63,-27,-166,23,-25,44,-343,240,236,38,-13,18,-134,-80,-129,16,6,1,412,-124,-511,-16,26,21,-123,-56,122,-15,-21,17,-309,-128,-3,19,-5,14,291,50,-93,-12,-18,-1,-262,-215,-59,1,21,-36,201,200,125,-4,17,9,-94,-84,54,12,8,-14,188,-48,-85,-1,-4,-13,-42,63,125,0,3,0,77,-80,14,4,-10,-2,23,-29,-66,-2,-5,-8,-52,52,49,-6,15,-9,74,112,12,12,-4,7,77,-10,-7,7,-10,5,35,-179,-85,up
-69,48,-136,-379,-111,-14,-1,19,-12,382,67,-74,-13,-36,10,-183,280,463,3,-1,25,155,24,-201,0,-3,31,-71,163,160,34,-11,33,14,65,-32,17,-6,25,14,-116,-113,14,-16,19,-351,266,327,26,9,18,57,-379,-402,-16,17,17,67,59,-83,22,-5,4,-226,-219,15,-5,-20,20,221,207,66,0,1,-25,33,-249,-307,-19,17,-4,87,54,194,15,-15,16,-139,-18,-49,7,12,-17,149,-81,-101,-15,14,-19,-72,67,191,3,-9,4,44,2,33,8,-4,0,58,22,-97,7,3,-9,-77,-107,50,-14,9,-10,90,-17,-34,0,-4,-1,-74,-14,45,-4,-1,-1,11,6,4,3,-1,-1,6,29,-3,2,-1,1,14,-6,-18,-5,5,-3,-5,-21,9,2,-1,2,-40,37,53,3,-3,4,33,15,2,0,-2,-2,28,54,7,2,-4,3,-5,-70,-40,up
35,-49,148,-86,103,345,34,-3,46,254,-676,-363,-23,28,-63,1,-129,16,-28,30,-40,-134,-595,47,-41,20,-85,248,349,-403,-18,28,-41,-249,-168,237,-25,-28,-96,19,661,-138,-33,6,-52,-82,161,-78,-22,-3,-23,-89,322,286,-1,-4,42,-69,118,267,12,1,24,222,244,5,34,-5,61,34,11,139,18,-13,30,-116,71,-28,10,-3,47,65,54,-28,20,-17,22,-230,-76,22,1,4,22,74,-61,-269,7,1,20,-172,-233,-176,20,-1,-24,291,209,-144,-21,0,3,-521,-139,407,9,12,3,385,6,-358,-2,6,4,-204,-59,266,9,-10,2,325,47,-184,3,21,-16,-67,-261,41,-9,-4,-10,113,61,-14,-4,-3,-14,6,-12,62,-3,10,1,6,-20,57,2,-13,-3,118,3,-108,3,-4,-4,-243,-25,113,-3,3,-3,81,-7,-73,-1,5,-2,-7,33,26,up
29,-62,141,223,-240,-33,-3,-6,19,121,-442,-228,-40,8,-58,-120,64,139,11,16,-26,-203,-198,-1,-11,20,-71,159,345,-274,-2,28,-67,-570,-36,401,13,49,-59,622,268,-614,-61,-12,-50,-423,1,909,-28,-37,-10,228,490,-157,2,20,9,98,-133,-67,3,-12,40,-165,357,485,31,-22,59,-57,-264,-212,16,0,36,217,215,-218,21,-21,44,-434,-80,206,23,-4,42,223,12,-346,-1,8,10,-46,-142,-99,6,-3,11,-235,110,258,0,7,-1,443,-62,-186,1,-15,7,-61,-198,52,-4,8,-19,-52,-49,-139,-13,7,-22,-18,9,173,-13,4,-20,177,9,-66,10,-3,4,-213,33,213,4,-5,-6,104,-41,-170,1,10,-2,-61,-37,5,5,3,-1,191,23,-80,-3,-3,-3,-75,-61,-95,1,-2,-6,61,-8,21,-5,3,-2,-119,66,100,-1,-6,6,18,-24,9,up
29,-68,137,154,-221,-68,13,-3,16,4,-301,-128,-39,15,-43,-412,160,352,11,36,-52,214,24,-363,-8,42,-38,135,-29,34,-38,-8,-87,-498,34,323,8,37,-35,232,101,-216,-35,-9,-71,-85,139,177,-5,7,-1,9,199,91,8,-13,25,141,-170,-41,1,11,23,264,17,-82,-10,-31,34,-59,356,311,20,7,43,-52,158,-50,34,-21,25,84,-31,-109,9,-8,18,-227,-13,10,2,19,19,-88,-328,-373,-12,-7,-10,9,234,285,34,-3,20,-43,-173,-251,-16,23,23,249,137,25,-1,-50,25,-150,68,81,28,-25,10,235,-234,-296,1,52,-25,-144,22,166,-13,3,-25,-113,-124,80,-6,1,-21,114,136,56,5,-3,-6,-66,-120,132,-5,2,-5,115,-73,-121,-2,3,0,-92,26,35,-1,-7,-3,70,-22,-61,2,1,-3,33,52,-2,-6,2,-6,-73,-49,17,up
5,-53,163,216,-15,84,44,-8,39,56,-497,-37,-13,0,-26,130,-435,-359,1,9,-81,-307,12,108,-29,47,-67,90,-134,-271,-78,27,-119,-244,675,269,-12,31,-77,-238,309,191,-10,9,-41,408,291,-305,1,14,15,-72,-227,409,-3,-47,38,-23,219,196,-2,6,47,-35,-95,8,3,-30,55,-18,374,24,45,-4,38,-191,108,126,15,-5,19,279,74,-138,23,-15,39,-298,-273,88,-21,13,14,217,89,-396,27,-15,22,-459,55,264,17,-4,4,383,79,-249,14,-2,-8,-33,-526,-165,-23,36,-15,96,47,156,-7,-16,-11,-119,-111,-116,6,9,2,116,145,-20,5,9,-14,2,-41,173,-9,2,-17,133,-52,-72,-5,-8,-4,-99,81,83,12,-1,-1,25,-92,-20,-9,3,3,27,-42,-13,5,12,0,52,-21,5,-2,-12,-4,-16,-21,3,-4,-16,-2,16,39,9,up
-76,30,-146,-359,-208,-196,-12,22,-21,15,-12,241,-12,-6,-18,312,363,3,-6,-5,39,-152,163,346,23,-19,52,277,230,-99,17,-5,45,-189,-56,63,13,1,23,-59,68,-51,27,-21,33,-110,61,-106,21,6,20,201,-1,-125,-10,-5,10,-330,-153,11,14,19,17,174,64,-34,4,-34,6,-99,45,-98,28,9,-1,88,-233,45,-12,24,2,368,-173,-247,4,-21,-12,-374,-37,242,3,17,-8,297,-14,-111,-1,0,-11,-155,-134,80,-13,5,-22,23,-28,-48,-10,5,-17,8,12,90,5,-10,2,-37,40,17,0,3,0,67,25,-23,-4,-9,4,-4,65,-1,4,5,-4,-23,-46,16,1,-3,7,31,64,13,3,-1,1,-10,-152,-87,-7,-1,-4,13,55,18,2,-3,-3,54,18,-117,-3,2,-4,-149,66,217,6,2,8,66,-130,-121,-3,-1,-3,-76,103,113,up
37,-53,153,176,-215,222,18,-13,15,354,-585,-651,-41,35,-77,-26,242,108,-31,-5,-49,-773,-525,416,-6,38,-93,402,787,-492,12,51,-52,-602,-399,558,-33,-12,-66,614,526,-440,-44,-1,-9,-133,96,54,-10,2,4,12,0,131,-10,3,48,142,237,66,32,-24,47,-159,141,404,41,-16,44,214,147,-236,3,4,31,-213,-11,116,16,-33,23,-401,28,122,21,-1,10,241,-52,-431,2,16,16,-120,-275,166,2,3,23,247,-189,-252,10,-15,-3,-179,14,-14,7,27,-8,490,25,-197,-13,-5,9,-382,78,428,0,8,-21,100,-129,-261,-15,9,-37,44,124,187,0,2,5,-46,-177,-58,-6,-1,-8,135,194,83,11,-24,14,-115,-211,-92,2,13,-5,40,120,16,-3,-1,-4,5,-60,-79,-4,6,-6,-43,9,31,3,5,-2,73,-36,37,-3,-3,-1,-24,26,9,up
