AccX1,AccY1,AccZ1,GyrX1,GyrY1,GyrZ1,AccX2,AccY2,AccZ2,GyrX2,GyrY2,GyrZ2,AccX3,AccY3,AccZ3,GyrX3,GyrY3,GyrZ3,AccX4,AccY4,AccZ4,GyrX4,GyrY4,GyrZ4,AccX5,AccY5,AccZ5,GyrX5,GyrY5,GyrZ5,AccX6,AccY6,AccZ6,GyrX6,GyrY6,GyrZ6,AccX7,AccY7,AccZ7,GyrX7,GyrY7,GyrZ7,AccX8,AccY8,AccZ8,GyrX8,GyrY8,GyrZ8,AccX9,AccY9,AccZ9,GyrX9,GyrY9,GyrZ9,AccX10,AccY10,AccZ10,GyrX10,GyrY10,GyrZ10,AccX11,AccY11,AccZ11,GyrX11,GyrY11,GyrZ11,AccX12,AccY12,AccZ12,GyrX12,GyrY12,GyrZ12,AccX13,AccY13,AccZ13,GyrX13,GyrY13,GyrZ13,AccX14,AccY14,AccZ14,GyrX14,GyrY14,GyrZ14,AccX15,AccY15,AccZ15,GyrX15,GyrY15,GyrZ15,AccX16,AccY16,AccZ16,GyrX16,GyrY16,GyrZ16,AccX17,AccY17,AccZ17,GyrX17,GyrY17,GyrZ17,AccX18,AccY18,AccZ18,GyrX18,GyrY18,GyrZ18,AccX19,AccY19,AccZ19,GyrX19,GyrY19,GyrZ19,AccX20,AccY20,AccZ20,GyrX20,GyrY20,GyrZ20,AccX21,AccY21,AccZ21,GyrX21,GyrY21,GyrZ21,AccX22,AccY22,AccZ22,GyrX22,GyrY22,GyrZ22,AccX23,AccY23,AccZ23,GyrX23,GyrY23,GyrZ23,AccX24,AccY24,AccZ24,GyrX24,GyrY24,GyrZ24,AccX25,AccY25,AccZ25,GyrX25,GyrY25,GyrZ25,AccX26,AccY26,AccZ26,GyrX26,GyrY26,GyrZ26,AccX27,AccY27,AccZ27,GyrX27,GyrY27,GyrZ27,AccX28,AccY28,AccZ28,GyrX28,GyrY28,GyrZ28,AccX29,AccY29,AccZ29,GyrX29,GyrY29,GyrZ29,AccX30,AccY30,AccZ30,GyrX30,GyrY30,GyrZ30,Label
-93,-383,3,2102,-593,2130,-61,-217,-2,133,-223,395,-44,-130,0,-116,-39,-291,-35,-79,0,-202,59,-495,-29,-58,6,-274,71,176,-10,41,3,-750,214,-935,0,58,6,-496,193,-844,5,73,4,-304,113,-484,12,74,8,-93,-9,-148,14,72,-5,111,-37,139,17,57,1,119,-98,423,13,41,-3,355,-115,433,10,12,-5,358,-98,458,6,-5,-9,250,-49,482,6,-14,-5,171,-45,453,3,-25,-8,197,1,171,3,-15,-4,80,11,93,3,-8,-1,-2,13,46,1,-6,0,-19,4,-24,0,0,1,-37,7,-10,0,2,1,-13,3,-44,0,1,0,-13,-2,-1,-1,1,0,-5,-6,-10,0,0,0,1,0,4,0,0,0,3,0,1,0,0,0,-1,-3,-4,0,0,0,-5,-1,3,0,0,0,-1,-2,-4,0,0,0,0,0,-8,0,0,0,3,3,-10,up
-68,-140,14,1797,-194,3499,-31,-139,14,992,-151,1360,-28,-130,7,277,-121,436,-25,-93,0,-56,2,-67,-17,-61,7,-92,35,534,-5,-21,4,-573,96,-1035,-5,17,2,-690,134,-1040,3,53,4,-544,149,-867,14,78,10,-318,50,-598,16,78,0,-131,-2,-201,19,73,-3,41,-70,135,20,60,-5,208,-88,347,14,39,-6,291,-101,514,6,4,-9,407,-53,456,2,-15,-8,250,-42,498,1,-24,-5,189,0,369,0,-24,-3,87,9,280,1,-16,-3,90,28,16,0,-9,-1,-46,7,19,0,-1,1,-31,17,-14,0,0,1,-14,15,-23,0,2,1,-6,6,-41,0,1,0,-9,-3,-28,-1,1,1,2,-9,-16,-1,-1,0,1,-6,-1,-1,-1,0,-8,-6,-13,0,0,0,-2,0,-1,0,0,0,1,-5,-6,0,0,-1,-3,0,2,0,0,0,-1,2,0,up
-62,-169,11,1933,-434,3299,-32,-141,3,1008,-259,1333,-31,-139,4,330,-188,477,-28,-109,0,-17,-55,-37,-20,-70,5,-47,18,472,-15,-30,5,-524,149,-993,-10,10,7,-652,182,-978,-4,53,4,-523,219,-832,7,63,9,-363,134,-633,14,80,6,-158,35,-274,22,70,-2,-74,-11,-9,19,58,-4,66,-54,232,22,43,-1,207,-86,301,13,36,-4,309,-85,300,7,0,-11,182,-49,457,7,2,-3,188,-57,403,7,-8,-4,199,-31,360,4,-12,-5,117,-27,229,4,-14,-4,86,-9,137,1,-12,0,33,-18,126,0,-11,-2,28,-6,-1,0,-4,0,-24,1,0,0,0,0,-16,1,-38,0,2,0,-12,0,-6,0,2,-1,-7,14,-36,0,3,0,-1,16,21,0,1,0,14,-1,-2,-1,0,0,17,4,-5,0,0,0,-3,-1,7,0,0,1,-1,-11,5,up
-83,-139,21,1642,-331,3321,-43,-110,12,918,-176,1429,-37,-140,4,433,-150,516,-32,-107,0,-11,-17,10,-25,-62,6,-78,34,514,-12,-36,3,-500,115,-875,-12,3,5,-579,120,-973,-5,50,5,-531,173,-832,4,61,11,-306,93,-593,6,52,0,-132,48,-306,15,67,0,-6,3,-49,20,49,-7,24,-15,124,21,44,-2,160,-62,260,16,34,-9,193,-53,260,15,18,-4,192,-59,329,9,-1,-6,130,-39,358,8,-5,-3,189,-24,263,5,-9,-5,87,-18,244,4,-8,-3,135,-24,105,3,-6,-3,14,-16,144,4,-2,0,55,-12,56,1,-3,-1,5,-13,65,1,-3,-1,18,-4,-3,0,-2,0,-2,2,18,0,-1,0,0,-3,-23,0,0,0,-7,5,3,0,1,0,-5,11,-1,0,1,0,10,9,-5,0,0,0,-10,-4,-2,0,0,0,4,-4,6,up
-22,157,1,803,-33,2033,-14,36,13,748,-104,1488,-15,-9,8,681,-138,1085,-22,-44,7,464,-95,713,-22,-54,5,226,-60,692,-24,-103,5,-8,-50,-43,-23,-87,-4,-312,18,-492,-19,-50,0,-505,124,-862,-12,-17,3,-527,138,-775,-5,14,5,-417,143,-896,5,44,4,-423,159,-773,14,66,10,-193,117,-519,17,50,4,-5,50,-278,26,70,2,20,-9,-16,23,54,-1,102,-64,250,17,34,-1,146,-102,370,13,11,-4,167,-78,303,8,10,-4,90,-82,462,1,-18,-7,110,-52,334,1,-15,-6,81,-16,249,4,-9,-5,110,5,73,0,-5,-3,27,-6,32,2,-4,-2,12,-1,41,1,0,0,29,2,5,0,-1,0,0,-3,27,0,0,0,16,-2,-1,0,0,-1,-15,-7,13,0,0,0,9,-2,25,0,0,0,-8,12,-3,0,1,0,13,9,-16,up
-76,-141,20,1488,-263,2991,-38,-141,7,693,-189,1255,-40,-132,10,304,-156,386,-31,-106,-2,-21,-31,-78,-25,-59,4,-56,37,413,-13,-29,2,-442,108,-800,-10,12,4,-505,139,-909,-1,41,0,-467,182,-775,8,60,8,-324,123,-552,15,51,2,-206,41,-265,25,62,-5,-128,6,-73,23,59,-5,59,-47,59,23,51,-8,141,-58,223,19,39,-3,279,-88,249,14,19,-10,207,-51,420,8,1,-2,235,-56,355,7,-11,-4,167,-14,373,8,-10,0,121,-39,248,4,-12,-5,63,-12,195,2,-8,0,56,-36,122,3,-6,-3,50,-17,47,1,-3,-1,-3,-9,51,0,-2,-1,24,4,-5,0,-2,0,-6,-4,26,0,-2,0,-4,6,-23,0,0,0,-17,6,-10,0,0,0,-3,2,-11,0,1,0,-8,0,-12,0,0,0,-1,7,-5,0,1,0,-1,-2,7,up
-85,-137,15,1827,-418,3372,-47,-105,11,712,-210,1566,-36,-117,6,556,-170,692,-36,-105,4,102,-106,185,-31,-82,0,-89,-2,585,-13,-35,5,-453,143,-866,-14,-14,2,-447,176,-1038,-11,27,5,-585,227,-899,0,51,10,-418,215,-733,9,74,14,-176,95,-477,13,65,-1,-174,5,-166,21,67,-2,-25,-49,122,25,51,-3,70,-107,266,20,43,-10,283,-101,277,15,13,-9,185,-74,339,12,3,-4,256,-52,374,8,-5,-2,131,-39,387,5,-8,-3,183,-13,140,5,-10,-2,37,-18,198,3,-5,-3,79,-14,72,3,-5,-2,-8,-12,123,2,-4,-1,72,-1,14,2,-1,-1,-7,1,9,1,0,0,22,-7,8,1,-1,0,0,0,42,0,0,0,13,-7,-7,-1,-1,0,-20,-5,24,-1,0,0,10,-4,-21,0,0,0,-13,5,34,0,0,0,3,2,-12,up
-106,-122,24,1167,-482,2764,-60,-90,19,600,-229,1308,-49,-115,11,468,-159,553,-41,-94,9,58,-77,133,-34,-65,4,-27,3,417,-15,-31,2,-292,144,-699,-12,-13,1,-424,148,-822,-5,29,4,-501,156,-662,1,43,2,-334,144,-613,12,48,4,-232,68,-376,20,44,-1,-200,36,-102,28,56,-5,-64,1,-81,26,51,-9,153,-36,76,25,40,-7,176,-66,118,18,29,-6,208,-56,189,12,15,-3,210,-63,344,7,0,-2,238,-39,251,8,-7,-1,50,-22,374,6,-5,-1,115,-19,232,4,-13,-2,50,-19,217,5,-5,-2,56,-33,96,2,-7,-1,5,-22,88,0,-5,0,16,-4,3,1,-2,0,-13,3,8,0,0,0,-1,2,-24,0,0,0,-16,12,-23,0,0,0,3,1,-14,0,0,0,-2,-7,17,0,0,0,4,-4,-10,0,0,0,0,-2,9,up
-99,-123,13,1329,-429,3466,-50,-129,15,968,-240,1411,-50,-137,13,342,-163,480,-40,-104,-3,-13,-38,-47,-32,-54,3,-34,41,601,-17,-34,4,-360,137,-869,-15,7,4,-575,163,-885,-5,42,2,-471,199,-838,1,57,14,-293,133,-449,8,35,5,-205,57,-274,20,59,1,-35,17,-105,23,44,-4,-5,-39,6,26,51,-4,170,-74,159,25,37,-6,219,-94,186,17,25,-7,201,-82,259,12,5,-3,102,-66,413,8,-1,-5,171,-14,225,7,-7,-2,110,-30,273,3,-12,-4,100,-8,182,5,-4,1,30,-20,140,2,-7,-3,28,-4,54,3,0,0,19,-18,45,0,-5,-1,-18,2,44,0,0,0,-23,3,22,0,-2,0,-1,0,14,1,1,0,-6,0,-10,0,-1,0,-1,5,2,0,0,0,2,1,-16,0,0,0,-3,-2,10,0,0,0,5,2,-7,up
-35,153,10,779,-171,2242,-23,36,9,746,-113,1572,-22,-15,4,709,-114,1125,-22,-40,1,539,-126,782,-25,-51,1,268,-110,814,-22,-108,2,-16,-46,-29,-21,-90,-4,-290,32,-569,-19,-49,0,-470,124,-884,-17,-24,4,-593,182,-793,-8,9,9,-463,199,-912,-1,50,6,-371,193,-845,4,63,8,-363,124,-407,12,50,4,-281,10,-134,17,59,-1,-16,-62,-31,17,46,-8,84,-69,37,20,32,-9,129,-109,319,16,15,-10,286,-96,179,14,14,-7,249,-57,181,14,1,-7,140,-5,181,12,0,-6,60,-19,254,9,-1,-4,98,-2,180,8,1,-1,63,-14,150,4,-1,-2,88,-12,123,2,-3,0,40,-9,142,0,-3,1,67,1,59,0,-4,-1,17,1,57,0,-4,0,17,-3,9,0,-3,-1,-12,7,32,0,0,0,0,-6,-17,1,-1,0,-13,-8,9,up
