AccX1,AccY1,AccZ1,GyrX1,GyrY1,GyrZ1,AccX2,AccY2,AccZ2,GyrX2,GyrY2,GyrZ2,AccX3,AccY3,AccZ3,GyrX3,GyrY3,GyrZ3,AccX4,AccY4,AccZ4,GyrX4,GyrY4,GyrZ4,AccX5,AccY5,AccZ5,GyrX5,GyrY5,GyrZ5,AccX6,AccY6,AccZ6,GyrX6,GyrY6,GyrZ6,AccX7,AccY7,AccZ7,GyrX7,GyrY7,GyrZ7,AccX8,AccY8,AccZ8,GyrX8,GyrY8,GyrZ8,AccX9,AccY9,AccZ9,GyrX9,GyrY9,GyrZ9,AccX10,AccY10,AccZ10,GyrX10,GyrY10,GyrZ10,AccX11,AccY11,AccZ11,GyrX11,GyrY11,GyrZ11,AccX12,AccY12,AccZ12,GyrX12,GyrY12,GyrZ12,AccX13,AccY13,AccZ13,GyrX13,GyrY13,GyrZ13,AccX14,AccY14,AccZ14,GyrX14,GyrY14,GyrZ14,AccX15,AccY15,AccZ15,GyrX15,GyrY15,GyrZ15,AccX16,AccY16,AccZ16,GyrX16,GyrY16,GyrZ16,AccX17,AccY17,AccZ17,GyrX17,GyrY17,GyrZ17,AccX18,AccY18,AccZ18,GyrX18,GyrY18,GyrZ18,AccX19,AccY19,AccZ19,GyrX19,GyrY19,GyrZ19,AccX20,AccY20,AccZ20,GyrX20,GyrY20,GyrZ20,AccX21,AccY21,AccZ21,GyrX21,GyrY21,GyrZ21,AccX22,AccY22,AccZ22,GyrX22,GyrY22,GyrZ22,AccX23,AccY23,AccZ23,GyrX23,GyrY23,GyrZ23,AccX24,AccY24,AccZ24,GyrX24,GyrY24,GyrZ24,AccX25,AccY25,AccZ25,GyrX25,GyrY25,GyrZ25,AccX26,AccY26,AccZ26,GyrX26,GyrY26,GyrZ26,AccX27,AccY27,AccZ27,GyrX27,GyrY27,GyrZ27,AccX28,AccY28,AccZ28,GyrX28,GyrY28,GyrZ28,AccX29,AccY29,AccZ29,GyrX29,GyrY29,GyrZ29,AccX30,AccY30,AccZ30,GyrX30,GyrY30,GyrZ30,AccX31,AccY31,AccZ31,GyrX31,GyrY31,GyrZ31,AccX32,AccY32,AccZ32,GyrX32,GyrY32,GyrZ32,AccX33,AccY33,AccZ33,GyrX33,GyrY33,GyrZ33,AccX34,AccY34,AccZ34,GyrX34,GyrY34,GyrZ34,AccX35,AccY35,AccZ35,GyrX35,GyrY35,GyrZ35,AccX36,AccY36,AccZ36,GyrX36,GyrY36,GyrZ36,AccX37,AccY37,AccZ37,GyrX37,GyrY37,GyrZ37,AccX38,AccY38,AccZ38,GyrX38,GyrY38,GyrZ38,AccX39,AccY39,AccZ39,GyrX39,GyrY39,GyrZ39,AccX40,AccY40,AccZ40,GyrX40,GyrY40,GyrZ40,Label
49,46,42,40,47,59,43,49,39,34,41,49,43,47,41,42,38,43,43,47,41,31,48,44,43,46,42,45,43,47,42,45,42,44,43,43,43,43,43,46,44,39,43,44,43,43,48,46,43,43,43,55,40,41,43,43,43,42,44,47,43,43,43,44,43,43,43,43,43,47,44,43,43,43,43,43,43,41,43,43,43,42,43,44,43,43,43,41,43,44,43,43,43,45,42,40,43,43,43,42,42,45,43,43,43,44,42,41,43,43,43,43,42,44,43,43,43,44,43,43,43,43,43,41,43,44,43,43,43,43,44,43,43,43,43,44,44,43,43,43,43,44,44,43,43,43,43,44,44,45,43,43,43,44,44,42,43,43,43,42,44,44,43,43,43,43,44,43,43,43,43,42,43,44,43,43,43,43,42,43,43,43,43,43,43,44,43,43,43,44,43,43,43,43,43,43,43,44,43,43,43,44,43,43,43,43,43,43,44,43,43,43,43,44,44,44,43,43,43,43,43,43,43,43,43,44,43,44,43,43,43,43,43,43,43,43,43,43,43,43,left
44,44,39,70,100,52,44,43,42,62,92,50,44,43,43,56,80,49,44,43,43,54,71,48,44,42,44,50,65,48,44,42,45,42,48,45,44,43,45,38,35,44,43,43,44,41,24,41,43,43,44,35,18,43,43,43,43,37,17,42,43,43,43,42,20,42,43,43,43,43,23,41,43,43,43,39,31,43,43,43,43,41,35,44,43,43,43,43,36,42,43,43,42,37,41,44,43,43,42,45,42,41,42,43,42,37,49,47,42,43,42,49,52,43,43,44,42,46,59,50,43,43,43,53,58,39,43,43,43,45,60,52,43,43,43,54,52,43,43,43,43,46,52,48,43,43,43,46,46,45,43,43,43,44,45,44,43,43,43,44,44,44,43,43,43,44,45,44,43,43,43,44,44,44,43,43,43,44,44,44,43,43,43,44,44,45,43,43,43,44,45,44,43,43,43,44,44,45,43,43,43,45,45,45,43,43,43,45,45,44,43,43,43,44,45,44,43,43,43,44,44,45,43,43,43,45,44,44,43,43,43,44,44,44,43,43,43,45,44,45,left
45,45,41,60,67,39,45,45,43,52,71,45,45,44,43,57,71,44,45,44,44,53,72,45,46,44,45,54,69,44,46,44,46,47,58,49,45,44,46,45,49,45,45,44,46,37,35,45,45,45,46,38,23,44,45,45,45,35,15,46,44,45,45,37,17,43,44,45,44,41,17,41,44,45,44,40,23,41,44,44,44,41,28,41,44,44,44,39,35,44,44,45,44,39,37,40,44,45,44,39,42,47,44,45,44,42,49,41,44,45,44,45,53,50,44,45,44,48,57,43,44,45,44,52,60,48,44,45,45,49,59,46,44,45,45,50,55,44,45,44,45,47,51,46,45,44,45,46,46,45,45,44,45,46,45,44,45,45,45,44,44,44,45,45,45,45,44,43,45,45,45,44,45,46,45,45,45,45,44,43,45,45,45,44,45,46,45,45,45,45,45,44,45,45,45,44,45,45,45,45,45,45,44,45,45,45,45,45,44,44,45,45,45,44,45,45,45,45,45,45,44,44,45,45,45,44,45,45,45,45,45,45,45,44,45,45,45,44,44,44,left
44,45,41,56,65,44,45,45,42,60,69,43,45,44,43,58,75,45,45,44,44,54,74,47,45,44,45,53,64,47,46,44,46,46,57,45,45,44,46,41,47,46,45,44,46,38,36,44,45,45,46,37,25,43,45,45,45,38,22,43,45,45,45,38,19,44,45,45,45,40,19,42,44,45,44,42,21,45,44,44,44,42,26,41,44,45,44,40,34,47,44,45,43,42,41,41,44,45,44,46,45,40,44,45,44,39,51,44,44,45,44,43,54,47,44,45,44,43,56,46,44,45,45,49,56,41,44,45,45,44,57,52,44,45,45,51,52,43,45,45,45,48,49,46,45,44,45,47,47,44,45,45,45,46,45,44,45,45,45,44,45,46,45,45,45,46,44,42,45,45,45,43,45,47,45,45,45,46,43,42,45,45,45,44,45,47,45,45,45,46,43,42,45,45,45,43,45,46,45,45,45,45,44,44,45,45,45,44,45,45,45,45,45,45,44,43,45,45,45,44,45,45,45,45,45,45,44,44,45,45,45,44,45,45,45,45,45,45,44,44,left
37,33,35,42,100,44,36,34,35,37,68,38,36,34,35,37,54,36,36,35,36,36,45,34,36,35,36,37,37,38,35,35,35,32,18,33,35,35,35,32,15,34,35,35,35,33,15,31,34,35,35,32,17,35,34,35,34,30,23,33,34,35,34,32,28,34,35,35,34,35,31,31,35,35,34,33,35,34,35,35,34,33,36,36,34,35,34,34,37,36,35,35,34,35,39,34,34,35,34,35,41,36,34,35,35,36,41,38,34,35,35,37,40,34,35,35,35,38,41,36,35,35,35,37,40,34,35,35,35,36,39,36,35,35,35,35,37,35,35,35,35,35,36,34,35,35,35,34,35,35,35,35,35,35,35,34,35,35,35,35,34,34,35,35,35,35,35,35,35,35,35,35,34,35,35,35,35,34,34,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,34,35,35,35,35,35,35,35,34,35,35,35,35,35,35,35,35,35,35,35,34,35,35,35,35,35,35,35,35,35,35,34,34,35,35,35,35,35,35,35,35,35,35,34,34,left
33,30,30,49,100,40,32,30,31,44,65,37,32,30,31,32,48,35,31,30,31,32,38,32,31,30,31,31,32,32,31,31,31,28,14,28,31,31,31,23,12,29,30,31,31,28,12,26,30,31,30,27,17,28,30,31,30,28,21,28,30,31,30,27,24,32,30,31,30,32,27,27,30,31,30,26,30,30,30,31,30,33,31,29,30,31,30,29,34,32,30,31,30,30,35,30,31,31,30,29,36,32,31,31,31,34,37,31,31,31,31,30,37,35,31,31,31,34,36,30,31,31,31,33,35,31,31,31,31,33,34,32,31,31,31,32,32,30,31,31,31,31,32,31,31,31,31,31,31,31,31,31,31,31,31,30,31,31,31,30,30,31,31,31,31,31,30,30,31,31,31,31,30,30,31,31,31,30,31,31,31,31,31,31,30,31,31,31,31,30,31,30,31,31,31,31,30,31,31,31,31,30,31,31,31,31,31,31,30,30,31,31,31,30,31,31,31,31,31,31,31,30,31,31,31,30,31,31,31,31,31,31,30,30,31,31,31,30,31,31,left
33,29,32,48,90,44,32,30,32,34,58,38,32,30,32,32,46,33,31,30,32,33,37,33,31,30,31,31,31,33,31,31,31,27,14,29,31,31,31,28,12,25,30,31,30,29,12,29,30,31,30,27,15,27,30,31,30,29,21,26,30,31,30,30,26,28,30,31,30,28,29,30,30,31,30,30,32,29,30,31,30,28,35,31,30,31,30,31,36,31,30,31,30,28,37,35,30,31,30,34,37,31,30,31,31,31,37,34,30,31,31,33,36,29,31,31,31,31,35,34,31,31,31,34,33,30,31,31,31,31,32,31,31,31,31,31,31,30,31,31,31,31,30,31,31,31,31,31,30,30,31,31,31,30,31,31,31,31,31,31,30,30,31,31,31,30,31,31,31,31,31,31,31,29,31,31,31,30,31,31,31,31,31,31,30,30,31,31,31,30,31,31,31,31,31,31,30,30,31,31,31,30,31,31,31,31,31,30,30,30,31,31,31,30,31,31,31,31,31,31,30,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,30,left
33,29,31,47,95,45,32,30,31,40,64,37,32,30,31,36,47,35,31,30,31,33,40,34,31,30,31,31,34,35,31,31,31,28,16,27,31,31,31,25,12,28,31,31,31,24,12,27,30,31,30,27,14,26,30,31,30,26,18,27,30,31,30,28,22,28,30,31,30,28,27,29,30,31,30,29,31,29,30,31,30,30,32,34,30,31,30,32,34,28,30,31,30,30,37,34,30,31,30,34,37,33,30,31,31,34,38,30,30,31,31,32,38,32,31,31,31,32,36,32,31,31,31,33,33,31,31,31,31,31,32,31,31,31,31,32,32,30,31,31,31,31,31,31,31,31,31,31,31,30,31,31,31,31,31,30,31,31,31,30,31,30,31,31,31,30,30,30,31,31,31,30,31,31,31,31,31,31,30,30,31,31,31,30,30,31,31,31,31,31,31,31,31,31,31,31,31,30,31,31,31,30,30,31,31,31,31,30,30,31,31,31,31,31,31,31,31,31,31,31,31,30,31,31,31,30,31,31,31,31,31,30,31,30,31,31,31,30,31,31,left
35,33,33,49,88,42,34,33,33,44,63,38,34,32,34,38,50,36,34,33,34,35,42,34,34,33,34,32,35,33,33,33,34,28,17,28,33,33,34,22,12,28,33,33,33,23,10,28,33,33,33,24,13,27,33,33,32,26,16,27,33,33,32,26,24,31,33,33,32,32,29,29,33,33,32,31,32,31,33,33,33,31,34,30,33,33,33,32,35,33,33,33,33,32,35,29,33,33,33,32,36,31,33,33,33,32,36,33,33,33,33,32,35,31,33,33,33,31,35,31,33,33,33,32,34,31,33,33,33,31,32,31,33,33,33,31,32,31,33,33,33,31,31,31,33,33,33,31,31,30,33,33,33,31,30,31,33,33,33,30,30,30,33,33,33,31,30,31,33,33,33,31,31,31,33,33,33,30,31,30,33,33,33,30,31,31,33,33,33,31,31,30,33,33,33,30,31,31,33,33,33,31,30,30,33,33,33,31,31,31,33,33,33,31,30,31,33,33,33,30,31,30,33,33,33,31,31,31,33,33,33,30,31,31,33,33,33,31,31,30,left
34,33,31,57,85,43,34,33,33,50,73,46,34,33,33,48,61,45,34,33,34,46,53,44,34,33,34,42,48,42,33,33,34,39,36,42,33,33,34,40,27,39,33,33,33,34,25,40,33,33,33,36,25,39,33,33,33,40,26,37,33,33,33,37,29,39,33,33,32,43,32,40,33,33,32,39,39,39,33,33,32,41,42,40,33,33,32,39,45,45,33,33,33,43,47,37,33,33,33,37,51,47,33,33,33,46,48,43,33,33,33,43,48,44,33,33,33,44,46,42,33,33,33,43,44,42,33,33,33,43,43,42,33,33,33,42,42,41,33,33,33,42,42,41,33,33,33,42,41,41,33,33,33,41,41,42,33,33,33,41,41,41,33,33,33,41,41,41,33,33,33,42,41,41,33,33,33,41,41,41,33,33,33,41,41,41,33,33,33,41,41,42,33,33,33,41,42,41,33,33,33,41,41,42,33,33,33,41,41,41,33,33,33,41,41,41,33,33,33,41,41,41,33,33,33,41,41,41,33,33,33,41,42,41,33,33,33,41,41,41,left
