AccX1,AccY1,AccZ1,GyrX1,GyrY1,GyrZ1,AccX2,AccY2,AccZ2,GyrX2,GyrY2,GyrZ2,AccX3,AccY3,AccZ3,GyrX3,GyrY3,GyrZ3,AccX4,AccY4,AccZ4,GyrX4,GyrY4,GyrZ4,AccX5,AccY5,AccZ5,GyrX5,GyrY5,GyrZ5,AccX6,AccY6,AccZ6,GyrX6,GyrY6,GyrZ6,AccX7,AccY7,AccZ7,GyrX7,GyrY7,GyrZ7,AccX8,AccY8,AccZ8,GyrX8,GyrY8,GyrZ8,AccX9,AccY9,AccZ9,GyrX9,GyrY9,GyrZ9,AccX10,AccY10,AccZ10,GyrX10,GyrY10,GyrZ10,AccX11,AccY11,AccZ11,GyrX11,GyrY11,GyrZ11,AccX12,AccY12,AccZ12,GyrX12,GyrY12,GyrZ12,AccX13,AccY13,AccZ13,GyrX13,GyrY13,GyrZ13,AccX14,AccY14,AccZ14,GyrX14,GyrY14,GyrZ14,AccX15,AccY15,AccZ15,GyrX15,GyrY15,GyrZ15,AccX16,AccY16,AccZ16,GyrX16,GyrY16,GyrZ16,AccX17,AccY17,AccZ17,GyrX17,GyrY17,GyrZ17,AccX18,AccY18,AccZ18,GyrX18,GyrY18,GyrZ18,AccX19,AccY19,AccZ19,GyrX19,GyrY19,GyrZ19,AccX20,AccY20,AccZ20,GyrX20,GyrY20,GyrZ20,AccX21,AccY21,AccZ21,GyrX21,GyrY21,GyrZ21,AccX22,AccY22,AccZ22,GyrX22,GyrY22,GyrZ22,AccX23,AccY23,AccZ23,GyrX23,GyrY23,GyrZ23,AccX24,AccY24,AccZ24,GyrX24,GyrY24,GyrZ24,AccX25,AccY25,AccZ25,GyrX25,GyrY25,GyrZ25,AccX26,AccY26,AccZ26,GyrX26,GyrY26,GyrZ26,AccX27,AccY27,AccZ27,GyrX27,GyrY27,GyrZ27,AccX28,AccY28,AccZ28,GyrX28,GyrY28,GyrZ28,AccX29,AccY29,AccZ29,GyrX29,GyrY29,GyrZ29,AccX30,AccY30,AccZ30,GyrX30,GyrY30,GyrZ30,Label
-36,150,25,-346,91,-309,7,5,7,176,27,189,-8,-2,5,294,-51,243,0,-25,-8,-276,-68,28,10,-26,1,346,7,242,-2,-45,-19,-498,-161,-157,4,-33,-13,58,267,231,-9,-10,-1,-179,-250,-273,7,3,-8,87,180,55,7,-15,14,127,-49,34,-2,-20,-1,448,117,-179,2,-10,8,-116,-63,-12,4,13,0,183,-29,-185,3,22,-8,-215,55,173,5,1,12,74,-10,-131,-6,17,-7,52,-103,11,-11,-7,1,-98,128,-6,8,-2,3,-37,-43,-15,-6,7,-3,-61,-22,42,0,4,-1,8,-34,14,2,-2,2,9,27,-13,4,1,2,-34,-69,-8,-3,-5,-2,12,85,0,1,6,-6,-11,-41,10,0,-5,9,39,31,-12,4,-4,-2,-26,-70,-24,-1,2,-2,2,70,63,-1,-1,0,22,-42,-13,-3,2,-3,-47,-6,16,2,2,0,22,30,15,right
-18,158,16,-368,175,-188,7,-32,17,-66,-66,308,-11,-9,8,674,-141,91,-11,-35,-14,-632,-44,22,17,-28,3,412,83,25,16,-14,-21,-146,-7,160,5,-26,-9,-212,-94,-202,-2,-9,-7,-18,9,-42,-11,-3,0,217,-21,-20,1,7,6,171,-27,42,-6,-29,2,77,114,-132,-2,7,-3,115,-7,-2,-10,-22,10,184,65,-78,14,-2,-1,-120,0,-74,5,20,2,-110,-15,-10,1,10,-1,-166,-34,76,-8,7,-7,78,7,-50,0,-3,2,-28,54,107,2,0,3,19,-19,-70,1,4,4,-98,-16,70,0,4,-4,120,-33,-82,-4,0,-2,-117,68,95,4,-6,2,95,-86,-121,-7,5,-5,-153,35,86,11,-7,5,73,-14,-98,-2,7,-1,-18,36,98,-4,-7,1,31,-75,-76,-1,3,-7,-37,63,10,7,1,2,42,9,-11,-5,-5,3,-43,-28,10,right
-28,153,8,-304,191,-315,14,17,38,326,-152,295,-16,-21,-24,-46,-154,385,5,-62,-9,413,235,-7,13,-30,-3,-262,-133,23,-2,-31,-21,-232,103,64,21,-39,2,149,263,75,10,13,3,-436,-268,-96,9,-9,2,84,135,-323,-11,-2,9,-163,-312,-137,-11,8,-6,558,-22,-182,-4,5,-4,26,-62,5,-6,-4,6,380,169,14,7,-4,3,-312,-46,119,0,3,0,327,-5,-50,-1,4,-9,-245,33,104,-5,0,4,-41,67,52,0,-9,1,-58,-15,-14,0,11,-1,-57,-19,6,-1,8,-1,135,64,13,6,-15,8,-225,-62,72,-1,-1,-3,98,26,-102,-5,4,-6,8,47,89,11,-17,5,-33,-8,-75,1,4,-1,-15,-31,61,-1,1,-2,-14,-25,-74,-4,8,-8,-10,22,23,8,-8,2,20,92,-9,-3,3,3,-23,-80,-30,3,0,-4,6,56,-1,right
-13,162,31,456,243,-397,5,-5,4,-725,-180,725,1,-52,0,802,-117,-176,3,-33,-15,-628,-42,301,-7,-33,-5,272,60,-116,5,-25,-18,-577,-163,-106,6,-14,1,342,208,26,4,8,-1,-373,-122,42,9,-26,-3,275,116,-101,21,8,1,-20,78,40,-29,16,8,423,-258,-5,11,-46,12,-61,187,-129,-4,9,3,-194,-236,-70,-13,21,-16,127,14,104,8,-3,-1,-218,143,113,6,5,2,99,-38,-186,1,11,2,-38,37,2,-2,7,0,64,-81,-50,3,2,1,-64,84,30,-1,3,-6,94,-50,-34,-3,-1,5,-68,25,7,-4,3,-1,57,-6,-7,3,-5,4,-115,27,43,4,7,-3,59,-52,-36,-8,-1,-1,-5,26,43,11,3,2,1,-9,76,-6,-17,3,-12,-11,-105,-5,3,-5,-49,-30,7,6,11,0,75,17,-13,-3,-4,-1,0,51,43,right
-9,155,40,268,334,-351,2,-15,23,-585,-521,354,-15,-22,-51,97,-211,98,9,-39,-1,490,322,-117,-6,-5,0,-491,-324,284,5,-47,-13,647,502,51,-23,-4,-7,-529,-161,12,16,-40,-12,88,400,-96,6,-4,23,-262,-316,230,18,-18,-11,294,308,-375,1,14,12,-215,-247,176,5,-34,-7,137,-70,-248,13,14,-15,-285,-2,-62,-5,19,18,623,30,-77,-1,-4,0,-599,-159,297,-5,15,15,506,-21,-325,1,0,-9,-140,-10,-24,-16,8,-1,-83,160,165,9,-11,-1,102,-33,-114,-6,13,6,64,-38,21,4,-3,-10,-220,88,110,-9,5,3,158,-85,-76,7,-6,-4,224,45,-190,-1,4,-5,-323,25,236,3,-8,4,-23,56,-10,2,-2,5,-12,-68,-83,-1,15,2,-16,-22,108,-2,-11,4,47,-33,-45,4,1,-8,15,46,16,-2,1,-1,72,-25,-17,right
-27,155,30,-186,214,-663,16,21,21,-196,-216,784,-19,-19,-4,600,-172,115,3,-70,-29,-223,5,61,8,-8,-3,195,91,204,-7,-41,-6,89,208,-215,3,-20,-9,-592,-183,245,-27,-29,-10,-123,113,-170,4,-13,0,150,121,37,15,-21,3,117,49,-176,14,6,6,-14,-153,76,14,-10,3,118,72,-240,5,24,2,0,-150,139,2,-4,-3,-170,30,-154,3,11,6,266,14,-112,-3,8,-4,1,-73,68,-7,7,5,-368,53,104,6,11,-2,480,-54,-217,-15,-3,-10,-162,19,111,-3,0,3,-2,-27,31,1,-5,-1,37,119,-84,3,4,5,5,-63,79,2,-3,4,47,54,-70,1,-1,2,-147,-22,31,2,-4,-1,114,2,-84,-6,7,-6,-89,-44,123,10,-18,5,9,83,-157,-8,14,-8,53,-123,79,7,-15,-1,-136,127,-3,-7,15,4,122,-95,5,right
0,163,13,-168,355,-785,-12,2,1,26,-101,606,-7,-5,21,418,-141,177,-5,-39,-33,-254,-77,378,15,-37,18,803,261,-160,16,-31,-8,-803,-465,303,-5,-24,-9,288,173,-171,3,-25,-11,-486,-239,78,0,-24,-10,-26,273,-242,3,-22,3,-97,-64,14,-16,21,13,300,112,58,20,-23,8,-498,101,-72,13,5,-5,279,-133,-22,-13,17,-7,101,-13,-94,2,3,-2,3,31,-14,-1,-14,11,162,-28,-52,-1,22,7,-226,-83,27,-4,7,-8,233,-50,-15,-2,5,-5,-130,137,35,4,10,6,100,-95,-6,-4,-3,-4,-187,32,104,2,-3,4,181,-19,-135,-1,4,-8,-53,55,80,0,-3,9,-22,-11,45,1,-3,-6,-73,10,29,4,1,4,114,-24,-116,3,1,-10,-58,107,49,-4,-3,10,-5,-91,32,2,-4,-4,49,-19,-143,-4,8,-1,-61,38,138,right
-7,166,58,-115,131,-725,-25,-14,-17,48,-276,692,-8,-12,-19,292,4,299,2,-60,-9,-195,-11,12,-1,-20,-1,142,170,-13,17,-36,2,-339,-83,-96,-14,-2,-15,88,95,177,12,-30,-1,-160,-30,-215,8,-8,-13,57,231,254,-5,-2,21,207,-125,-145,13,-2,-4,30,-120,-67,-3,-29,10,253,96,-4,11,5,-4,-393,-242,-85,-7,-3,-6,508,151,-152,-6,12,-1,-324,-41,80,1,-3,1,58,-15,-133,-5,18,-2,-103,146,61,9,1,5,-40,-75,1,1,11,11,-46,39,-28,1,3,-10,35,-30,-2,-9,4,-2,-45,-29,81,0,4,-3,146,25,-120,1,-6,5,-156,-48,91,3,-5,0,58,-6,1,-1,8,-2,55,83,-10,0,-7,4,-41,-115,-44,2,0,-1,-32,27,58,0,0,0,80,16,-45,-9,5,-12,-47,17,-35,11,-3,6,-11,-43,79,right
7,154,49,52,454,-225,5,-5,36,-17,-352,544,-1,-70,-53,-241,-473,-365,-33,7,-21,12,116,416,18,-55,5,126,61,-250,-9,-4,-15,132,275,64,5,-17,0,-239,23,26,-12,-2,-10,-164,-184,239,7,-28,0,315,92,-260,9,-6,-8,59,-3,-57,-13,15,11,183,-35,69,14,-29,15,-202,71,-108,5,12,-1,257,28,-74,-7,13,-5,-378,-133,102,-3,-7,0,203,-19,-61,5,4,5,48,63,-101,3,-5,-7,-53,67,65,-13,7,3,-51,-20,-149,-5,18,-10,11,-10,25,6,-3,3,-44,119,72,5,2,8,109,-62,-56,-3,2,3,-82,-25,40,6,-5,-1,57,-20,-24,-1,-3,-8,-56,54,70,0,-8,7,47,-69,-60,2,4,0,-17,-5,-10,-2,-6,-1,-85,8,80,2,6,-5,48,-3,-50,-3,-4,1,72,11,-64,-5,5,-3,-140,-8,140,right
17,158,27,-739,96,-366,-3,36,35,494,61,-254,-43,25,-19,140,-169,650,8,-104,-23,757,178,239,5,-10,16,-429,-288,-138,7,-49,-13,215,176,193,2,-27,-6,-50,-116,-49,-16,-23,-17,-290,139,12,18,-13,-11,-200,-30,-129,-8,-1,3,229,162,368,5,-25,4,-28,-133,-282,10,-8,-2,-2,-30,-43,7,-7,7,54,50,-32,4,-16,0,-228,-220,-280,0,30,-5,326,188,-141,1,14,10,-214,-146,53,-19,12,-13,94,86,48,8,-11,2,-65,122,-50,1,17,12,14,-112,142,1,-14,1,-3,91,-75,-5,14,-12,-48,-6,59,9,-10,3,6,19,-35,2,13,3,-20,33,1,2,-6,6,40,-83,-55,-7,-8,1,188,74,-55,4,6,-3,-300,-112,140,3,-7,-5,198,8,-178,-2,10,-1,-159,-22,131,2,-3,-3,-12,20,82,-3,-5,1,84,26,-148,right
18,146,63,-68,278,-162,-34,45,3,224,-33,86,-3,-35,-16,-357,-581,503,8,-29,-32,352,60,-45,11,-47,-2,-162,269,-98,-5,-31,2,-143,-294,271,-9,-25,-15,307,52,57,-31,4,-21,-352,6,-297,19,-51,1,302,305,262,16,-45,14,-46,97,-150,-7,23,22,-281,-69,-71,6,-10,-9,310,55,-189,6,22,-4,-327,-246,-7,7,15,4,174,130,-145,4,35,-4,69,-81,174,-11,3,-2,151,91,-40,-2,-16,1,-82,-29,-10,0,12,5,64,-48,-95,-4,-6,-11,-58,-30,60,1,-1,10,-172,15,17,1,13,-5,219,-7,-27,5,-5,1,-144,31,97,8,1,6,-55,-50,-50,-8,-7,-4,170,-35,-57,-1,2,-2,32,64,7,-1,3,2,-225,-36,108,-1,-10,-3,125,-7,-138,-2,5,-2,-12,30,108,5,-8,7,-10,35,23,2,1,1,-97,-18,-30,right
19,162,12,-712,106,-373,-9,18,36,547,119,-144,-37,0,-37,-405,-688,607,-6,-43,-12,870,532,-67,11,-35,8,-355,-1,-16,-1,-26,9,307,58,253,-7,-11,-19,-405,-120,38,13,-37,-7,21,250,-79,3,1,0,-43,-78,162,10,-36,6,358,240,-212,14,11,-6,-128,-335,-117,-21,3,3,302,11,138,15,-54,13,-99,24,-132,-4,27,3,66,-236,-107,10,-2,-12,-212,182,20,-12,33,1,-43,-124,41,1,2,-4,57,132,-13,0,4,6,-2,-59,15,5,2,0,28,24,-66,-4,14,0,-32,-15,97,3,-5,1,204,-7,-75,4,-8,-4,-108,-36,50,-3,-5,8,-69,44,50,-3,-2,-3,40,-82,-165,3,-6,1,-127,46,95,-3,6,-5,88,-3,-68,4,6,-5,-37,12,54,-2,-4,2,40,-17,-65,-1,0,-3,-16,5,70,-3,-9,7,52,69,-77,right
23,151,62,-143,366,-859,-39,72,-25,-936,-392,820,-22,-60,-34,1358,62,228,10,-36,4,-235,268,90,18,-49,3,-60,-236,-21,9,-22,-1,2,67,171,-6,-17,-12,-29,62,74,7,-24,-2,-703,-173,-65,11,-40,-11,573,190,38,-16,-1,16,273,-274,-51,-8,-32,-9,-201,-95,-189,9,-16,1,-32,244,87,11,-2,14,95,-353,-481,3,71,-13,-1,62,70,-7,6,7,54,64,-14,-15,2,-13,-58,75,122,13,-12,11,142,134,-80,-1,18,9,-109,-108,51,2,7,-6,-93,-26,95,-8,1,-6,90,18,18,2,-10,0,-80,68,-82,9,1,3,-33,-78,58,-6,5,0,128,-22,-6,3,-14,1,-125,111,64,1,0,0,141,-59,-142,3,-2,-3,-102,25,43,-7,8,1,107,-110,-39,1,-10,-7,-19,103,11,3,-2,5,2,2,67,5,1,7,-119,-34,-14,right
28,162,8,425,587,-451,15,-3,58,-590,-423,631,-43,-23,-20,103,-303,-257,-26,-37,-50,-54,128,105,13,-14,19,182,139,255,11,-52,-1,-280,-124,-99,-18,-13,-20,-147,-12,45,-3,-11,-5,15,123,169,19,-35,-5,230,-31,178,-13,15,8,178,-125,-261,4,-34,-3,-56,-75,-2,-3,3,-7,406,121,-127,17,-19,6,-416,34,-52,2,35,5,139,-26,-161,-5,8,4,-138,-30,64,-1,-5,-1,98,-47,-112,0,26,1,-106,57,8,-7,14,-2,131,-20,19,8,-8,-3,-41,24,59,-3,-4,0,-73,-32,43,-7,-2,0,-43,-14,-35,6,8,3,143,17,-56,4,-5,2,-98,39,131,-2,-7,0,-137,-102,-2,-6,7,-3,291,2,-189,0,0,-9,-195,87,114,4,5,5,65,-14,-1,1,-8,4,12,54,-46,1,0,-2,-55,-68,80,1,-1,8,-33,-15,-73,right
34,163,63,-46,614,-685,-7,-3,27,27,-314,744,-49,-33,-60,-142,-565,39,-10,-39,-19,30,160,532,20,-64,4,611,213,-274,-2,-8,-18,-681,-102,130,-3,-15,-11,-155,-125,177,15,-21,-11,234,311,-302,-1,20,8,-298,-124,1,19,-49,2,332,136,67,3,1,12,179,-235,-424,-14,19,-8,-50,-28,-165,2,-3,-10,218,298,200,2,14,22,-487,-192,43,1,7,-12,451,14,-181,-18,24,-5,-96,-98,105,6,1,5,58,135,38,-1,-16,9,47,-66,-17,8,4,2,-63,25,3,-2,3,-5,-104,-37,70,-1,-5,5,59,5,-135,-1,11,-7,38,-27,-23,0,-2,0,-221,-37,111,2,0,0,227,55,-49,-3,-11,0,25,-11,-54,-3,4,-5,-97,-4,43,-1,-9,-2,-62,13,52,8,3,5,-8,40,-53,0,8,4,65,-3,28,2,-11,1,-72,-8,53,right
