AccX1,AccY1,AccZ1,GyrX1,GyrY1,GyrZ1,AccX2,AccY2,AccZ2,GyrX2,GyrY2,GyrZ2,AccX3,AccY3,AccZ3,GyrX3,GyrY3,GyrZ3,AccX4,AccY4,AccZ4,GyrX4,GyrY4,GyrZ4,AccX5,AccY5,AccZ5,GyrX5,GyrY5,GyrZ5,AccX6,AccY6,AccZ6,GyrX6,GyrY6,GyrZ6,AccX7,AccY7,AccZ7,GyrX7,GyrY7,GyrZ7,AccX8,AccY8,AccZ8,GyrX8,GyrY8,GyrZ8,AccX9,AccY9,AccZ9,GyrX9,GyrY9,GyrZ9,AccX10,AccY10,AccZ10,GyrX10,GyrY10,GyrZ10,AccX11,AccY11,AccZ11,GyrX11,GyrY11,GyrZ11,AccX12,AccY12,AccZ12,GyrX12,GyrY12,GyrZ12,AccX13,AccY13,AccZ13,GyrX13,GyrY13,GyrZ13,AccX14,AccY14,AccZ14,GyrX14,GyrY14,GyrZ14,AccX15,AccY15,AccZ15,GyrX15,GyrY15,GyrZ15,AccX16,AccY16,AccZ16,GyrX16,GyrY16,GyrZ16,AccX17,AccY17,AccZ17,GyrX17,GyrY17,GyrZ17,AccX18,AccY18,AccZ18,GyrX18,GyrY18,GyrZ18,AccX19,AccY19,AccZ19,GyrX19,GyrY19,GyrZ19,AccX20,AccY20,AccZ20,GyrX20,GyrY20,GyrZ20,AccX21,AccY21,AccZ21,GyrX21,GyrY21,GyrZ21,AccX22,AccY22,AccZ22,GyrX22,GyrY22,GyrZ22,AccX23,AccY23,AccZ23,GyrX23,GyrY23,GyrZ23,AccX24,AccY24,AccZ24,GyrX24,GyrY24,GyrZ24,AccX25,AccY25,AccZ25,GyrX25,GyrY25,GyrZ25,AccX26,AccY26,AccZ26,GyrX26,GyrY26,GyrZ26,AccX27,AccY27,AccZ27,GyrX27,GyrY27,GyrZ27,AccX28,AccY28,AccZ28,GyrX28,GyrY28,GyrZ28,AccX29,AccY29,AccZ29,GyrX29,GyrY29,GyrZ29,AccX30,AccY30,AccZ30,GyrX30,GyrY30,GyrZ30,Label
2,160,-10,-5684,26,1551,-3,77,-39,404,523,-477,-3,62,-42,1368,-91,-200,-29,4,-89,2015,-265,-649,-6,34,-30,933,-17,53,2,-20,2,690,-143,-247,2,3,2,1285,-232,-295,4,-15,35,2160,-392,-577,17,-15,53,2604,-506,-745,5,-38,59,-1542,1086,679,19,-111,62,-2204,39,493,-7,-24,5,258,70,-113,2,-37,7,165,-433,-176,1,-16,-10,-451,3,135,-11,-52,-1,-288,150,27,-1,-25,-7,-563,53,157,-12,-21,-16,-500,63,277,0,-16,4,-294,46,91,0,0,-6,-496,69,153,7,-4,11,-48,38,-43,1,5,4,60,-41,-59,1,3,-4,-43,-38,-11,-1,5,0,45,38,-8,5,-1,4,-71,-11,12,-1,3,-1,117,-32,-54,-2,3,-1,-17,-18,28,3,-5,2,90,-9,-35,-4,6,-2,-91,14,28,3,-1,6,93,23,-31,-3,1,-8,-8,-25,12,t_right
35,142,64,-5411,493,1226,-21,80,-55,-797,-383,300,-17,33,-67,98,484,-374,-12,109,-91,1263,16,-158,-27,-6,-95,2389,-407,-469,-18,8,-44,1868,-40,-338,10,-3,27,983,-32,-102,10,1,22,1271,-565,-309,0,-4,30,2562,-363,-728,16,-14,81,2618,-376,-610,4,-59,52,-475,834,249,24,-143,106,-2772,816,831,14,-82,32,-195,-846,-427,-29,-7,-68,-842,-333,326,-9,-34,-11,-1228,566,533,5,-39,-4,-1204,214,252,3,-4,12,-571,165,64,8,12,24,111,-51,-112,0,18,-7,23,-92,15,4,-6,0,264,-47,-82,1,5,-6,-184,-19,12,0,2,5,108,-1,-30,0,6,-2,-1,-46,-10,-1,2,-4,7,31,6,5,-10,12,95,45,-42,-2,8,-8,-30,-144,-58,-3,3,-6,72,137,23,4,-12,20,-43,-78,-9,-4,6,-13,74,10,-28,3,-2,1,-81,51,76,t_right
40,138,72,-4063,472,1076,-33,75,-100,-1031,-439,404,-2,67,-40,-397,550,168,-17,54,-53,1368,-483,-276,-28,3,-107,724,-62,-462,-21,9,-22,1958,-363,-752,-9,14,-46,1412,184,-149,9,-12,39,1033,-44,-193,12,2,30,2295,-290,-651,11,1,49,2336,-79,-589,11,-33,67,427,226,115,24,-110,68,-2424,761,911,19,-79,67,-18,-244,-411,2,-32,-9,-1340,-118,365,-4,-25,0,-630,-249,-99,-7,-38,-12,-34,-26,-41,-8,-21,-15,-950,70,392,-1,-15,-2,-388,109,84,2,-4,9,-383,28,143,1,12,1,-306,-29,67,6,2,10,505,42,-191,-3,2,-9,-277,-57,100,0,2,4,92,55,2,3,-1,2,96,-43,-30,-4,4,-1,-79,5,23,0,-1,0,134,-12,-45,3,-6,2,23,-1,-4,1,4,-5,-20,31,15,0,-6,9,69,18,-9,0,1,-6,-117,-54,-29,t_right
33,140,61,-4027,201,1278,-32,42,-89,-848,-346,355,-7,63,-30,737,317,-501,-19,63,-41,598,-318,-189,-21,13,-77,997,137,-371,-10,33,-25,865,34,-239,-8,-7,-23,778,75,40,2,-6,-6,695,-102,-282,0,3,-2,982,-128,-276,12,-3,49,2342,-368,-616,13,-11,49,3085,-300,-744,13,-60,57,857,303,-272,6,-96,49,-4228,948,1583,36,-121,78,338,-306,-435,-19,2,-64,-1751,-256,408,-4,-30,14,182,246,-71,4,-26,4,-630,-148,220,-5,-7,-14,-454,3,82,2,-14,-6,-419,60,113,1,-7,2,-435,-14,74,3,13,13,184,56,-35,-1,3,0,53,-75,-53,0,4,-9,-139,13,54,2,4,8,241,-32,-63,0,-2,-8,-145,10,32,-1,2,7,14,-12,-18,1,-2,-1,204,40,-85,-1,4,2,-142,-95,31,0,-2,-3,77,80,-34,1,-1,3,-60,-18,-67,t_right
-11,284,-95,-3811,158,1467,-22,46,-55,1453,-320,-542,-20,1,-55,818,135,-524,-6,27,-11,676,-99,-99,4,-10,-10,1387,9,-383,8,10,14,1246,-114,-280,13,-10,57,3221,-446,-799,5,-34,48,1843,-17,-408,1,-96,35,-3110,1074,1083,54,-116,127,-670,-204,-112,-8,-5,-42,-1019,-425,73,-24,-38,-8,199,7,-102,-3,-39,-19,-820,46,328,-3,-31,6,-465,16,157,-3,-14,-12,-635,123,94,-3,4,9,-253,31,108,0,-4,4,0,50,-11,0,6,-5,-271,-4,146,5,2,12,234,34,-57,2,0,-8,-114,-6,8,-1,7,-1,16,15,0,-2,1,2,-50,-20,39,2,-3,8,202,-32,-66,-2,0,-10,-45,-70,11,1,2,2,-34,113,44,2,-10,10,44,-64,-64,-4,8,-12,27,22,37,4,-7,13,-55,13,-28,-1,3,-7,143,-33,-32,-2,0,-2,-129,41,21,t_right
64,135,67,-4501,1030,1521,-21,94,-61,940,-1308,-418,-37,44,-75,-410,599,149,1,57,-18,297,-90,23,-14,-14,-41,1231,-179,-582,-23,53,-71,912,-149,-391,4,-3,-22,853,81,-103,-8,-1,3,742,7,-173,4,2,21,941,-223,-191,13,-8,35,2190,-430,-653,9,-11,41,2882,-363,-884,0,-69,48,-843,566,347,19,-107,79,-2800,626,916,13,-37,27,223,-391,-219,-10,-47,-19,-966,-21,194,-6,-2,3,-206,-118,53,-9,-40,-6,-21,164,15,-4,-19,-11,-968,30,333,-5,-15,-3,-70,184,56,4,-12,1,-530,60,67,4,15,7,-124,19,63,2,0,5,132,-17,-44,-1,16,-13,-283,9,170,10,-7,20,387,-30,-146,-4,1,-11,-87,-136,-83,1,8,-3,78,122,38,1,-13,13,121,-85,-82,-5,9,-14,-183,1,62,7,-5,9,170,70,-19,-4,1,-5,-260,-72,39,t_right
46,139,62,-4620,702,1704,-36,50,-70,530,-962,-287,-21,67,-83,-244,425,-194,-9,64,-40,699,-8,-380,-39,6,-62,1230,23,-291,2,17,-43,794,215,-279,-2,10,-5,1408,-303,-188,5,-16,-3,570,-147,-169,1,9,12,1564,-334,-445,13,-8,42,2443,-306,-746,18,-16,68,2323,-193,-533,4,-63,49,-1225,548,540,17,-107,56,-3990,856,1279,18,-62,46,1265,-417,-775,-8,16,-25,-1525,70,662,6,-39,21,763,-169,-498,-2,-16,-26,-763,6,321,2,-30,8,407,22,-213,-8,-21,-10,-508,-140,148,-6,-12,-19,-528,90,222,2,-14,15,-391,21,82,-1,3,-3,-171,19,23,3,9,-1,-275,77,114,1,-1,12,397,-19,-197,-3,11,-9,-352,-82,124,6,-1,9,411,64,-49,-2,1,-4,-285,-77,14,1,1,3,218,78,-19,2,-1,4,-104,-87,0,-3,7,-8,108,17,10,t_right
25,159,28,-3906,226,1213,-21,48,-61,-410,30,262,-5,64,-29,336,36,-167,-14,26,-48,560,-115,-192,-26,18,-66,627,62,-525,-17,34,-51,1112,-166,-198,-6,-9,-34,917,56,-175,2,2,10,553,101,-98,1,-6,10,816,-283,-271,4,-2,9,583,-77,-166,6,-3,30,2540,-486,-922,25,-17,58,-551,161,227,14,-35,52,1208,-148,-696,6,-19,37,-2237,573,1115,14,-76,41,-531,-12,13,-2,-6,11,832,-105,-178,3,-29,8,-825,134,402,-4,-53,9,896,-185,-320,1,-29,-7,-895,69,369,1,-36,3,104,26,-166,-7,-14,-9,-908,-51,310,-4,-17,-5,-104,128,50,-1,-12,0,-761,27,194,3,-4,1,-247,93,18,1,14,7,-137,-11,14,2,12,6,202,12,-85,0,4,-4,57,-60,12,1,-4,1,167,29,-55,-1,5,2,-77,-48,14,2,2,-2,38,43,7,t_right
0,158,-14,-3866,-99,1475,-14,55,-40,100,119,-87,-15,46,-39,-150,123,-233,-25,44,-68,215,172,-83,-13,19,-53,669,-106,-399,-20,1,-42,1051,-91,-237,-4,-8,-30,1376,-111,-318,-3,-1,-10,748,10,-179,5,0,11,514,-38,-89,10,3,30,972,-218,-302,10,6,41,2172,-466,-706,18,-5,38,1372,-102,-512,11,-30,53,-1029,348,443,20,-70,82,-656,206,390,6,-66,25,-938,114,190,4,-34,23,31,129,-143,5,-54,20,-204,-156,-7,-7,-17,-28,-861,-49,301,-9,-38,-5,-442,173,168,0,-13,-7,-1227,68,400,6,1,17,-87,93,2,4,17,8,-16,-135,-2,-4,6,-10,221,70,-69,6,-2,4,-98,-76,46,-3,1,1,254,37,-108,3,5,-2,-183,-18,70,0,1,3,140,-58,-39,-3,1,-8,-157,52,62,3,0,6,192,-20,-73,2,0,1,-231,-26,93,t_right
-3,159,-40,-3442,407,967,3,65,-34,-66,96,145,-20,46,-64,-103,188,204,-5,13,-37,432,-170,-217,-26,12,-39,1509,-503,-491,-22,-5,-56,834,124,-232,-4,1,-8,863,-107,-387,11,4,15,554,-31,-92,-1,-4,11,1794,-350,-672,9,2,23,403,200,-89,25,-30,58,-37,152,-236,20,24,50,170,-283,98,2,-62,25,-737,-42,282,5,-16,32,663,-85,-413,5,-39,16,0,89,-88,0,-51,29,22,165,4,10,-34,17,-616,70,461,-5,-58,7,-429,-29,74,1,-21,-10,-302,10,295,-8,-24,-2,-344,-69,28,-2,-10,-6,-437,91,200,1,-13,1,-334,91,59,-2,-1,0,-410,43,136,3,3,10,-1,54,-47,0,13,-2,71,-103,0,-6,0,-13,14,53,90,14,-7,16,-69,85,-51,-2,4,4,207,-244,-196,-9,6,-23,-121,225,146,14,-7,31,-69,-136,5,t_right
